日期,index_code,open,high,low,close,volume,amount
2014-02-21,801950,996.02,1015.05,974.68,997.49,0.271547,6.00218274
2014-02-24,801950,986.58,1011.78,977.75,992.19,0.24678244,5.64100512
2014-02-25,801950,993.91,996.64,895.15,910.23,0.69260042,14.93553309
2014-02-26,801950,905.87,911.95,859.04,899.24,0.3466471,7.04347333
2014-02-27,801950,904.8,946.94,901.06,904.85,0.44186995,9.18800921
2014-02-28,801950,904.57,935.33,892.71,926.41,0.2547666,5.29302971
2014-03-03,801950,951.88,984.0,939.63,953.47,0.40057155,8.73538876
2014-03-04,801950,949.19,980.7,939.38,966.74,0.3865453,8.3505535
2014-03-05,801950,962.42,973.36,937.67,945.46,0.27084446,5.78998989
2014-03-06,801950,944.33,949.33,915.29,928.0,0.2147877,4.54292944
2014-03-07,801950,928.06,945.32,917.44,920.27,0.17328002,3.61520113
2014-03-10,801950,902.2,909.3,871.76,889.99,0.24827452,4.99037431
2014-03-11,801950,885.73,897.61,871.57,882.34,0.17611434,3.49228649
2014-03-12,801950,883.62,892.08,862.31,879.48,0.17552961,3.44193412
2014-03-13,801950,881.53,915.32,876.88,909.6,0.2756235,5.56210901
2014-03-14,801950,904.49,907.71,884.66,892.29,0.16240486,3.18496022
2014-03-17,801950,905.59,917.49,889.95,907.22,0.20909995,4.19321227
2014-03-18,801950,909.44,918.02,898.55,906.26,0.21495305,4.25175495
2014-03-19,801950,895.28,903.08,878.17,898.32,0.15818496,3.1290119
2014-03-20,801950,892.75,897.47,859.25,859.68,0.20810526,3.92622718
2014-03-21,801950,857.96,889.51,842.94,883.5,0.23367787,4.6041355
2014-03-24,801950,885.54,894.7,875.24,879.57,0.16168821,3.16254022
2014-03-25,801950,881.6,891.89,872.72,883.2,0.11796299,2.29228936
2014-03-26,801950,883.53,889.66,868.76,878.35,0.12987281,2.50022918
2014-03-27,801950,872.08,880.2,858.75,859.43,0.14333144,2.6893123
2014-03-28,801950,859.59,863.98,818.73,823.53,0.25192662,4.58088133
2014-03-31,801950,824.09,839.07,813.45,832.12,0.13727345,2.47761358
2014-04-01,801950,833.13,844.21,824.82,841.26,0.14402414,2.63743696
2014-04-02,801950,841.51,846.59,829.59,832.77,0.10545125,1.90635627
2014-04-03,801950,836.73,846.1,823.63,830.67,0.15658648,2.78156117
2014-04-04,801950,828.97,847.18,827.1,846.73,0.13526558,2.40942012
2014-04-08,801950,845.66,910.36,842.71,895.04,0.39860415,7.95416375
2014-04-09,801950,899.36,910.91,885.6,901.83,0.32228041,6.42916589
2014-04-10,801950,895.62,909.27,886.77,903.47,0.10541964,1.82265661
2014-04-11,801950,895.39,905.06,885.6,900.43,0.07194057,1.23451812
2014-04-14,801950,894.45,909.5,887.71,903.71,0.07375652,1.27778308
2014-04-15,801950,908.25,922.37,891.22,904.17,0.14207139,2.49758912
2014-04-16,801950,897.96,910.21,886.54,905.11,0.07227795,1.25005475
2014-04-17,801950,920.41,925.84,884.11,889.56,0.26144337,5.785867
2014-04-18,801950,883.63,901.28,880.35,897.73,0.16361424,3.3537394
2014-04-21,801950,885.71,901.6,868.53,869.86,0.16017758,3.13893586
2014-04-22,801950,869.65,888.26,847.33,881.49,0.19598929,3.85215194
2014-04-23,801950,878.27,917.98,872.29,913.41,0.30796898,6.43978719
2014-04-24,801950,914.4,921.49,888.37,890.56,0.23022232,4.77365782
2014-04-25,801950,889.78,892.45,866.93,869.55,0.1259455,2.5412084
2014-04-28,801950,862.79,863.73,831.55,839.78,0.16373174,3.1161011
2014-04-29,801950,845.37,856.9,830.27,851.18,0.12932967,2.55358059
2014-04-30,801950,848.8,862.2,847.4,853.35,0.1030701,2.03070532
2014-05-05,801950,854.22,869.3,846.15,866.01,0.09346302,1.83322389
2014-05-06,801950,866.01,884.95,864.28,877.26,0.14433007,2.87109123
2014-05-07,801950,874.06,876.62,856.09,857.88,0.09448115,1.87229525
2014-05-08,801950,855.81,884.28,853.34,869.66,0.1230594,2.55261911
2014-05-09,801950,874.81,875.04,851.73,863.71,0.10944689,2.15706483
2014-05-12,801950,872.6,885.58,866.21,881.68,0.20201542,3.93561872
2014-05-13,801950,880.59,888.27,873.44,886.75,0.16633266,3.29720558
2014-05-14,801950,884.3,890.47,878.43,879.99,0.11645995,2.34810725
2014-05-15,801950,880.56,903.84,871.27,872.86,0.22976355,4.54502177
2014-05-16,801950,871.97,889.77,867.29,879.69,0.14962714,2.98739202
2014-05-19,801950,901.74,906.99,847.03,850.43,0.24527582,5.00594981
2014-05-20,801950,849.89,865.36,832.12,859.07,0.29723586,5.61816326
2014-05-21,801950,853.23,866.43,847.09,863.19,0.18222676,3.39090322
2014-05-22,801950,864.82,877.72,855.59,856.92,0.23026673,4.27363836
2014-05-23,801950,855.76,864.65,849.28,859.67,0.14277184,2.65010746
2014-05-26,801950,871.12,875.13,854.24,860.63,0.19785192,3.67673383
2014-05-27,801950,859.7,867.8,849.44,850.53,0.12675597,2.42104562
2014-05-28,801950,850.52,861.74,840.63,860.65,0.21082398,3.92620096
2014-05-29,801950,863.5,870.57,850.36,854.07,0.18821187,3.54182228
2014-05-30,801950,859.68,888.53,853.06,881.64,0.43111805,7.82826972
2014-06-03,801950,881.84,887.95,871.74,877.83,0.27551151,5.09730598
2014-06-04,801950,873.57,875.58,851.43,861.37,0.21100511,3.89489151
2014-06-05,801950,861.04,877.46,851.44,872.25,0.20588854,3.95295259
2014-06-06,801950,872.04,876.81,854.8,862.08,0.14624257,2.74292869
2014-06-09,801950,862.96,880.58,860.42,869.0,0.17913377,3.57499557
2014-06-10,801950,869.0,879.82,862.01,875.22,0.18192702,3.38091334
2014-06-11,801950,873.75,884.72,869.16,874.03,0.17508093,3.38224549
2014-06-12,801950,878.83,922.91,877.45,908.26,0.37543601,7.92928948
2014-06-13,801950,912.0,918.53,901.06,909.92,0.28420776,5.89751195
2014-06-16,801950,911.12,935.84,904.66,927.85,0.37913275,7.84526772
2014-06-17,801950,923.94,926.1,906.27,907.38,0.18491799,3.75090868
2014-06-18,801950,920.13,948.24,907.7,914.1,0.31307384,6.81011278
2014-06-19,801950,902.94,916.54,869.1,883.53,0.22603862,4.5909028
2014-06-20,801950,881.6,889.67,873.53,886.81,0.10207293,2.02943719
2014-06-23,801950,892.76,904.44,882.31,885.63,0.15196904,3.03384504
2014-06-24,801950,887.66,916.58,878.12,913.87,0.22216206,4.54976546
2014-06-25,801950,908.55,918.03,899.5,903.36,0.21216955,4.3192401
2014-06-26,801950,904.29,914.51,899.65,907.38,0.17014417,3.46402819
2014-06-27,801950,913.81,937.07,906.22,926.64,0.30137819,6.49002062
2014-06-30,801950,931.88,1004.11,931.88,986.35,0.75648145,15.90725075
2014-07-01,801950,998.22,999.36,958.02,964.0,0.47800463,10.24281956
2014-07-02,801950,963.51,1004.66,957.96,975.85,0.54931047,11.72231699
2014-07-03,801950,971.18,982.99,959.34,963.87,0.28753286,6.25544142
2014-07-04,801950,962.37,969.12,948.33,961.36,0.23332343,5.01356583
2014-07-07,801950,966.87,992.28,958.87,980.19,0.53238081,10.94439823
2014-07-08,801950,979.29,1006.02,957.74,972.74,0.62758436,12.91948262
2014-07-09,801950,964.74,1022.13,956.04,975.51,0.88679294,18.62359343
2014-07-10,801950,970.0,988.02,950.24,955.41,0.5269784,10.89353868
2014-07-11,801950,955.98,985.59,943.6,975.42,0.45174567,9.25940184
2014-07-14,801950,977.91,988.55,956.58,968.33,0.39410365,8.19732888
2014-07-15,801950,969.41,990.65,955.96,970.93,0.37601024,7.83934382
2014-07-16,801950,968.75,970.84,921.49,925.54,0.4649689,9.33979115
2014-07-17,801950,924.83,932.03,914.91,924.72,0.21285292,4.2310058
2014-07-18,801950,937.39,945.63,921.67,929.26,0.22974941,4.58253512
2014-07-21,801950,929.7,939.04,909.87,935.92,0.31753837,6.13901165
2014-07-22,801950,930.52,943.13,921.02,935.88,0.25536534,5.13213766
2014-07-23,801950,934.97,952.28,925.23,931.16,0.33661799,6.73091393
2014-07-24,801950,939.17,942.95,897.28,922.53,0.34998394,7.05782394
2014-07-25,801950,922.58,929.18,915.54,925.8,0.18094731,3.59079531
2014-07-28,801950,932.83,960.81,929.58,955.53,0.49170881,10.01347549
2014-07-29,801950,969.98,990.83,955.65,974.99,0.50263463,10.61597498
2014-07-30,801950,973.52,1008.05,959.32,987.24,0.64492715,13.46329083
2014-07-31,801950,982.79,1007.32,973.79,992.65,0.43269943,9.26666852
2014-08-01,801950,986.18,1005.4,962.77,965.03,0.43551252,9.42005582
2014-08-04,801950,966.76,990.52,964.95,975.57,0.31096709,6.69361463
2014-08-05,801950,984.08,985.91,962.59,976.24,0.29383371,6.1394017
2014-08-06,801950,972.36,1006.7,965.91,996.81,0.5773038,12.20003519
2014-08-07,801950,1000.35,1011.25,978.39,980.62,0.41598511,8.94007448
2014-08-08,801950,982.72,1002.45,981.56,993.17,0.39130817,8.29208019
2014-08-11,801950,1007.75,1015.96,993.3,1004.54,0.43409893,9.37481784
2014-08-12,801950,1011.67,1022.24,999.78,1009.74,0.54136198,11.45542196
2014-08-13,801950,1006.01,1009.87,979.44,989.73,0.4089323,8.62998767
2014-08-14,801950,987.43,1021.42,979.17,991.61,0.47144916,10.81023329
2014-08-15,801950,996.43,1020.35,994.34,1009.23,0.34394549,7.7251978
2014-08-18,801950,1013.0,1031.61,1005.13,1027.09,0.39285736,9.05081654
2014-08-19,801950,1027.09,1038.25,1009.81,1025.06,0.46893737,10.48076874
2014-08-20,801950,1024.34,1028.02,1010.23,1014.58,0.32866692,7.22082349
2014-08-21,801950,1012.42,1023.48,1000.52,1008.64,0.31947522,7.02920693
2014-08-22,801950,1009.01,1017.23,999.7,1003.48,0.27978673,6.05912497
2014-08-25,801950,1004.88,1011.89,992.72,994.96,0.21803246,4.72428409
2014-08-26,801950,992.79,1017.68,970.48,1000.25,0.3378493,7.60085327
2014-08-27,801950,1021.79,1069.98,1020.39,1066.49,0.38780248,9.14711384
2014-08-28,801950,1118.63,1118.63,1039.02,1045.45,0.72910646,19.92907623
2014-08-29,801950,1041.44,1079.15,1037.49,1075.22,0.41809102,10.79282072
2014-09-01,801950,1093.69,1120.2,1083.3,1088.37,0.60654667,14.90921246
2014-09-02,801950,1089.58,1171.34,1080.97,1156.2,1.12444797,26.77117168
2014-09-03,801950,1151.47,1195.3,1141.04,1165.4,1.38162462,32.71225926
2014-09-04,801950,1163.35,1228.6,1154.62,1175.18,1.16032497,28.94446718
2014-09-05,801950,1171.24,1182.73,1151.52,1174.83,0.70541073,17.31591119
2014-09-09,801950,1169.39,1211.63,1166.42,1189.99,0.83683199,20.87552409
2014-09-10,801950,1186.3,1218.58,1167.96,1189.49,0.62810265,15.92713254
2014-09-11,801950,1186.26,1223.4,1173.07,1187.86,0.72256059,18.25596027
2014-09-12,801950,1190.99,1223.37,1186.58,1219.21,0.76276514,19.26031322
2014-09-15,801950,1225.45,1241.79,1208.19,1212.16,0.70614544,18.33671021
2014-09-16,801950,1207.72,1212.95,1141.32,1145.0,0.83643615,21.06058936
2014-09-17,801950,1146.71,1165.31,1123.59,1154.56,0.5160366,12.57084542
2014-09-18,801950,1153.18,1165.55,1138.19,1146.03,0.33232335,8.15593606
