日期,农林牧渔,基础化工,钢铁,有色金属,电子,汽车,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,银行,非银金融,综合,建筑材料,建筑装饰,电力设备,机械设备,国防军工,计算机,传媒,通信,煤炭
2014-01-03,-0.007327962983318392,-0.009032818140360388,0.0008839580824513416,0.0001544246845772701,0.005772963848642565,,-0.023127383676582736,-0.009422703779384145,-0.012607124294399918,-0.002168127310486767,-0.004572690939539381,-0.00848550415806093,-0.009358404614832394,-0.015211769298331346,-0.006847863994446146,-0.0006510949303225599,,,-0.01524123277018119,,,,,,,,,
2014-01-06,-0.04135007302964955,-0.028604061898768518,-0.028709665032575105,-0.021762172628486565,-0.021778899139025865,,-0.02563915697563446,-0.024885916976160716,-0.03226912153559891,-0.02039172124193578,-0.021749462577282497,-0.023563772628330537,-0.03336373973783835,-0.038660208846882815,-0.030786649601260208,-0.029482093457178893,,,-0.028448308025221025,,,,,,,,,
2014-01-07,0.0003685226641438888,0.004469178082191716,-0.005864213800010565,0.0005588236548772496,0.015435381852703323,,0.002019482485352553,0.004790887536359589,0.0038392450538884404,0.004299065420560799,0.010347084724125155,0.0032507661310803293,0.0017710097340899456,-0.0026973164278595307,0.004574559220394958,0.010009911499448298,,,0.004825816196565524,,,,,,,,,
2014-01-08,3.8488184127327685e-05,-0.00235818232442897,-0.009994830260210197,-0.009818718237320612,0.01579211182887752,,0.006223963146744671,0.006731877118915763,-0.006767016778925217,0.007612134747813082,0.009223043121348251,0.003527128512361921,-0.007439285622112823,-0.009074230391565852,-0.0016650937036537528,-0.0020113722569823356,,,-0.0037452944960731926,,,,,,,,,
2014-01-09,-0.014712916687284583,-0.01712726692791411,-0.017881770101091266,-0.01940159053429724,-0.023464052649963096,,-0.008870190014942714,-0.010968298914153851,-0.017794045814117254,-0.015059999876860242,-0.009142743221690508,-0.011362617157720023,-0.00777456365586493,-0.001560265810186312,-0.012205168373927267,-0.007510774509393636,,,-0.017665223868191693,,,,,,,,,
2014-01-10,-0.0184816271867414,-0.013850174720823283,-0.013646991458701185,-0.004926605867139666,-0.025293960676549543,,0.002441441056128424,0.003145073162930778,-0.014900020667562242,-0.0098642879021823,-0.019124209780811086,-0.012678252487738573,-0.012224922857199116,-0.011422104209289241,-0.015056174398693,-0.0034640977536064543,,,-0.009944938364812583,,,,,,,,,
2014-01-13,-0.0011086285412154062,-0.00967262341997166,-0.0027367533535594957,0.01242603289192079,-0.003331896501508669,,-0.0186590911515091,-0.0002457687913488549,-0.0024455007375839832,-0.001723561015953945,-0.00421940928270037,-0.006943128370346052,-0.002898396927832003,-0.012804593449754709,-0.00452863974237061,-0.001886140568592043,,,-0.006567270145544923,,,,,,,,,
2014-01-14,0.01899281722045787,0.017178460169114507,0.010609767084081234,0.0027981537415500135,0.027843040993091872,,0.036810393863968116,0.010645955002181351,0.01674641148325362,0.019301796104224556,0.014454570173775938,0.013653712699514209,0.007609621115368226,0.0132561396622628,0.016283147587158986,0.022333838432004205,,,0.018382863835785024,,,,,,,,,
2014-01-15,0.01251710559387842,0.0019484307548709445,-0.009072082944758364,-0.007423537132897784,0.02078286877509017,,0.008358697133512116,-0.0012403032826401317,0.003122171945701302,0.003704117340481039,0.014283132542352917,-0.007821726256696415,0.0012278848692897082,-0.004388783730245982,0.007337101930491308,0.005970231761080136,,,0.003612805967627697,,,,,,,,,
2014-01-16,-0.005218561751141881,0.0001921352632252571,0.005958106415517417,0.016508225650367025,-0.006645462090786092,,-0.0056279261577275586,0.009081255183490233,0.008338542237229518,0.005928206269433467,-0.0043062804427599355,0.00756138232419068,-0.0003362652143525935,0.0047795271760997515,0.004392670709739921,-0.011574233078265106,,,0.004201925504846216,,,,,,,,,
2014-01-17,-0.026545777186269603,-0.013429421318260415,-0.013991882781867027,-0.020750319848712673,-0.008832039836705441,,-0.018477923725417122,-0.01977113062687952,-0.00987365555321229,-0.005610589449879466,-0.01278772378516635,-0.014889427878441941,-0.015935098769910727,-0.011867777904899235,-0.01491044578774825,-0.013957900442677751,,,-0.014280924810769702,,,,,,,,,
2014-01-20,-0.00821451154418007,-0.006755959405239542,-0.002818552212982106,-0.009308300047509266,-0.01387246609675652,,0.009956148916150376,-0.0056718867840822584,-0.0024268711434694,0.005314711244322146,-0.011967608433538723,-0.006320387449599174,-0.0049866285967063995,-0.0012736187248671982,-0.0009292304939032547,-0.004330865433068931,,,-0.00032703892417274005,,,,,,,,,
2014-01-21,0.005468090361341993,0.009855347966851946,0.002056922172781528,0.008374480480267232,0.02032690575498708,,0.004971188901662593,0.002212986572614817,0.011005719609720632,0.01962194559704944,0.0068931966787326715,0.009368896662294013,0.01192954093833154,0.012698922285984349,0.014750614034785503,0.016457380692838086,,,0.018267827816562887,,,,,,,,,
2014-01-22,0.02397559596236576,0.02431262279845159,0.022230600589278504,0.021088183747699052,0.01865680034187256,,0.0251352968133971,0.02824453817987549,0.01940393070390467,0.021511210789367352,0.0196024239446424,0.02033708384354127,0.02434997936442418,0.04715589624822236,0.028637868115081178,0.024380392621118574,,,0.019186655443394374,,,,,,,,,
2014-01-23,-0.001288702928870289,-0.00036180488953463374,-0.00820299159893445,-0.00671890565500699,0.006541106854638379,,0.004170107631092046,0.002980880799404284,-0.0016071417360898899,0.010830111842299539,0.0015681628801187397,0.004823014610564114,-0.002144472459774893,-0.006046361040916048,0.002574163974245147,0.0165941536369818,,,0.007502443022412653,,,,,,,,,
2014-01-24,0.008965528798619005,0.009243726445445244,0.004490079815989256,0.0184348203625313,0.015563732882909909,,0.006970026507170601,0.0002460497149925356,0.006640131293505158,0.014988030594967006,0.014482294072363233,0.006715303794259331,0.010237440900269679,0.024357949329712136,0.015013611331474719,0.016179509298453132,,,0.02151371984606243,,,,,,,,,
2014-01-27,-0.009727389494197825,-0.005020691853614312,-0.011257292902146498,-0.0036065839340754247,0.0011340011340013056,,-0.0047483893611780514,-0.00586921574762389,0.0033731236999419156,-0.00490689554007484,-0.007942059916212107,-0.012887737343100336,-0.00930856207212205,-0.01167050039438522,0.006392045454545414,-0.002049874802991569,,,-0.0015130817247906991,,,,,,,,,
2014-01-28,-0.012048058054308641,-0.003032192733035566,0.0010123492743674412,-0.001001176596427511,-0.018306858329512732,,0.0005357675718200561,-0.0108961071378183,0.0060512111760642195,-0.004844378670859628,0.002944099948010148,0.0010657958887489993,0.0067607136814982205,-0.000877475211325196,-0.0037090386468293657,0.003554260166569012,,,-0.0009018626223956661,,,,,,,,,
2014-01-29,-0.003882022726243828,0.004768709005457339,0.000159318394347574,0.0005482010013235783,0.006807654902995175,,-0.00015251031986496244,-0.010768167304885834,0.0064974845452689944,0.016578950425801375,0.009088399381130818,0.005210044058850949,0.001182774154768751,-0.0013424615140121832,0.012368519788337862,0.0082332378374117,,,0.014234045035585119,,,,,,,,,
2014-01-30,-0.011293786145228468,-0.009903365088068106,-0.010021608443914976,-0.010970854254148898,-0.008802663173979486,,-0.016300755549680246,-0.019028900503118895,0.002963400163540353,-0.003605714285714212,-0.0029129557644048676,-0.00825906186972547,-0.0001355678355626777,-0.010414921772923691,-0.016626410561157323,-0.00868737821051746,,,-0.0009021172510247366,,,,,,,,,
2014-02-07,0.01996115790804298,0.015355507100912602,0.003770786548296101,0.006803545460840832,0.036624510672972566,,0.019465348991068554,0.010782207548449607,0.011708238063420806,0.015639247802074818,0.006283125573683046,0.010571701242927611,0.006656637590955805,0.006533928609212536,0.007495321515828879,0.01950916454098417,,,0.02103406901065341,,,,,,,,,
2014-02-10,0.024375816846185172,0.029502329280763684,0.020483691106774504,0.04034338084839306,0.03150643459971625,,0.026117347231939814,0.023090621909803266,0.021521664051186606,0.03254167231332161,0.030175880481307482,0.019629336076493642,0.0223071693369421,0.022241001643900082,0.02672049893743611,0.02570683312322042,,,0.03293390072942448,,,,,,,,,
2014-02-11,0.0055543640253190585,0.003239281949970474,0.0027523750332949515,0.011974563349902656,-0.0030842743201980882,,-0.004064772847053866,0.005169484298019444,0.0039028440938342346,0.0009953023914601733,0.003368490805676805,0.014251139815534497,0.013294268219232963,0.008155828558972456,-0.0013537069899649534,0.017464887905345172,,,0.001361771567129022,,,,,,,,,
2014-02-12,0.030626363830264403,0.018289328932893367,0.006647505142281185,0.0026907733829839575,0.01771584405925264,,0.01303787001819079,-0.0022712291396088657,0.011095815140647503,0.009954054009757352,0.008484998007325384,0.009686151303988533,0.011763904625691213,0.006119401767283206,0.01620360177887359,0.008347750865051795,,,0.0159173719695882,,,,,,,,,
2014-02-13,-0.021300192625060443,-0.013931127616475303,-0.007672634271099654,0.0006881948120698311,-0.017580008323098695,,-0.006536246457628625,-0.0035824944016710214,-0.013077700708813644,-0.01901949010889148,-0.020338689614810668,-0.013146277912960969,-0.007110904406680052,-0.013360527446861892,-0.015193156425445609,-0.018371111151962993,,,-0.006687414218662591,,,,,,,,,
2014-02-14,0.014883292216770094,0.017058713967986083,0.012504772814051046,0.010596608596926016,0.01591606484207908,,0.007811627066285354,0.018136619866251147,0.023357984049072522,0.012572581845853525,0.0228066839162262,0.010670216131883015,0.02082601433598974,0.009900257677939672,0.016360933635452435,0.028428208473528782,,,0.01362408665737913,,,,,,,,,
2014-02-17,0.009498878085265616,0.01323925455133046,0.014289754744171601,0.012764603793946394,0.020716061812579234,,0.014005419559326437,0.016530399944977514,0.016408428702021416,0.021347623170884455,0.015704289100149094,0.009316133210989452,0.0032844688096216323,0.0036461894065176192,0.01628618163715223,0.016634597291604658,,,0.020901935925412785,,,,,,,,,
2014-02-18,-0.0042919590596851576,-0.0034871729446411814,-0.00571637232771216,-0.01363746605543259,0.0013301250915396245,,0.00021867623696802951,-0.012895518601135358,0.00504912508396238,0.0034338059259813036,0.003411435798442275,-0.00979165329739673,0.001113304287124084,-0.005384540530020465,-0.005735235950953821,-0.0018478990969476028,,,0.01037986229785659,,,,,,,,,
2014-02-19,0.0019346574752718837,0.006940073188166362,0.007118103085624217,0.0034665817488501727,-0.00887064676616911,,0.005092756325756342,0.0060918141782475566,0.00022655059724407955,-0.0038046452805926556,0.004457564684441806,0.00401803796613831,0.003294120475844098,0.01181798910739329,0.016090089814403852,0.0036428238165309157,,,-3.8069133546536627e-05,,,,,,,,,
2014-02-20,-0.009670523205542292,-0.0006569083983619661,-0.002353721200066272,-0.0077045749428583665,-0.014612206789581306,,-0.018623606108491564,-0.0018203108367043086,-0.010685103708359511,-0.014807307641018785,-0.012552009569026912,-0.005438144468530304,-0.003840508073454818,-0.012703311402360251,-0.013157934363922763,-0.021643512310250412,,,-0.017360185784444426,,,,,,,,,
