date,SIZE,BOOK_TO_PRICE,MOMENTUM,VOLATILITY,QUALITY,GROWTH,LEVERAGE,LIQUIDITY
2023-12-31,-0.5947078783604568,-0.7476522596802824,-0.11796842051907255,0.4778412172890969,0.38856114795898805,0.04912195476669462,0.6749105707688862,-0.04279548744006871
2024-01-31,-0.6731643802097506,-0.6044171818551984,-0.13123509931295235,0.38163985602300565,0.372443079664482,0.05721175655328182,0.6038037634700395,0.058032312533948506
2024-02-29,-0.6498909732956292,-0.5701470710652199,-0.08188606803956563,0.4766544309434387,0.3781891843776217,0.1463451314311675,0.738592671218411,0.07429230786691063
2024-03-31,-0.5577052815853726,-0.3954662862718995,-0.03662379496392312,0.529683159507589,0.1955420729714884,0.2615624837534227,0.6467527136654364,0.1466217435728318
2024-04-30,-0.33471697365804176,-0.39149490152702104,0.03545712665085056,0.4957280235291406,0.3919550928982502,0.23139369570650792,0.7478354388875852,-0.0320076993112385
2024-05-31,-0.46432041191561546,-0.21908300460024036,0.04058561115477337,0.7209865941918204,0.38673342990911885,0.522533329130091,0.9998181112330451,-0.045546882510961756
2024-06-30,-0.6245812693031174,-0.13320236396178503,0.06862906815097619,0.9009045600680654,0.6086514959992155,0.7101479880627598,1.2047757579303953,-0.11604594709899851
2024-07-31,-0.5173342355042034,-0.07619392938040133,0.04572738879773452,0.7089621494360193,0.5703331194790549,0.5744058270272555,0.9775353425941775,-0.13036888882618147
2024-08-31,0.12598078093726361,-0.2064486514581691,0.0012442401730017039,0.7273850811339013,0.8568580256886638,0.5416000254176734,0.7924894215200995,-0.11334395669310526
2024-09-30,0.2792369007085642,-0.2700434124473917,-0.004689823235828283,0.6211964828855173,0.6814157711831134,0.37544457089545497,0.5219711390412248,-0.11394025146359767
2024-10-31,0.2270381729506007,-0.32405197199934804,0.011744898223696398,0.6092912369173787,0.647033664505029,0.2916960782826087,0.33794896787465806,0.10542985214997089
2024-11-30,0.30299443197540143,-0.35827162430067977,-0.017894084186548365,0.6131737929521969,0.6759018346010651,0.2658430694295151,0.3527659998732636,0.10834753941559692
2024-12-31,0.29279694248194893,-0.3418524485483099,-0.028468412172105884,0.6546692125233105,0.6564021808632313,0.3123968013495896,0.37055381206105076,0.09733404366807959
