trade_date,roe_ttm
2010-01-29,15.60356849
2010-02-26,15.60356849
2010-03-31,16.01347285
2010-04-30,15.93232759
2010-05-31,16.06501774
2010-06-30,16.74463826
2010-07-30,16.74463826
2010-08-31,16.74463826
2010-09-30,17.08813766
2010-10-29,17.08813766
2010-11-30,17.08813766
2010-12-31,17.92519799
2011-01-31,17.92519799
2011-02-28,17.92519799
2011-03-31,17.68173129
2011-04-29,17.68173129
2011-05-31,17.70895435
2011-06-30,18.64890614
2011-07-29,18.64890614
2011-08-31,18.64890614
2011-09-30,18.07533105
2011-10-31,18.07533105
2011-11-30,18.07533105
2011-12-30,18.07533105
2012-01-31,17.98984583
2012-02-29,17.98984583
2012-03-30,17.98984583
2012-04-27,17.0988868
2012-05-31,17.02591436
2012-06-29,17.02591436
2012-07-31,17.24670607
2012-08-31,17.24670607
2012-09-28,17.24670607
2012-10-31,15.15001021
2012-11-30,15.15001021
2012-12-31,14.42030833
2013-01-31,14.42030833
2013-02-28,14.42030833
2013-03-29,14.42030833
2013-04-26,12.68716402
2013-05-31,12.77291124
2013-06-28,12.77291124
2013-07-31,10.93991007
2013-08-30,10.93991007
2013-09-30,10.18448354
2013-10-31,10.18448354
2013-11-29,10.18448354
2013-12-31,9.895834697
2014-01-30,9.895834697
2014-02-28,9.961632356
2014-03-31,8.715298256
2014-04-30,8.715298256
2014-05-30,8.83666565
2014-06-30,8.496129004
2014-07-31,8.496129004
2014-08-29,8.496129004
2014-09-30,7.085320621
2014-10-31,7.085320621
2014-11-28,7.085320621
2014-12-31,5.546772143
2015-01-30,5.546772143
2015-02-27,5.546772143
2015-03-31,3.994522618
2015-04-30,4.021922968
2015-05-29,4.005232066
2015-06-30,2.532184072
2015-07-31,2.532184072
2015-08-31,2.532184072
2015-09-30,1.724867941
2015-10-30,1.724867941
2015-11-30,1.724867941
2015-12-31,-0.865186524
2016-01-29,-0.865186524
2016-02-29,-0.865186524
2016-03-31,-0.986317789
2016-04-29,-0.986317789
2016-05-31,-0.986317789
2016-06-30,-0.433587243
2016-07-29,-0.433587243
2016-08-31,-0.433587243
2016-09-30,0.815245083
2016-10-31,0.815245083
2016-11-30,0.815245083
2016-12-30,0.815245083
2017-01-26,4.779225322
2017-02-28,4.779225322
2017-03-31,7.21271308
2017-04-28,7.21271308
2017-05-31,7.21271308
2017-06-30,9.92977315
2017-07-31,9.92977315
2017-08-31,9.92977315
2017-09-29,9.92977315
2017-10-31,11.27274051
2017-11-30,11.27158106
2017-12-29,11.27158106
2018-01-31,11.48342441
2018-02-28,11.51435574
2018-03-30,11.51435574
2018-04-27,11.14835728
2018-05-31,11.14835728
2018-06-29,11.14835728
2018-07-31,11.57816703
2018-08-31,11.57816703
2018-09-28,11.57816703
2018-10-31,11.61141644
2018-11-30,11.61141644
2018-12-28,11.61141644
2019-01-31,11.28883771
2019-02-28,11.28883771
2019-03-29,11.28883771
2019-04-30,11.02925943
2019-05-31,11.02925943
2019-06-28,11.02925943
2019-07-31,11.18474706
2019-08-30,11.18474706
2019-09-30,11.02756837
2019-10-31,11.02756837
2019-11-29,11.02756837
2019-12-31,10.69196177
2020-01-23,10.69196177
2020-02-28,10.69196177
2020-03-31,9.638435441
2020-04-30,9.638435441
2020-05-29,9.638435441
2020-06-30,9.227741879
2020-07-31,9.227741879
2020-08-31,9.227741879
2020-09-30,9.1317857
2020-10-30,9.1317857
2020-11-30,9.1317857
2020-12-31,9.853776123
2021-01-29,9.853776123
2021-02-26,9.853776123
2021-03-31,10.83418544
2021-04-30,10.83418544
2021-05-31,10.83418544
2021-06-30,12.67275017
2021-07-30,12.67275017
2021-08-31,12.67275017
2021-09-30,13.86068313
2021-10-29,13.86068313
2021-11-30,13.86068313
2021-12-31,15.39334941
