trade_date,sentiment_index
2010-06-01,1.430704610223288
2010-07-01,1.3848613920793833
2010-08-01,1.4893726843235708
2010-09-01,1.62448543923121
2010-10-01,1.2769510053112139
2010-11-01,2.275274963068849
2010-12-01,2.6333774391070834
2011-01-01,3.3620742366405483
2011-02-01,4.760015106348456
2011-03-01,4.853026278886781
2011-04-01,5.068970193013369
2011-05-01,4.595262607805839
2011-06-01,4.603975624160823
2011-07-01,4.664299436320373
2011-08-01,5.2031794934230255
2011-09-01,4.869378500325678
2011-10-01,4.420845108543809
2011-11-01,4.474806315646636
2011-12-01,4.288962867648952
2012-01-01,4.122680745371229
2012-02-01,3.60220625457529
2012-03-01,3.6647267876302654
2012-04-01,3.523199168527075
2012-05-01,3.693737913480573
2012-06-01,1.9950568915852804
2012-07-01,1.060445447492186
2012-08-01,0.6080526925132175
2012-09-01,0.4860193014163967
2012-10-01,0.2813574570646286
2012-11-01,0.47068089426444654
2012-12-01,0.983647897420524
2013-01-01,1.0401059767528549
2013-02-01,0.21162718475396003
2013-03-01,0.18766533318610618
2013-04-01,-0.00396611797209856
2013-05-01,-0.21957620563618785
2013-06-01,-0.8832215090542481
2013-07-01,-0.755750533250228
2013-08-01,-1.1750825009180814
2013-09-01,-1.2983854694127106
2013-10-01,-1.377686143862394
2013-11-01,-0.600183474260477
2013-12-01,-0.03823531869462316
2014-01-01,-0.9657677859985936
2014-02-01,-1.822977033549326
2014-03-01,-1.7292428880807977
2014-04-01,-2.297609553451152
2014-05-01,-2.2073292465395253
2014-06-01,-2.4434415244018477
2014-07-01,-2.7882886652336505
2014-08-01,-3.058042228010404
2014-09-01,-3.300552552145932
2014-10-01,-3.269338726026251
2014-11-01,-3.1640225577624808
2014-12-01,-3.268385145485196
2015-01-01,-4.289627515410109
2015-02-01,-4.4825182744208085
2015-03-01,-4.688529477557643
2015-04-01,-5.171548353219866
2015-05-01,-5.077433664773598
2015-06-01,-5.511050830932427
2015-07-01,-5.981144068539356
2015-08-01,-6.1269854747419705
2015-09-01,-6.49358041160165
2015-10-01,-6.999846922864965
2015-11-01,-7.286426269200447
2015-12-01,-7.1702120300153265
2016-01-01,-7.53917321243041
2016-02-01,-7.642358870909265
2016-03-01,-7.068910711156401
2016-04-01,-6.888759490005562
2016-05-01,-6.62868241751304
2016-06-01,-6.715908636800316
2016-07-01,-6.593550905278145
2016-08-01,-5.610282442629562
2016-09-01,-4.567272870190708
2016-10-01,-3.066036708206641
2016-11-01,-1.6177607530808795
2016-12-01,-0.9556885552500015
2017-01-01,-0.33793414158781016
2017-02-01,-0.009753536561983358
2017-03-01,0.537632228266702
2017-04-01,0.10273480815021223
2017-05-01,0.6352352079128929
2017-06-01,-0.03535755655626441
2017-07-01,-0.41171286916163286
2017-08-01,-0.2663661814901218
2017-09-01,0.5087524724372546
2017-10-01,0.49263165136946624
2017-11-01,0.7241699239440267
2017-12-01,0.9441935355838968
2018-01-01,1.2912003162668517
2018-02-01,1.1164299269352909
2018-03-01,1.3949744149844057
2018-04-01,1.2427781271120648
2018-05-01,1.6693381806528014
2018-06-01,1.7362038058876412
2018-07-01,1.9282505323584274
2018-08-01,1.8920763711809723
2018-09-01,1.525187257072624
2018-10-01,1.8682658991263323
2018-11-01,2.104108352456955
2018-12-01,0.7816198163162832
2019-01-01,1.6185660157135364
2019-02-01,1.5307149898557852
2019-03-01,1.4491432776749729
2019-04-01,1.6933505345576336
2019-05-01,1.4086037188313374
2019-06-01,1.1847304184816234
2019-07-01,1.189341887085011
2019-08-01,0.6743020604048346
2019-09-01,0.5539128380958225
2019-10-01,0.38329802552691694
2019-11-01,0.9233908088109085
2019-12-01,0.32689907987787375
2020-01-01,0.21533073056250723
2020-02-01,-1.3876071103420498
2020-03-01,-1.3994971393216966
2020-04-01,-2.124441334952037
2020-05-01,-2.179763274854132
2020-06-01,-1.410052880306947
2020-07-01,-1.1330784602392134
2020-08-01,-1.5831533991552027
2020-09-01,-1.2745969489276483
2020-10-01,-1.3728549346235854
2020-11-01,-0.7714634010633465
2020-12-01,0.0759638350990331
2021-01-01,1.6583587671142115
2021-02-01,1.898830817976941
2021-03-01,2.2956565440236014
2021-04-01,2.708724898452591
2021-05-01,4.043517404128323
2021-06-01,3.799197007948461
2021-07-01,4.4431486011705354
2021-08-01,5.719746597413121
2021-09-01,6.776915101413493
2021-10-01,8.677626888515118
2021-11-01,7.913824008577256
2021-12-01,7.668096282149516
