datetime,sec_code,open,high,low,close,volume,openinterest
2019-01-02,002074.SZ,51.8449675,51.8897,50.547725,50.99505,6826093,0
2019-01-02,002434.SZ,42.96646391,43.16206238,42.44486799,42.51006748,1999300,0
2019-01-02,000877.SZ,44.55145563,45.11381622,44.48897112,44.55145563,7070374,0
2019-01-02,000564.SZ,7.671562,7.701765,7.55075,7.580953,9824969,0
2019-01-02,600643.SH,62.48999375,62.7102875,60.14019375,60.50735,6457244,0
2019-01-02,002013.SZ,188.41070136,192.75196176,185.80594512,190.72604024,25696304,0
2019-01-02,002506.SZ,25.485325,25.74017825,25.2814424,25.43435435,9958500,0
2019-01-02,000826.SZ,86.97680024,87.1427865,84.98496512,85.56591703,5701432,0
2019-01-02,601689.SH,15.20894516,15.3838789,14.93110922,14.98256032,916991,0
2019-01-02,603169.SH,6.85151819,6.88406697,6.62367673,6.8352438,11994177,0
2019-01-02,300017.SZ,183.24371965,193.04784223,182.54342518,191.88068478,69509275,0
2019-01-02,002176.SZ,76.4465714,77.22399416,76.18743048,76.4465714,12095570,0
2019-01-02,603806.SH,36.45048186,37.67197554,35.54824221,37.54705005,1056996,0
2019-01-02,600458.SH,54.3318708,55.61026776,54.25197099,55.1308689,2016977,0
2019-01-02,000012.SZ,94.730181,95.917276,94.492762,94.492762,3565811,0
2019-01-02,300113.SZ,145.12709596,148.10523684,144.55437656,145.12709596,6314506,0
2019-01-02,002273.SZ,101.18903619,102.5635999,101.08330052,101.61197887,3927489,0
2019-01-02,600745.SH,45.6672216,45.73109184,43.9640152,44.56013744,4212363,0
2019-01-02,002470.SZ,27.10954065,27.36569379,26.76800313,27.10954065,4612912,0
2019-01-02,601020.SH,8.63459751,8.68556916,8.51226555,8.5632372,2026101,0
2019-01-02,002400.SZ,54.3896152,54.9408613,53.4708717,53.6546204,14856434,0
2019-01-02,600195.SH,38.8685784,39.123335,37.8859458,38.2498838,2579498,0
2019-01-02,600642.SH,42.7062048,42.96767136,42.53189376,42.79336032,5488600,0
2019-01-02,600499.SH,108.21299808,118.50499518,108.21299808,117.03470988,19402307,0
2019-01-02,002390.SZ,41.9394012,42.04219385,40.5003041,40.7058894,7557800,0
2019-01-02,002640.SZ,132.6662847,132.6662847,127.9064088,128.7607455,4563141,0
2019-01-02,000729.SZ,45.54267815,45.78449768,44.73661305,44.89782607,3606946,0
2019-01-02,000717.SZ,20.53486999,20.62473813,20.04059522,20.08552929,15300900,0
2019-01-02,603328.SH,23.00853933,23.05516251,21.30679326,21.9128946,8323903,0
2019-01-02,002544.SZ,67.66806508,70.86942994,66.66371532,69.9906239,9975918,0
2019-01-02,601717.SH,12.409788,12.4322695,12.095047,12.1624915,6374305,0
2019-01-02,300459.SZ,55.59955314,55.59955314,53.7815841,53.85733281,3072969,0
2019-01-02,600517.SH,67.838316,68.259672,66.574248,66.995604,2726335,0
2019-01-02,000400.SZ,67.8337981,68.2136066,66.7703343,67.1501428,8912842,0
2019-01-02,600053.SH,51.08458476,53.49217016,50.4498577,51.04081048,9976828,0
2019-01-02,600584.SH,39.65367306,40.03633818,39.2231748,39.36667422,8363155,0
2019-01-02,000712.SZ,119.8089807,121.5186588,116.7841656,120.5980629,6244063,0
2019-01-02,000078.SZ,60.898526,61.305874,60.287504,60.694852,6177116,0
2019-01-02,300244.SZ,146.5259795,147.28224262,142.7446639,142.83919679,2572563,0
2019-01-02,002353.SZ,121.5883549,123.3704627,120.2922765,121.5883549,6238166,0
2019-01-02,600582.SH,124.34395302,125.43468945,122.88963778,122.88963778,7684253,0
2019-01-02,002482.SZ,48.7373072,49.66163544,46.80462088,46.88865072,7311310,0
2019-01-02,600393.SH,19.42025604,19.5110049,18.96651174,19.0572606,16473000,0
2019-01-02,603888.SH,33.12045594,33.66088296,33.12045594,33.3263329,1783335,0
2019-01-02,603000.SH,30.39158912,30.68063956,30.18512452,30.26771036,3087814,0
2019-01-02,601200.SH,13.30737836,13.34758192,13.09630967,13.15661501,1411470,0
2019-01-02,600777.SH,58.28452478,58.58967936,56.75875188,57.06390646,27626683,0
2019-01-02,600021.SH,17.03126716,17.36439708,16.78141972,16.88552282,11333102,0
2019-01-02,300207.SZ,57.97381323,58.44734496,57.02674977,58.10910801,5823584,0
2019-01-02,600993.SH,152.78581428,152.78581428,144.5886618,146.63794992,2478283,0
2019-01-02,002791.SZ,15.184496,15.3065824,14.5130208,15.0776704,405250,0
2019-01-02,600446.SH,156.05468736,159.66478528,155.0701152,156.38287808,8072587,0
2019-01-02,002385.SZ,31.14530832,31.14530832,30.75841008,30.75841008,6134708,0
2019-01-02,601777.SH,4.5221253,4.5808542,4.4633964,4.47514218,4966953,0
2019-01-02,600503.SH,9.30673083,9.30673083,9.18625535,9.24649309,6913800,0
2019-01-02,002491.SZ,32.94725925,33.6571495,32.78022625,33.3230835,13594979,0
2019-01-02,600874.SH,13.82113226,14.28238578,13.40929876,13.47519212,20069314,0
2019-01-02,600820.SH,110.706075,111.94598304,110.17468584,110.35181556,18131373,0
2019-01-02,000513.SZ,152.7119274,153.500666,144.0358028,144.3391638,6366304,0
2019-01-02,000598.SZ,98.17683992,98.17683992,96.96178002,97.204792,5565592,0
2019-01-02,600418.SH,30.50993704,30.5729741,29.9426035,30.00564056,6581573,0
2019-01-02,300558.SZ,32.07308049,32.0831379,30.39349302,30.53429676,2423330,0
2019-01-02,000785.SZ,41.46201008,41.9707464,40.82608968,40.95327376,1354000,0
2019-01-02,002191.SZ,47.11933962,48.38469273,46.51679052,48.26418291,6956359,0
2019-01-02,002424.SZ,91.0054365,92.2606839,90.7962286,91.11004045,2101082,0
2019-01-02,300055.SZ,62.38046936,63.33894008,61.66161632,61.66161632,2880064,0
2019-01-02,300027.SZ,68.56951318,69.17364986,65.69986395,66.4550348,29554330,0
2019-01-02,002030.SZ,133.84969707,137.55671143,131.0694363,132.26097663,10739707,0
2019-01-02,600597.SH,20.39226,20.4165365,19.8339005,20.052389,3894366,0
2019-01-02,601005.SH,2.03801656,2.0485218,1.9959956,2.00650084,12631710,0
2019-01-02,002589.SZ,65.31785645,66.25498495,62.6001838,63.1624609,13345582,0
2019-01-02,300199.SZ,77.63354028,77.63354028,73.13545962,73.80184194,9924726,0
2019-01-02,002344.SZ,19.78834585,19.91881846,19.39692802,19.48390976,4183235,0
2019-01-02,002701.SZ,43.63786504,43.89658756,42.86169748,43.5516242,11170723,0
2019-01-02,002936.SZ,5.08,5.09,5.02,5.04,11883364,0
2019-01-02,603882.SH,22.32140025,22.71265176,21.067389,22.05053382,689900,0
2019-01-02,601118.SH,4.6944443,4.73571414,4.61190462,4.63253954,16146022,0
2019-01-02,002797.SZ,8.74721876,8.876329,8.58583096,8.7149412,52736208,0
2019-01-02,000488.SZ,49.7481838,50.0137435,49.1285445,49.3941042,6702238,0
2019-01-02,601801.SH,14.99596875,15.0626175,14.72937375,15.018185,3925414,0
2019-01-02,600872.SH,322.9728145,327.13314228,315.3090528,317.06076976,3307711,0
2019-01-02,600171.SH,25.4407853,26.3698795,25.3861327,25.9053324,14577644,0
2019-01-02,002308.SZ,19.4154688,19.502145,19.2421164,19.2854545,8815455,0
2019-01-02,000761.SZ,6.39421104,6.41318496,6.2613936,6.28036752,3424900,0
2019-01-02,000021.SZ,80.097702,80.097702,78.437646,78.575984,4384275,0
2019-01-02,002254.SZ,61.9220091,61.9220091,60.56481438,60.84756328,4016629,0
2019-01-02,601966.SH,14.0408422,14.0408422,13.82593135,13.8975683,1715321,0
2019-01-02,600598.SH,20.21359286,20.28418748,19.90768284,20.001809,7587885,0
2019-01-02,600823.SH,120.27254504,120.91229262,118.67317609,119.31292367,3594231,0
2019-01-02,300274.SZ,59.533962,60.2043895,57.388594,58.193107,25262949,0
2019-01-02,600748.SH,33.17104848,33.17104848,31.00906208,31.56500144,9628840,0
2019-01-02,002221.SZ,33.00893556,33.13210323,32.68048844,33.13210323,3994659,0
2019-01-02,000581.SZ,79.549962,79.549962,78.0175548,78.2879796,1872137,0
2019-01-02,002709.SZ,55.15688676,55.6407191,54.21468694,54.29108152,2381000,0
2019-01-02,603517.SH,33.46603595,34.0066333,32.435841,32.62964005,1542562,0
2019-01-02,002419.SZ,40.70051005,40.92311995,38.8083259,38.9567325,4796716,0
2019-01-02,600649.SH,78.24100688,79.2404358,77.8126802,78.66933356,5337104,0
2019-01-02,603766.SH,12.0108926,12.09877718,11.95230288,11.98159774,2852550,0
2019-01-02,300376.SZ,96.45135784,96.67991556,94.8514538,95.08001152,3262801,0
2019-01-02,300357.SZ,108.58922564,110.1131801,101.2981494,105.15285774,2439424,0
2019-01-02,002131.SZ,64.1632509,64.1632509,61.9808274,62.4173121,60390625,0
2019-01-02,300156.SZ,33.27539838,33.64308234,32.99963541,33.18347739,7636438,0
2019-01-02,300115.SZ,82.27962659,82.88093933,81.67831385,81.97897022,6285289,0
2019-01-02,600277.SH,22.6795398,22.96102345,22.31763225,22.5991159,12500833,0
2019-01-02,600845.SH,90.32688728,93.70440272,89.850571,92.57856424,5307951,0
2019-01-02,300168.SZ,98.68598566,98.76774704,92.3903594,94.4343939,15545584,0
2019-01-02,002489.SZ,28.87502376,29.20314903,28.65627358,28.76564867,3937000,0
2019-01-02,600862.SH,39.97581093,40.97342475,39.76203654,40.68839223,3730470,0
2019-01-02,600380.SH,72.28331808,72.71615232,70.335564,70.76839824,8020409,0
2019-01-02,300450.SZ,355.18311888,360.52057012,350.33089048,350.81611332,5939562,0
2019-01-02,300266.SZ,68.35710336,68.74005632,67.20824448,67.78267392,13269765,0
2019-01-02,600515.SH,10.54893112,10.72622408,10.43812302,10.5267695,4862688,0
2019-01-02,600770.SH,98.9201265,100.390277,98.9201265,99.130148,7121451,0
2019-01-02,600409.SH,35.98950152,36.17759996,35.55060516,35.61330464,6362339,0
2019-01-02,600201.SH,252.1140655,252.1140655,234.50370988,236.76144778,11486724,0
2019-01-02,601928.SH,8.99731008,9.12227272,8.804186,8.92914864,10415288,0
