,CSI300,SP500,HSI,CR_GOV,CR_CORP,159934.SZ
2014-01-31,0.28577141384061755,0.15546263030038476,0.28577141384061755,5.751516407487955e-08,0.0,0.272994484503216
2014-02-28,0.31432980262583454,0.1311324161083379,0.31432980262583454,6.2108217844781366e-09,6.115710438514427e-09,0.2402079663134607
2014-03-31,0.3318931590808198,0.09278075109827548,0.3318931590808198,1.3023680658644595e-07,1.2990920164504634e-07,0.24343267059407675
2014-04-30,0.3241173924167512,0.15342454897108507,0.3241173924167512,2.1233980098429267e-07,4.1339162445036645e-07,0.19834004046398718
2014-05-30,0.32409993854377367,0.1622248620587562,0.32409993854377367,4.309313867204683e-08,3.864899454629397e-08,0.1895751791115634
2014-06-30,0.32059659951053127,0.1366498608467669,0.32059659951053127,9.090000505653343e-10,8.466673681487623e-10,0.22215693837650324
2014-07-31,0.32100491291794553,0.140832591392737,0.32100491291794553,3.648628797201741e-09,6.217037837857328e-09,0.21715757290570525
2014-08-29,0.3177591917711519,0.16743025689034677,0.3177591917711519,3.148932643835002e-09,3.2247656404536447e-09,0.19705135319365136
2014-09-30,0.31797345236207275,0.1655716079174148,0.31797345236207275,6.84088738450179e-09,6.887805429191977e-09,0.19848147362974694
2014-10-31,0.30581456313917615,0.25630259589108795,0.30581456313917615,3.286629640751988e-09,3.4576257094515035e-09,0.1320682710863045
2014-11-28,0.3131059983200857,0.22163621919088775,0.3131059983200857,5.390276682046647e-09,5.602273137093137e-09,0.15215177317639106
2014-12-31,0.30860550176866003,0.17040500531463787,0.30860550176866003,1.0538675060513218e-08,1.0642805712304474e-08,0.21238396996656128
2015-01-30,0.2993852698248249,0.16437060023714395,0.2993852698248249,1.084781593576331e-07,9.282219241479429e-08,0.23685865881285453
2015-02-27,0.2932263161056401,0.17243080928709623,0.2932263161056401,1.535648593549213e-08,1.5005670858278957e-08,0.2411165281394669
2015-03-31,0.2923309674809198,0.1890002442921144,0.2923309674809198,2.3032685766077397e-08,2.3981936349553608e-08,0.2263377737314238
2015-04-30,0.3031808209769814,0.16359213719944593,0.3031808209769814,1.543346680180174e-08,1.602222343789551e-08,0.23004618939090088
2015-05-29,0.3101453507188226,0.1603569326495758,0.3101453507188226,8.050013090036161e-09,7.936473818631826e-09,0.21935234992629224
2015-06-30,0.31727564404204134,0.16663931916912494,0.31727564404204134,1.4063928816175504e-08,1.3825538697096961e-08,0.19880936485732478
2015-07-31,0.3436413624260286,0.11600359214367523,0.3436413624260286,3.5094188847110044e-08,4.460005351541545e-08,0.1967136033100252
2015-08-31,0.3456569239884714,0.17482065054031068,0.3456569239884714,7.496196232185243e-09,7.370046247102438e-09,0.13386548661650394
2015-09-30,0.35204707042349986,0.1904753472841323,0.35204707042349986,3.3666310391646337e-09,3.4658952740470697e-09,0.10543050503634177
2015-10-30,0.35562851587687894,0.19709701690403414,0.35562851587687894,2.251959019853647e-09,2.5381025326708447e-09,0.09164594655214642
2015-11-30,0.35160478161046,0.1945648412935,0.35160478161046,6.31034098790062e-08,6.176267231013709e-08,0.10222547061949777
2015-12-31,0.34459139061564636,0.2160753719702712,0.34459139061564636,1.6474754693155792e-07,1.5169126031136939e-07,0.09474153035962889
2016-01-29,0.34318447041355427,0.24809893302613367,0.34318447041355427,1.2815534044431988e-09,1.2649185359686918e-09,0.06553212360028589
2016-02-29,0.34675345840110083,0.23166210915305274,0.34675345840110083,5.021943995671586e-08,3.9262140876451456e-08,0.07483088456316468
2016-03-31,0.347551463710102,0.22290864517608333,0.347551463710102,1.1432765281119233e-07,7.045667226792623e-08,0.08198824261938763
2016-04-29,0.3478379632990888,0.21822299540800458,0.3478379632990888,4.309127665184502e-08,3.9828056701159205e-08,0.08610099507448442
2016-05-31,0.3472567078861649,0.21728131034999018,0.3472567078861649,9.742287729084371e-08,5.99816760791024e-08,0.08820511647312661
2016-06-30,0.343952122606289,0.2146719128793917,0.343952122606289,1.976893591376217e-07,1.3218280329789496e-07,0.09742351203586791
2016-07-29,0.34350136825864747,0.20929987966239438,0.34350136825864747,3.7273287621918215e-09,2.512776573947427e-09,0.1036973775802054
2016-08-31,0.34408530820416994,0.20213746431494226,0.34408530820416994,5.938148598567892e-08,6.16166517931175e-08,0.10969179827858015
2016-09-30,0.3432666919298225,0.20737984209131324,0.3432666919298225,2.561952534456275e-08,6.305259035612315e-08,0.1060866853769259
2016-10-31,0.34378976320853316,0.2043949798815993,0.34378976320853316,2.4663896328646562e-08,6.253184825065666e-08,0.10802540650558991
2016-11-30,0.34021350050940036,0.19254459325392131,0.34021350050940036,3.7257331054893476e-08,3.694129160280099e-08,0.12702833152865528
2016-12-30,0.3418539252460146,0.18514432969582786,0.3418539252460146,5.993665822621103e-08,5.737480422660073e-08,0.1311477025006805
2017-01-31,0.34152165023693,0.18343480066956644,0.34152165023693,2.8576181274096992e-08,2.685240400286054e-08,0.13352184342798837
2017-02-28,0.34068162831668203,0.18131837690101896,0.34068162831668203,4.271339925681304e-08,4.0864562755401686e-08,0.13731828288765502
2017-03-31,0.34067777046541453,0.17772644807030932,0.34067777046541453,3.236140744204339e-08,3.099061601821582e-08,0.14091794764683832
2017-04-28,0.3414421109327017,0.17544942940027083,0.3414421109327017,3.328382067380492e-08,3.204007653062898e-08,0.14166628341042853
2017-05-31,0.3401251815805565,0.1768948885548977,0.3401251815805565,2.8657803800074348e-08,2.7460215553811457e-08,0.1428546921659699
2017-06-30,0.33957362634131616,0.17801936894914822,0.33957362634131616,2.2308449555138006e-08,2.119072629738871e-08,0.14283333486904362
2017-07-31,0.3400897753957706,0.17417389652285056,0.3400897753957706,1.4366888266173688e-08,1.364905079784585e-08,0.14564652466966913
2017-08-31,0.34059030679474456,0.1782113137407593,0.34059030679474456,1.0760256785428754e-08,9.889348178960866e-09,0.14060805202014645
2017-09-29,0.3407464622582502,0.17665772026616627,0.3407464622582502,2.0936087092512847e-08,2.0377161475512775e-08,0.14184931390408467
2017-10-31,0.341540474569654,0.17491693602895783,0.341540474569654,2.2478941370365828e-08,2.20269709591136e-08,0.14200207032582193
2017-11-30,0.34231530979951946,0.1751213612917533,0.34231530979951946,3.069036883626185e-08,3.0319363596660306e-08,0.14024795809947532
2017-12-29,0.3440536351264671,0.17116301108594698,0.3440536351264671,2.5233250985586916e-08,2.500519549599778e-08,0.14072966842267226
2018-01-31,0.34496394789187973,0.1727352483720854,0.34496394789187973,2.8579600282997228e-08,2.8202292372976708e-08,0.1373367990622625
2018-02-28,0.3405490335995314,0.20324475561252964,0.3405490335995314,1.1294617995562971e-09,9.818652497532512e-10,0.1156571750770804
2018-03-30,0.34053859578072454,0.21874138147712155,0.34053859578072454,6.703724316436837e-08,5.181387457995576e-08,0.10018130811031178
2018-04-30,0.3386986882511013,0.22849070477149966,0.3386986882511013,7.85687802027981e-08,3.530536577094777e-08,0.09411180485215176
2018-05-31,0.3389896713632792,0.23097666733850628,0.3389896713632792,7.863100882814317e-08,3.2584981783220934e-08,0.09104387871894477
2018-06-29,0.34090906097721935,0.23115150938513201,0.34090906097721935,7.888404869723104e-08,3.0115039028447646e-08,0.08703025966134163
2018-07-31,0.34206683243347247,0.23200446383287424,0.34206683243347247,7.502818908210425e-08,2.5325596676207857e-08,0.08386177094639514
2018-08-31,0.34448908772020176,0.2288733030825977,0.34448908772020176,7.419333776288838e-08,2.4534518421526958e-08,0.08214842274914279
2018-09-28,0.3470320049872631,0.22639651934913765,0.3470320049872631,7.20393334672801e-08,2.2433175329690223e-08,0.07953937620382702
2018-10-31,0.3466731572746679,0.2451162361275949,0.3466731572746679,5.739037925752565e-10,5.697791032551654e-10,0.06153744817938614
2018-11-30,0.34802996121107427,0.2557839470183808,0.34802996121107427,6.943354826647229e-09,6.890542919095519e-09,0.048156116725572864
2018-12-31,0.3445617333884422,0.2870999963694034,0.3445617333884422,5.572641521720343e-10,5.520036034612335e-10,0.023776535744444174
2019-01-31,0.3455726182552382,0.2995026270331079,0.3455726182552382,9.954903714632758e-09,9.877623373407801e-09,0.009352116623888693
2019-02-28,0.34654042837088717,0.30295835904979546,0.34654042837088717,5.917106873716512e-10,5.866257924587778e-10,0.003960783030093572
2019-03-29,0.34500432875377723,0.3099493336755094,0.34500432875377723,1.595019403539401e-09,1.5806829558882189e-09,4.200564123378189e-05
2019-04-30,0.3456860811147238,0.30771843636007,0.3456860811147238,1.0763723814022377e-08,1.0664558760457193e-08,0.0009093799821997742
2019-05-31,0.34469008557954045,0.3103183266524782,0.34469008557954045,2.9763469839492657e-08,2.9500387990655368e-08,0.0003014429245831258
2019-06-28,0.3445145857266907,0.31062774455104863,0.3445145857266907,2.799488644175156e-08,2.7721734505156718e-08,0.00034302827894903455
2019-07-31,0.3443065273545422,0.3040455962601143,0.3443065273545422,5.274249726087689e-09,5.222637329152087e-09,0.007341338533913979
2019-08-30,0.33482242301962173,0.30600653664693955,0.33482242301962173,2.718583441153587e-09,2.693164089762772e-09,0.02434861190206937
2019-09-30,0.3346743113311665,0.30049441210449374,0.3346743113311665,2.64632843296631e-10,2.6228410150661737e-10,0.03015696470625641
2019-10-31,0.334895426717503,0.2905929378943485,0.334895426717503,2.2052938030213875e-06,1.947423573766898e-07,0.03961380863448527
2019-11-29,0.33555457111373405,0.292559474832775,0.33555457111373405,2.9161308761165425e-06,2.5954546628681455e-07,0.03632820726341465
2019-12-31,0.33535310072675567,0.30636767050968594,0.33535310072675567,1.3108604080892116e-08,0.0,0.022926114928198685
2020-01-31,0.3358703428556121,0.30817533447412704,0.3358703428556121,3.8407973954304875e-07,3.300227423063469e-08,0.02008356273263489
2020-02-28,0.3316420013962545,0.3190887961611011,0.3316420013962545,1.538722574834993e-07,6.627525544172365e-08,0.017626980898876803
2020-03-31,0.33333198568088784,0.33333198568088784,0.33333198568088784,4.494723095557451e-09,4.078769988370012e-09,4.0343838431425885e-06
2020-04-30,0.33333161473018713,0.33333161473018713,0.33333161473018713,6.805630839212775e-09,6.323807725016258e-09,5.142680000027228e-06
2020-05-29,0.3333308480562203,0.3333308480562203,0.3333308480562203,1.0287399504791126e-08,9.709644525310489e-09,7.43583429484025e-06
2020-06-30,0.3333309104771482,0.3333309104771482,0.3333309104771482,1.0269666572154225e-08,9.670793479832024e-09,7.248628095230155e-06
2020-07-31,0.3333332256976004,0.3333332256976004,0.3333332256976004,4.995779229438206e-10,4.835318810221884e-10,3.2192408892066485e-07
2020-08-31,0.33333279000340893,0.33333279000340893,0.33333279000340893,7.280372772611812e-10,2.3276100187796814e-10,1.6290289747358457e-06
2020-09-30,0.3333329596973017,0.3333329596973017,0.3333329596973017,5.457478316337049e-10,3.9885781590487926e-11,1.1203224610915045e-06
2020-10-30,0.3333329824803163,0.3333329824803163,0.3333329824803163,5.335073718977414e-10,4.5784964814937046e-11,1.05197975861312e-06
2020-11-30,0.33333293355625776,0.33333293355625776,0.33333293355625776,5.642611868299859e-10,1.3250851801789735e-10,1.1986344570943806e-06
