,cumulative_return_pct
2013-12-17,0.07272577148196291
2013-12-18,0.0680889192463896
2013-12-19,-0.07885410734191911
2013-12-20,-0.3327833997241014
2013-12-23,-0.13392798756588498
2013-12-24,-0.12518801529765033
2013-12-25,-0.07658535122530008
2013-12-26,-0.11305990598516891
2013-12-27,0.028126419425045235
2013-12-30,0.004575274334750468
2013-12-31,-0.00026249797119293206
2014-01-02,0.1329626652660787
2014-01-03,0.0770389105181346
2014-01-06,0.01032349949128264
2014-01-07,-0.02262068263345629
2014-01-08,-0.07629285275679853
2014-01-09,-0.11490310631845357
2014-01-10,-0.056020899882791575
2014-01-13,-0.027164841794058425
2014-01-14,0.017393917819896743
2014-01-15,-0.01411290804160803
2014-01-16,0.0011066745765786479
2014-01-17,-0.04541511145194077
2014-01-20,0.036787335063603877
2014-01-21,0.11169852494423704
2014-01-22,0.1443904679329311
2014-01-23,0.028650408105268532
2014-01-24,0.07901716328344577
2014-01-27,0.09095280428481622
2014-01-28,-0.06420527465119674
2014-01-29,-0.07447432489209316
2014-01-30,-0.039856155944961724
2014-01-31,-0.06146855096581527
2014-02-03,-0.13841000137573278
2014-02-04,-0.2108175358520925
2014-02-05,-0.23758947610375003
2014-02-06,-0.17252532237422846
2014-02-07,0.011548809571304552
2014-02-10,0.2344585398645238
2014-02-11,0.4592537953260978
2014-02-12,0.5440342392377229
2014-02-13,0.5741711280622397
2014-02-14,0.8622312784472674
2014-02-17,1.1407395414343435
2014-02-18,0.9847565139308401
2014-02-19,1.0561390044563135
2014-02-20,0.9970916658604168
2014-02-21,1.0473644995920628
2014-02-24,1.0558049897196664
2014-02-25,0.9974179953222251
2014-02-26,1.1476688911176813
2014-02-27,1.0544881618016255
2014-02-28,1.2381430657750991
2014-03-03,1.3076922528371782
2014-03-04,1.3418063441323458
2014-03-05,1.2454598381159254
2014-03-06,1.270107906909712
2014-03-07,1.364807326801598
2014-03-10,1.0729835707861346
2014-03-11,1.1387441584103541
2014-03-12,1.2391929579822714
2014-03-13,1.2670525882754635
2014-03-14,1.2423378943161145
2014-03-17,1.4401839595146404
2014-03-18,1.3406873147763454
2014-03-19,1.3010291004403651
2014-03-20,1.0741986167791762
2014-03-21,1.231794090838112
2014-03-24,1.3076235961825944
2014-03-25,1.1953858881821766
2014-03-26,1.1827742220760662
2014-03-27,1.1301498482991335
2014-03-28,1.1013782614115897
2014-03-31,1.1740582495168184
2014-04-01,1.2025514984471908
2014-04-02,1.2752084125886132
2014-04-03,1.3207203117495903
2014-04-04,1.2721808566682924
2014-04-07,1.2157006464633247
2014-04-08,1.5699498887923546
2014-04-09,1.6165325822712795
2014-04-10,1.6935267610559634
2014-04-11,1.7133630743281225
2014-04-14,1.8356803188917636
2014-04-15,1.6493614566667647
2014-04-16,1.625616660552942
2014-04-17,1.5695240490438467
2014-04-18,1.6244012103843186
2014-04-21,1.5906336489013961
2014-04-22,1.627051023479309
2014-04-23,1.5504761369443676
2014-04-24,1.5940930238574902
2014-04-25,1.590800058112074
2014-04-28,1.630193326925955
2014-04-29,1.6802845290482704
2014-04-30,1.6534236045260942
2014-05-01,1.6529379513096076
2014-05-02,1.6677066914549066
2014-05-05,1.7917831205566337
2014-05-06,1.803746260459449
2014-05-07,1.737093198767914
2014-05-08,1.6528990668744248
2014-05-09,1.7026584647272136
2014-05-12,1.9136956210463074
2014-05-13,1.98509637132267
2014-05-14,2.027005675364868
2014-05-15,2.015357674097684
2014-05-16,1.9707327195563673
2014-05-19,1.953477926463676
2014-05-20,1.9779569782988116
2014-05-21,2.0887969501541592
2014-05-22,2.143828128062175
2014-05-23,2.136231471639216
2014-05-26,2.237195508052392
2014-05-27,2.2252878581458635
2014-05-28,2.2045421128161324
2014-05-29,2.113652744066452
2014-05-30,2.1631460936684332
2014-06-02,2.1656237156729707
2014-06-03,2.176827985399754
2014-06-04,2.1559106858910937
2014-06-05,2.2123807813971164
2014-06-06,2.310008908271799
2014-06-09,2.3441253462276546
2014-06-10,2.4711936796305567
2014-06-11,2.467230064787551
2014-06-12,2.4155551806447573
2014-06-13,2.565675253491162
2014-06-16,2.684211816671289
2014-06-17,2.559899926045217
2014-06-18,2.570610670083706
2014-06-19,2.6061043749166624
2014-06-20,2.922283316321428
2014-06-23,2.9418663073831564
2014-06-24,2.9354883203782434
2014-06-25,2.975875034058184
2014-06-26,3.049348117402606
2014-06-27,3.0405081137919288
2014-06-30,3.062003287818027
2014-07-01,3.139907790431762
2014-07-02,3.236638935012115
2014-07-03,3.2396291016675294
2014-07-04,3.235798858191674
2014-07-07,3.192211451063809
2014-07-08,3.2265028820829045
2014-07-09,3.2162642404254482
2014-07-10,3.2626373875165537
2014-07-11,3.2809277560957417
2014-07-14,3.3078317525131906
2014-07-15,3.2802591753444688
2014-07-16,3.2028013353395446
2014-07-17,3.2141161921640293
2014-07-18,3.2895221116301165
2014-07-21,3.2982724680405973
2014-07-22,3.446633640240604
2014-07-23,3.404593677716372
2014-07-24,3.3873176446614472
2014-07-25,3.5404632651981904
2014-07-28,3.671080662927162
2014-07-29,3.7495779567788157
2014-07-30,3.700057887887964
2014-07-31,3.7847158380323265
2014-08-01,3.6263989622561166
2014-08-04,3.8058622020225696
2014-08-05,3.776590588720863
2014-08-06,3.776428931380371
2014-08-07,3.720453955022074
2014-08-08,3.933089972084902
2014-08-11,3.972189284250627
2014-08-12,3.937037412707567
2014-08-13,4.0296490487890635
2014-08-14,4.016862343975136
2014-08-15,4.100332522139016
2014-08-18,4.160246190759431
2014-08-19,4.1812783477898074
2014-08-20,4.194332442519899
2014-08-21,4.162599341675888
2014-08-22,4.166505497848538
2014-08-25,4.194693318418796
2014-08-26,4.149145924024
2014-08-27,4.1787778060836445
2014-08-28,4.136052622375996
2014-08-29,4.189999530435928
2014-09-01,4.276287908331855
2014-09-02,4.327435660504753
2014-09-03,4.388129511516903
2014-09-04,4.490050940156309
2014-09-05,4.488796224769098
2014-09-08,4.471211070372116
2014-09-09,4.401293704333087
2014-09-10,4.369066111533448
2014-09-11,4.340532423017773
2014-09-12,4.258318098946212
2014-09-15,4.246762298745743
2014-09-16,4.184747948570866
2014-09-17,4.174613691595641
2014-09-18,4.088199266534298
2014-09-19,4.194598893323476
2014-09-22,3.9335070632418256
2014-09-23,3.985528815409878
2014-09-24,4.137993415916852
2014-09-25,4.018718434781587
2014-09-26,4.1226862141526155
2014-09-29,4.1588400956034555
2014-09-30,4.153553933196208
2014-10-01,4.107250374289673
2014-10-02,4.107268205468828
2014-10-03,4.165654465472124
2014-10-06,4.197720332105281
2014-10-07,4.160738844627643
2014-10-08,4.320869179172382
2014-10-09,4.357889096790446
2014-10-10,4.2165929142521374
2014-10-13,4.2288958150201506
2014-10-14,4.242534224804895
2014-10-15,4.23616303283445
2014-10-16,4.263898335481109
2014-10-17,4.326457396984962
2014-10-20,4.488747370085777
2014-10-21,4.636391292626962
2014-10-22,4.674668304653018
2014-10-23,4.615226237340608
2014-10-24,4.574685891643582
2014-10-27,4.628089226199661
2014-10-28,4.850083297828167
2014-10-29,4.948945070320443
2014-10-30,4.943658965286013
2014-10-31,4.9507344479045035
2014-11-03,4.88895522946462
2014-11-04,4.87790866649076
2014-11-05,4.696864533285572
2014-11-06,4.6667580590869395
2014-11-07,4.713981198450945
2014-11-10,5.132139878170183
