,cumulative_return_pct
2013-12-17,0.3816841099927304
2013-12-18,0.9208560938706478
2013-12-19,0.4938451309920877
2013-12-20,-0.2582325833086929
2013-12-23,0.5543627177690524
2013-12-24,0.4890524573474053
2013-12-25,0.8271161516377745
2013-12-26,1.0657872016099246
2013-12-27,1.4075406681645308
2013-12-30,1.1234059620623515
2013-12-31,0.9622884563334155
2014-01-02,1.2730168241985584
2014-01-03,1.6748122641329521
2014-01-06,1.7766623031800766
2014-01-07,2.085216218402519
2014-01-08,1.6120762585084325
2014-01-09,1.6297689457341447
2014-01-10,2.0819846812551557
2014-01-13,1.7704349425351484
2014-01-14,2.421693628032817
2014-01-15,2.329727088456446
2014-01-16,2.2817372384351664
2014-01-17,2.061175119460601
2014-01-20,2.4988507510232516
2014-01-21,2.5991043725256624
2014-01-22,2.103940962155315
2014-01-23,1.458805721483869
2014-01-24,1.178011663072276
2014-01-27,1.3197901136574597
2014-01-28,1.1579034889612982
2014-01-29,0.4326021176669803
2014-01-30,1.2000255467072396
2014-01-31,0.8718185170460302
2014-02-03,-0.2930811039823844
2014-02-04,-1.3775118625565574
2014-02-05,-1.7743958576587282
2014-02-06,-0.8134679469146922
2014-02-07,0.33416548419524794
2014-02-10,0.2791233318306663
2014-02-11,1.714468399750202
2014-02-12,2.442827528691205
2014-02-13,2.4624128152527014
2014-02-14,3.014411566458297
2014-02-17,3.5601815293624606
2014-02-18,3.7389692880349434
2014-02-19,3.5755002212923825
2014-02-20,3.2652531785108296
2014-02-21,3.5660864984320195
2014-02-24,3.4743317098962168
2014-02-25,3.236591626244123
2014-02-26,3.5150717617695504
2014-02-27,4.664121348679839
2014-02-28,4.829669110648682
2014-03-03,3.6639282959456176
2014-03-04,4.809597369980501
2014-03-05,4.626421704212413
2014-03-06,5.00087484942664
2014-03-07,4.930787943945658
2014-03-10,3.982526513283724
2014-03-11,3.7285640997213987
2014-03-12,2.8810045269931805
2014-03-13,1.9318253937510521
2014-03-14,1.2778768947005803
2014-03-17,1.608066875989489
2014-03-18,2.2320425334606764
2014-03-19,1.882559266249273
2014-03-20,1.2681402717841905
2014-03-21,1.7210386043237325
2014-03-24,2.439281286571271
2014-03-25,2.3960695560714784
2014-03-26,2.401268974280457
2014-03-27,2.1790518407141413
2014-03-28,2.9534130402543157
2014-03-31,3.5588493307534774
2014-04-01,4.629690866837932
2014-04-02,5.2012195193370525
2014-04-03,4.938173148887048
2014-04-04,5.159913840282471
2014-04-07,4.778102801966955
2014-04-08,6.399826907931927
2014-04-09,7.06005626142876
2014-04-10,8.386813611110666
2014-04-11,7.8349177832758965
2014-04-14,7.937551273865151
2014-04-15,6.3306504563191535
2014-04-16,6.5383007773362145
2014-04-17,6.52427784775762
2014-04-18,6.517267948623173
2014-04-21,5.736485009154602
2014-04-22,5.913982904378834
2014-04-23,5.3631957303100775
2014-04-24,5.4030443247559345
2014-04-25,4.090858984876111
2014-04-28,3.1984460260331193
2014-04-29,4.4459763106665
2014-04-30,3.770850017834859
2014-05-01,3.762132052477285
2014-05-02,3.7778367516428046
2014-05-05,3.6940968275935626
2014-05-06,3.15743572460776
2014-05-07,3.3213968797590754
2014-05-08,3.3228540095332493
2014-05-09,3.4606535885880696
2014-05-12,4.369634280672252
2014-05-13,4.480761132996425
2014-05-14,4.373616213285891
2014-05-15,3.9153547624866336
2014-05-16,4.1311207263645455
2014-05-19,4.368082592673539
2014-05-20,4.081422041375804
2014-05-21,4.582013839946408
2014-05-22,4.819626648657893
2014-05-23,5.098367193915432
2014-05-26,5.11009902669195
2014-05-27,5.477392322318786
2014-05-28,5.520372638035043
2014-05-29,5.817008025854786
2014-05-30,5.99775024212772
2014-06-02,6.020065446530665
2014-06-03,6.2117712525183055
2014-06-04,5.785893809426179
2014-06-05,6.25611164198987
2014-06-06,5.9656329440406
2014-06-09,6.219502389248999
2014-06-10,6.865516115680181
2014-06-11,6.6736019603079955
2014-06-12,6.246713237166857
2014-06-13,6.860261657886357
2014-06-16,7.090808788999348
2014-06-17,6.714307449205981
2014-06-18,6.788054843893732
2014-06-19,6.327533895887227
2014-06-20,6.562311809811483
2014-06-23,6.009125237894519
2014-06-24,6.067294540344226
2014-06-25,6.039923240118972
2014-06-26,6.675597901153085
2014-06-27,6.787075689767064
2014-06-30,6.94736857841789
2014-07-01,7.157307357190756
2014-07-02,7.6770104069965095
2014-07-03,7.832823470801009
2014-07-04,7.865793430209922
2014-07-07,7.749397936751934
2014-07-08,7.537616685650694
2014-07-09,7.184389761498022
2014-07-10,7.1486806319706275
2014-07-11,7.205526090197534
2014-07-14,7.535621981873986
2014-07-15,7.6364176777881765
2014-07-16,7.870197343297547
2014-07-17,7.483647401991234
2014-07-18,7.72100130503961
2014-07-21,7.570995347657861
2014-07-22,8.27679326499251
2014-07-23,8.597808706941311
2014-07-24,8.83964004315998
2014-07-25,8.80207726352078
2014-07-28,9.123089787057449
