,daily_return_pct
2013-12-17,0.07272577148196106
2013-12-18,-0.004633482499683761
2013-12-19,-0.14684304274750892
2013-12-20,-0.254129684076054
2013-12-23,0.19951937953253432
2013-12-24,0.008751693234865035
2013-12-25,0.04866358504863738
2013-12-26,-0.03650251033561677
2013-12-27,0.14134613121329165
2013-12-30,-0.02354452285903767
2013-12-31,-0.004837550974711474
2014-01-02,0.133225512951549
2014-01-03,-0.05584949576983454
2014-01-06,-0.06666405376613463
2014-01-07,-0.03294078148332415
2014-01-08,-0.05368431388160678
2014-01-09,-0.03863973291618926
2014-01-10,0.05894994174991465
2014-01-13,0.028872232573232202
2014-01-14,0.044570867219517515
2014-01-15,-0.03150134654316818
2014-01-16,0.015221730847073026
2014-01-17,-0.046521271189435415
2014-01-20,0.08223979581047627
2014-01-21,0.07488364218426416
2014-01-22,0.0326554673133861
2014-01-23,-0.1155731831676842
2014-01-24,0.05035232903041707
2014-01-27,0.01192621724281491
2014-01-28,-0.1550170865486835
2014-01-29,-0.010275647748755116
2014-01-30,0.03464396980977144
2014-01-31,-0.02162101232524348
2014-02-03,-0.07698877429388849
2014-02-04,-0.07250789265157136
2014-02-05,-0.026828499433077108
2014-02-06,0.06521910746527011
2014-02-07,0.18439225527838296
2014-02-10,0.2228839898456709
2014-02-11,0.2242694366151376
2014-02-12,0.08439286646936503
2014-02-13,0.02997382097559536
2014-02-14,0.28641563450543794
2014-02-17,0.2761274061231236
2014-02-18,-0.15422373636056397
2014-02-19,0.07068640158142861
2014-02-20,-0.05843023410314318
2014-02-21,0.04977651623670535
2014-02-24,0.008353003731876578
2014-02-25,-0.05777698213713003
2014-02-26,0.148767066305033
2014-02-27,-0.09212345705797734
2014-02-28,0.181738493078517
2014-03-03,0.06869860010855051
2014-03-04,0.033673742374874215
2014-03-05,-0.09507083946110875
2014-03-06,0.02434486329877337
2014-03-07,0.09351172014048537
2014-03-10,-0.2878945501022043
2014-03-11,0.0650624779253249
2014-03-12,0.0993178236567846
2014-03-13,0.027518621473766935
2014-03-14,-0.024405463897346553
2014-03-17,0.19541830948731898
2014-03-18,-0.09808405392679018
2014-03-19,-0.03913355571863282
2014-03-20,-0.22391725501257054
2014-03-21,0.15592057737353554
2014-03-24,0.07490680771343211
2014-03-25,-0.11078900483125317
2014-03-26,-0.012462688881926726
2014-03-27,-0.05200922210476902
2014-03-28,-0.028450058593507577
2014-03-31,0.07188822680269974
2014-04-01,0.02816260356000236
2014-04-02,0.07179355961448287
2014-04-03,0.04493883535203225
2014-04-04,-0.04790674102192966
2014-04-07,-0.05577070596011606
2014-04-08,0.3499943586483566
2014-04-09,0.04586267250296472
2014-04-10,0.07576934267299355
2014-04-11,0.019505974376107918
2014-04-14,0.12025680880717336
2014-04-15,-0.1829602960784888
2014-04-16,-0.023359513304906515
2014-04-17,-0.055195346756359495
2014-04-18,0.054029160670265794
2014-04-21,-0.033227808558515357
2014-04-22,0.035847177313369914
2014-04-23,-0.07534892114231359
2014-04-24,0.04295094279450609
2014-04-25,-0.003241296464596366
2014-04-28,0.03877641360374298
2014-04-29,0.0492877170479985
2014-04-30,-0.026417043035017233
2014-05-01,-0.00047775392039062665
2014-05-02,0.01452859154190797
2014-05-05,0.12204114082977777
2014-05-06,0.011752559525017386
2014-05-07,-0.06547211093882128
2014-05-08,-0.08275657309078774
2014-05-09,0.048950298820343574
2014-05-12,0.20750407069477186
2014-05-13,0.07006001484026361
2014-05-14,0.04109355732687042
2014-05-15,-0.011416586412655035
2014-05-16,-0.0437433691933645
2014-05-19,-0.016921319120211078
2014-05-20,0.024010021367578835
2014-05-21,0.10869012788609336
2014-05-22,0.05390520757620639
2014-05-23,-0.007437215309227011
2014-05-26,0.09885232200015093
2014-05-27,-0.01164708191314466
2014-05-28,-0.020294142246416208
2014-05-29,-0.0889288938346349
2014-05-30,0.04846888566999671
2014-06-02,0.00242516220307789
2014-06-03,0.010966770738820256
2014-06-04,-0.02047166654228224
2014-06-05,0.055278343785371636
2014-06-06,0.09551497199100185
2014-06-09,0.03334613917045284
2014-06-10,0.12415791621945314
2014-06-11,-0.0038680283703902488
