排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
368,快手概念,BK0972,1736.2,-3.0,-0.17,352879120000,5.96,12,19,万润科技,5.68
369,养老金,BK0823,1796.51,-3.07,-0.17,5678150912000,2.05,75,119,万里石,10.0
370,创新医疗服务,BK1658,987.35,-1.65,-0.17,1458115680000,2.11,33,42,毕得医药,6.35
371,油气设服,BK0606,2505.26,-4.28,-0.17,2606502864000,1.77,26,22,杰瑞股份,7.66
372,基因测序,BK0693,1974.81,-3.66,-0.18,394659440000,4.18,12,25,贝达药业,7.83
373,AI制药（医疗）,BK1170,1386.48,-2.79,-0.2,692331536000,3.38,25,35,麦迪科技,4.98
374,2026—季报预增,BK1680,1040.71,-2.14,-0.21,4638832896000,3.98,46,62,粤桂股份,9.99
375,东北振兴,BK0838,1273.22,-2.7,-0.21,766546736000,2.29,24,29,派斯林,5.72
376,碳交易,BK0966,2025.16,-4.41,-0.22,2874656640000,1.75,57,79,金 融 街,10.07
377,富时罗素,BK0867,1902.34,-4.27,-0.22,75872567296000,1.47,507,725,安道麦A,10.0
378,调味品概念,BK1026,1082.24,-2.52,-0.23,710803056000,3.38,16,16,百润股份,4.38
379,AI语料,BK1172,1138.19,-2.67,-0.23,470180240000,3.67,11,19,视觉中国,5.21
380,数据中心,BK0922,2298.66,-5.45,-0.24,9810945024000,2.7,117,126,福达合金,9.99
381,电子车牌,BK0982,1385.6,-3.35,-0.24,151420110000,4.21,12,6,苏州科达,6.48
382,冷链物流,BK0852,2242.61,-5.6,-0.25,1824511168000,1.91,44,64,汉钟精机,10.0
383,毛发医疗,BK0996,1025.13,-2.69,-0.26,131051695000,1.75,6,11,*ST金比,3.44
384,快递概念,BK0990,1200.87,-3.12,-0.26,661426976000,2.42,18,22,绿通科技,7.9
385,电网概念,BK1647,946.67,-2.51,-0.26,3543622320000,3.76,93,131,福达合金,9.99
386,宠物经济,BK0993,951.92,-2.61,-0.27,432900480000,2.15,32,32,小崧股份,4.98
387,北交所概念,BK0925,2404.12,-6.59,-0.27,359862256000,3.87,12,13,京投发展,5.76
388,生物疫苗,BK0548,28058.94,-75.45,-0.27,987529856000,1.51,21,44,贝达药业,7.83
389,AB股,BK0498,12191.53,-32.94,-0.27,1346823504000,2.23,34,35,安道麦A,10.0
390,DRG/DIP,BK1054,1106.07,-3.07,-0.28,152439535000,2.33,9,7,万达信息,3.77
391,F5G概念,BK1088,4981.7,-14.01,-0.28,1923901296000,2.77,10,14,震有科技,10.79
392,供销社概念,BK1109,1157.35,-3.3,-0.28,145566354000,1.81,6,8,敦煌种业,1.79
