排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
82,装配建筑,BK0945,1188.65,10.1,0.86,1419189808000,1.86,54,29,全筑股份,9.96
83,职业教育,BK1022,1425.05,12.17,0.86,660050016000,3.11,41,24,中体产业,10.03
84,数字水印,BK1129,1174.59,9.95,0.85,124582722000,6.76,11,6,大胜达,9.99
85,小米概念,BK0833,2518.94,21.12,0.85,4626887168000,3.01,127,95,杰华特,16.79
86,中盘成长,BK1669,1060.03,8.94,0.85,10631512576000,2.87,128,97,长江证券,10.06
87,QFII重仓,BK0535,26034.26,219.73,0.85,7563304192000,4.45,442,261,越剑智能,10.02
88,电子烟,BK0865,2850.41,23.7,0.84,1527475040000,3.72,31,20,胜蓝股份,12.78
89,房屋检测,BK1179,1525.71,12.51,0.83,281189664000,2.58,24,14,上海建科,6.35
90,并购重组概念,BK1181,1394.24,11.34,0.82,2704386992000,2.16,52,40,福达合金,9.99
91,汽车一体化压铸,BK1093,1405.41,11.29,0.81,369746608000,2.29,17,12,亚通精工,10.02
92,HJT电池,BK0908,3425.47,27.15,0.8,854393536000,3.63,28,11,迈为股份,7.91
93,碳基材料,BK1006,1210.04,9.48,0.79,199252381000,3.47,10,9,福达合金,9.99
94,退税商店,BK0933,1306.81,10.27,0.79,156162398000,1.49,9,3,百大集团,2.58
95,消费电子概念,BK1646,1054.67,8.3,0.79,5197862912000,3.23,107,66,跨境通,9.94
96,通信技术,BK1650,1071.73,8.35,0.79,14645165568000,3.47,216,159,福达合金,9.99
97,首发经济,BK1186,1112.79,8.61,0.78,369891392000,2.84,24,17,中体产业,10.03
98,尾气治理,BK0932,2165.74,16.52,0.77,370487808000,5.66,18,16,西部材料,9.99
99,6G概念,BK0964,2406.65,18.4,0.77,3180298848000,5.06,21,14,陕西华达,10.62
100,网红经济,BK0940,793.72,6.07,0.77,1693853376000,3.18,77,49,跨境通,9.94
101,5G概念,BK0714,2096.86,15.93,0.77,14165592064000,3.38,181,135,福达合金,9.99
102,建筑节能,BK1076,1234.08,9.37,0.77,287746160000,4.46,33,12,全筑股份,9.96
103,国产软件,BK0696,3689.51,27.68,0.76,3225344384000,3.11,152,71,上海瀚讯,13.81
104,多模态AI,BK1153,1370.76,10.25,0.75,1206246320000,3.29,34,29,盛视科技,9.99
105,抗菌面料,BK1116,1821.64,13.49,0.75,160665580000,3.22,11,5,众望布艺,4.68
106,刀片电池,BK0951,3741.66,28.0,0.75,1198210384000,5.4,5,7,ST合纵,12.65
107,机器人概念,BK1090,2180.57,16.0,0.74,14094856704000,2.63,424,249,光莆股份,20.01
108,无人机,BK0704,2866.46,21.0,0.74,4106016336000,3.32,135,81,凌云光,20.01
109,户外露营,BK1079,1570.09,11.37,0.73,155758697000,1.98,18,7,小崧股份,4.98
110,人工智能,BK0800,1936.7,13.94,0.73,14795180544000,2.65,409,266,全筑股份,9.96
111,船舶制造,BK0729,1408.97,10.15,0.73,835011200000,2.37,8,5,ST亚光,4.45
112,上海自贸,BK0643,3654.37,26.46,0.73,1001407952000,1.1,19,13,芯原股份,20.0
113,蓝宝石,BK0674,3956.92,28.73,0.73,726167728000,4.9,12,6,天通股份,8.69
114,锂矿概念,BK1173,2705.71,19.36,0.72,4826224640000,4.18,15,20,融捷股份,10.0
115,苹果概念,BK0666,5432.69,38.85,0.72,5227575040000,2.85,64,60,凌云光,20.01
116,水产概念,BK0967,970.48,6.92,0.72,230376219000,2.17,12,4,天马科技,3.36
117,航母概念,BK0715,1137.34,8.03,0.71,1275131472000,2.08,17,14,西部材料,9.99
118,影视概念,BK0847,1023.73,7.09,0.7,607086496000,3.14,38,24,东望时代,9.9
119,参股期货,BK0524,33332.72,231.85,0.7,3006048736000,1.47,24,16,衢州发展,9.9
120,智谱AI概念,BK1182,1289.54,8.91,0.7,462103776000,4.02,12,19,凌云光,20.01
121,谷子经济,BK1183,1144.54,7.96,0.7,630171312000,3.32,51,25,国芳集团,9.98
122,无线充电,BK0960,3582.74,24.96,0.7,2425353392000,3.39,21,19,天通股份,8.69
123,婴童概念,BK0664,1857.91,12.78,0.69,1365816528000,2.71,91,55,跨境通,9.94
124,微利股,BK1642,929.51,6.19,0.67,1282231232000,3.0,55,43,光莆股份,20.01
125,华为汽车,BK0984,2513.03,16.71,0.67,2146536928000,2.5,68,48,圣龙股份,10.01
126,特斯拉概念,BK0644,7460.8,48.06,0.65,7497018624000,2.95,119,88,香山股份,10.01
127,股权激励,BK0567,3971.75,25.25,0.64,5620389376000,2.59,114,95,盛新锂能,9.99
128,纳米银,BK0855,3764.21,23.83,0.64,115086552000,9.14,3,4,西部材料,9.99
129,智慧灯杆,BK1069,1829.08,11.51,0.63,161209407000,5.1,13,13,润建股份,10.01
130,盲盒经济,BK0954,1551.3,9.64,0.63,130698477000,3.82,8,4,高乐股份,5.1
131,植物照明,BK1007,1270.81,7.91,0.63,192676616000,3.75,11,7,万润科技,5.68
132,发电机概念,BK1014,1935.93,12.1,0.63,213699156000,2.38,14,9,潍柴重机,8.16
133,社区团购,BK0965,919.17,5.71,0.63,545170816000,1.73,22,12,国联水产,4.97
134,租售同权,BK0822,720.74,4.54,0.63,347892208000,1.77,10,5,三湘印象,6.36
135,虚拟现实,BK0722,1384.16,8.66,0.63,4282743648000,3.08,123,90,芯原股份,20.0
136,2025年报预减,BK1678,1009.07,6.31,0.63,4032411344000,2.69,224,138,香飘飘,10.02
137,创业板综,BK0742,2105.51,13.08,0.63,20102254848000,3.85,779,543,光莆股份,20.01
138,边缘计算,BK0860,2312.46,14.15,0.62,3537207760000,2.04,72,49,寒武纪,20.0
139,AI眼镜,BK1178,2377.57,14.49,0.61,3721591280000,3.14,66,54,光莆股份,20.01
140,可控核聚变,BK1163,2556.42,15.62,0.61,2461995632000,1.98,45,32,派克新材,10.0
141,小红书概念,BK1187,1357.68,8.22,0.61,732142544000,4.69,43,30,慧博云通,7.51
142,地热能,BK0622,6527.01,39.68,0.61,127874098000,4.29,5,4,汉钟精机,10.0
143,包装材料,BK0733,1434.24,8.58,0.6,182759452000,3.27,16,10,大胜达,9.99
144,粮食概念,BK1086,804.94,4.69,0.59,237513755000,2.74,16,13,新赛股份,10.06
145,核污染防治,BK0983,1914.81,11.29,0.59,476025872000,1.48,20,10,争光股份,8.15
146,PCB,BK0877,3704.25,21.49,0.58,4276777504000,4.57,68,71,光莆股份,20.01
147,低空经济,BK1166,1812.21,10.45,0.58,4691445760000,3.12,168,113,万通发展,10.05
148,AI手机,BK1162,1951.24,11.01,0.57,1160135632000,3.01,19,15,希荻微,8.18
149,啤酒概念,BK1073,1374.1,7.81,0.57,283439696000,2.06,12,7,乐惠国际,5.78
150,跨境电商,BK1115,1611.88,9.15,0.57,1675797696000,2.44,102,54,跨境通,9.94
151,麒麟电池,BK1092,2320.12,13.18,0.57,2143746048000,2.7,5,3,铭利达,6.77
152,农药兽药,BK0730,1376.51,7.69,0.56,348491312000,1.87,18,25,安道麦A,10.0
153,智能穿戴,BK0641,4169.85,22.96,0.55,3862284608000,2.88,75,49,香山股份,10.01
154,MiniLED,BK0902,2568.06,13.79,0.54,1645802768000,3.55,32,33,光莆股份,20.01
155,深圳特区,BK0549,41897.91,226.43,0.54,11575286784000,2.45,181,154,明微电子,20.0
156,数字孪生,BK0861,1687.43,8.9,0.53,1026096864000,2.11,58,24,德林海,7.59
157,智能家居,BK0680,3274.88,17.35,0.53,4165856832000,2.4,95,60,福达合金,9.99
158,小金属概念,BK0695,4744.76,24.67,0.52,5542667264000,3.09,49,59,永杉锂业,9.98
159,海工装备,BK0601,2590.86,13.36,0.52,2509278800000,2.76,44,31,中国长城,9.99
160,MLOps概念,BK1132,1164.63,6.08,0.52,153351913000,4.36,6,4,万达信息,3.77
161,PVDF概念,BK1012,1384.17,7.01,0.51,517971840000,3.56,8,8,东阳光,6.82
162,新零售,BK0825,1062.78,5.43,0.51,2431500432000,2.25,89,53,国芳集团,9.98
163,换电概念,BK0985,1796.86,8.88,0.5,906313424000,2.0,21,18,瑞可达,13.61
164,中俄贸易概念,BK1072,1813.79,8.97,0.5,761214608000,2.42,55,23,众泰汽车,10.04
165,EDR概念,BK1049,1936.9,9.71,0.5,390430544000,2.73,8,5,国民技术,4.02
166,低价股,BK1053,1204.35,5.93,0.49,1672037440000,2.01,59,69,全筑股份,9.96
167,托育服务,BK1074,934.75,4.57,0.49,37247920000,2.29,4,3,华媒控股,1.97
168,工业互联,BK0832,2769.91,13.59,0.49,6047750144000,2.73,99,94,汉钟精机,10.0
169,海南自贸,BK1193,1080.39,5.27,0.49,1392375520000,2.08,44,38,华神科技,10.12
170,造纸印刷,BK0470,11322.63,55.54,0.49,284558624000,3.24,23,17,冠豪高新,10.0
171,REITs概念,BK0992,821.92,3.94,0.48,708883264000,1.34,15,8,张江高科,4.42
172,数字经济,BK1061,1377.31,6.41,0.47,2016102816000,3.44,102,72,中国长城,9.99
173,碳纤维,BK1171,1891.78,8.82,0.47,614283968000,3.73,23,18,上海石化,6.87
174,流感,BK0906,1702.78,7.97,0.47,1479476576000,1.88,57,59,南新制药,11.46
175,昨日高振幅,BK1633,983.42,4.64,0.47,11790726656000,5.47,228,256,永杉锂业,9.98
176,被动元件概念,BK0976,2099.82,9.67,0.46,704160336000,5.46,12,15,铂科新材,6.86
177,Web3.0,BK1110,1980.06,9.06,0.46,562007568000,4.55,26,21,衢州发展,9.9
178,破发股,BK1672,1028.34,4.6,0.45,3951495504000,2.15,304,202,丽臣实业,9.99
179,互联网金融,BK0637,5342.8,23.46,0.44,20882121472000,0.66,101,85,衢州发展,9.9
180,无线耳机,BK0893,2591.94,11.44,0.44,3188211936000,3.57,45,33,跨境通,9.94
181,光刻机(胶),BK0884,4550.65,19.88,0.44,1961639600000,4.96,50,45,华软科技,10.0
182,IGBT概念,BK1048,1026.24,4.52,0.44,2159604144000,2.9,27,15,赛英电子,7.87
183,AIGC概念,BK1111,2222.45,9.75,0.44,2146499712000,4.23,62,46,粤 传 媒,10.01
184,代糖概念,BK0938,1163.93,4.94,0.43,166246419000,2.05,10,5,百龙创园,5.59
185,飞行汽车(eVTOL),BK1157,2147.62,9.25,0.43,1210336624000,2.65,42,41,香山股份,10.01
186,融资融券,BK0596,3349.43,14.3,0.43,122153758720000,1.75,1942,1750,安道麦A,10.0
187,超清视频,BK0859,2289.89,9.55,0.42,2982994464000,2.31,52,43,国科微,11.03
188,移动支付,BK0556,12824.0,53.79,0.42,3118482656000,1.76,34,32,有方科技,9.89
189,信创,BK1104,1982.99,8.32,0.42,4501165056000,3.33,142,92,盛视科技,9.99
190,机构重仓,BK0552,18761.66,78.13,0.42,45671223296000,1.29,629,482,安道麦A,10.0
191,AIPC,BK1164,2578.03,10.9,0.42,1876468752000,3.11,25,17,聚辰股份,9.96
192,无人驾驶,BK0802,2299.42,9.42,0.41,7805842944000,2.67,142,121,亚通精工,10.02
193,氟化工概念,BK0690,6127.14,24.46,0.4,1183934096000,3.69,16,20,中巨芯-U,10.62
194,汽车拆解,BK0943,1464.14,5.78,0.4,285710928000,3.62,7,6,华宏科技,9.99
195,在线教育,BK0662,2174.61,8.66,0.4,1505672176000,2.83,57,50,苏州科达,6.48
196,幽门螺杆菌概念,BK1056,1022.62,4.06,0.4,458850784000,2.49,26,22,基蛋生物,5.46
197,充电桩,BK0700,3387.21,13.44,0.4,5475794176000,3.16,123,129,福达合金,9.99
198,数字货币,BK0883,1932.13,7.28,0.38,1124908144000,2.74,44,34,芯原股份,20.0
199,上证50_,BK0611,2130.02,8.03,0.38,28610361344000,0.37,16,31,寒武纪,20.0
200,医疗器械概念,BK0668,4555.29,17.3,0.38,5235225600000,2.44,166,154,盛视科技,9.99
201,电子身份证,BK1075,1180.79,4.45,0.38,338089376000,3.18,23,14,民德电子,5.16
202,ChatGPT概念,BK1126,2148.38,7.86,0.37,1303582560000,3.5,33,30,大胜达,9.99
203,券商概念,BK0711,1097.31,3.99,0.36,3876420592000,1.31,32,18,长江证券,10.06
204,食品安全,BK0614,7758.24,28.11,0.36,445253472000,2.49,27,22,天瑞仪器,7.41
205,雄安新区,BK0813,1072.34,3.81,0.36,2612381312000,2.21,77,64,天域生物,10.07
206,创新药,BK1106,1507.69,5.48,0.36,3644381504000,1.89,79,92,南新制药,11.46
207,创业成份,BK0638,2543.39,8.78,0.35,10007022592000,2.89,44,54,迈为股份,7.91
208,柔性屏(折叠屏),BK1160,2178.42,7.59,0.35,1582496816000,3.1,39,34,信维通信,6.77
209,物联网,BK0554,17956.6,62.07,0.35,10755566336000,2.96,201,166,全筑股份,9.96
210,文娱消费,BK1654,977.02,3.41,0.35,1219309536000,3.35,39,52,中体产业,10.03
211,百度概念,BK0845,1867.71,6.53,0.35,3595013936000,3.41,74,71,众泰汽车,10.04
212,权重股,BK1662,1045.2,3.57,0.34,41966537472000,0.34,17,31,寒武纪,20.0
213,西部大开发,BK0590,3753.19,12.22,0.33,14038427648000,2.23,299,283,新赛股份,10.06
214,股权转让,BK0803,836.02,2.72,0.33,218796826000,2.8,25,16,东望时代,9.9
215,养老概念,BK0653,2881.71,9.44,0.33,3009712992000,2.1,64,54,光莆股份,20.01
216,工业大麻,BK0856,2129.67,7.04,0.33,428096064000,2.29,18,15,信息发展,6.94
217,乡村振兴,BK0834,1714.2,5.63,0.33,1713345376000,2.4,80,62,衢州发展,9.9
218,单抗概念,BK0870,1754.59,5.56,0.32,1680100208000,1.57,21,28,华神科技,10.12
219,华为概念,BK0854,4562.98,14.6,0.32,18859242496000,3.13,396,333,光莆股份,20.01
220,CPO概念,BK1128,8147.89,25.6,0.32,5790838784000,4.85,28,23,杰普特,9.88
221,稀土永磁,BK0578,3658.15,11.78,0.32,1436255712000,3.29,22,28,华宏科技,9.99
222,新消费,BK1652,982.54,3.12,0.32,853398384000,2.4,37,41,光莆股份,20.01
223,转基因,BK0907,1515.54,4.79,0.32,148318822000,2.13,10,7,禾元生物-U,3.22
224,人脑工程,BK0706,5844.38,18.15,0.31,780872848000,2.55,26,22,光莆股份,20.01
225,海洋经济,BK0623,3629.13,10.99,0.3,2505614208000,2.36,59,48,飞沃科技,7.78
226,深股通,BK0804,1345.73,4.08,0.3,44285135360000,2.91,828,848,安道麦A,10.0
227,电商概念,BK0665,2414.38,6.68,0.28,6285550336000,2.96,179,154,跨境通,9.94
228,AI应用,BK1629,840.52,2.34,0.28,3752904528000,3.32,102,93,粤 传 媒,10.01
229,新能源车,BK0900,2680.72,7.37,0.28,17035409408000,3.34,347,315,福达合金,9.99
230,增强现实,BK0801,1521.94,4.22,0.28,909393840000,2.98,26,15,蓝特光学,8.17
231,垃圾分类,BK0873,1774.79,5.03,0.28,969851296000,2.68,45,51,华宏科技,9.99
232,节能环保,BK0494,16279.32,44.87,0.28,5910768896000,2.76,204,210,福达合金,9.99
233,智慧政务,BK0886,1541.08,4.33,0.28,754908272000,2.34,46,34,信息发展,6.94
234,冰雪经济,BK1185,1098.87,3.09,0.28,348970352000,2.47,20,21,中体产业,10.03
235,新材料,BK0523,41370.48,111.68,0.27,7474462720000,3.63,196,178,福达合金,9.99
236,沪股通,BK0707,2680.75,7.19,0.27,76043624448000,1.24,693,791,永杉锂业,9.98
237,SPD概念,BK1147,1088.65,2.88,0.27,97201813000,2.04,6,6,开开实业,3.1
238,民爆概念,BK1066,1691.72,4.48,0.27,397866272000,1.54,10,11,盛景微,9.99
239,光通信模块,BK1136,3634.45,9.37,0.26,5642642176000,5.52,43,45,凌云光,20.01
240,新型城镇化,BK1080,1209.7,3.02,0.25,595757600000,3.53,60,42,全筑股份,9.96
241,京津冀,BK0684,1928.38,4.86,0.25,819528416000,2.39,31,25,北辰实业,9.89
242,土地流转,BK0632,1933.08,4.78,0.25,469747680000,2.64,25,17,京投发展,5.76
243,安防概念,BK0667,3512.57,8.64,0.25,1893246624000,2.95,60,50,迅捷兴,18.6
244,精准医疗,BK0806,1107.18,2.71,0.25,571466288000,2.84,20,23,贝达药业,7.83
245,精准诊断,BK1659,983.58,2.35,0.24,815216768000,1.73,32,27,英诺特,7.85
246,抖音概念(字节概念),BK0923,1593.37,3.66,0.23,2169580704000,4.63,45,41,恒大高新,10.0
247,车联网(车路云),BK0920,1619.76,3.76,0.23,6432187392000,2.44,112,97,先惠技术,20.0
248,超级品牌,BK0811,2292.41,5.0,0.22,7741165568000,1.15,16,15,公牛集团,8.49
249,数字阅读,BK0959,1701.43,3.67,0.22,195574371000,1.95,8,10,平治信息,4.35
250,小米汽车,BK1155,1760.54,3.89,0.22,5013833472000,2.26,55,47,瑞可达,13.61
251,鸿蒙概念,BK0953,1640.41,3.55,0.22,2548524432000,2.97,65,46,国科微,11.03
252,化债(AMC)概念,BK0980,1176.94,2.47,0.21,1053725552000,1.7,25,30,海德股份,10.07
253,核能核电,BK0577,3085.78,6.44,0.21,4977487616000,1.78,97,96,派克新材,10.0
254,病原体防治,BK1657,1002.76,2.1,0.21,1801353296000,2.4,74,86,华神科技,10.12
255,沪企改革,BK0672,2703.48,5.57,0.21,907456384000,0.92,20,16,张江高科,4.42
256,重组蛋白,BK1063,1042.58,2.03,0.2,249332443000,2.37,9,9,诺思兰德,4.07
257,中药概念,BK0615,2313.17,4.57,0.2,1950619792000,1.92,62,74,华神科技,10.12
258,空气能热泵,BK1102,1731.21,3.38,0.2,1565980336000,1.9,14,19,朗迪集团,10.0
259,预制菜概念,BK1025,1157.72,2.32,0.2,660041488000,2.07,31,31,千味央厨,10.0
260,中盘股,BK1664,1036.22,2.09,0.2,20748047872000,2.11,225,265,衢州发展,9.9
261,病毒防治,BK0675,2796.4,5.43,0.19,1324254240000,1.65,40,64,光莆股份,20.01
262,长江三角,BK0594,3103.8,5.95,0.19,10177612288000,2.46,197,196,福达合金,9.99
263,知识产权,BK0839,2219.74,4.16,0.19,378838288000,3.28,17,25,安妮股份,10.02
264,体外诊断概念,BK0841,1416.12,2.49,0.18,846569712000,1.77,32,33,英诺特,7.85
265,AI智能体,BK0809,1282.23,2.28,0.18,1995048752000,3.71,66,68,品高股份,6.18
266,财税数字化,BK1176,1832.2,3.32,0.18,508450000000,2.15,22,16,慧博云通,7.51
267,化妆品概念,BK0974,1306.35,2.3,0.18,656678752000,1.97,32,26,汇洁股份,10.06
268,DeepSeek概念,BK1188,1383.86,2.29,0.17,4860518656000,3.15,127,116,芯朋微,7.85
269,阿里概念,BK0689,2854.1,4.9,0.17,5342024448000,2.55,73,87,寒武纪,20.0
270,元宇宙概念,BK1009,2382.69,3.96,0.17,4441100032000,3.62,68,70,衢州发展,9.9
271,区块链,BK0830,1194.79,1.92,0.16,9626087680000,1.47,112,108,衢州发展,9.9
272,小盘股,BK1643,956.52,1.52,0.16,17238856192000,2.89,435,537,安道麦A,10.0
273,C2M概念,BK0955,1478.28,2.32,0.16,308974096000,2.41,19,16,乐惠国际,5.78
274,MicroLED,BK0948,1434.69,2.32,0.16,789161184000,3.26,14,17,天通股份,8.69
275,虚拟数字人,BK1055,1409.63,2.3,0.16,3351832576000,4.52,40,42,凌云光,20.01
276,液冷概念,BK1138,2156.85,3.19,0.15,6024862208000,3.9,65,64,中国长城,9.99
277,CRO,BK0899,1899.99,2.87,0.15,768099680000,2.52,18,20,毕得医药,6.35
278,医废处理,BK0914,1439.3,2.22,0.15,241169609000,2.74,14,17,超越科技,7.78
279,转债标的,BK0528,13412.25,20.19,0.15,6787812608000,2.1,152,173,丽岛新材,10.03
280,数据要素,BK1135,1268.49,1.75,0.14,2078157520000,3.08,84,74,先惠技术,20.0
281,零售概念,BK1655,951.16,1.37,0.14,3173401120000,1.21,31,29,中公教育,3.11
282,ETC,BK0875,1914.67,2.72,0.14,401760960000,4.31,26,16,万润科技,5.68
283,光伏概念,BK0588,4475.7,6.27,0.14,10268435712000,2.77,204,223,福达合金,9.99
284,云计算,BK0579,3729.42,4.97,0.13,7111043328000,2.17,79,58,润建股份,10.01
285,智慧城市,BK0628,6083.88,7.25,0.12,2802000464000,3.0,121,90,福达合金,9.99
286,页岩气,BK0603,3071.28,3.49,0.11,3424451472000,0.64,15,15,杰瑞股份,7.66
287,2025年报预增,BK1677,997.63,1.08,0.11,18353314560000,2.75,293,321,丽臣实业,9.99
288,参股银行,BK0525,12833.49,14.52,0.11,12117338112000,1.17,96,127,越剑智能,10.02
289,MSCI中国,BK0821,1535.2,1.56,0.1,82154602496000,1.09,230,320,中国长城,9.99
290,华为昇腾,BK0995,1696.23,1.67,0.1,628057664000,4.12,21,25,云天励飞-U,5.09
291,中字头,BK0505,9724.04,8.46,0.09,17132330496000,0.63,45,52,中体产业,10.03
292,英伟达概念,BK1161,2184.61,1.86,0.09,3389757728000,3.82,30,28,利通电子,9.99
293,一带一路,BK0712,1749.31,1.59,0.09,17701679360000,1.34,235,253,全筑股份,9.96
294,资源开采概念,BK1017,1833.75,1.59,0.09,381634032000,1.65,11,10,金石资源,3.62
295,创投,BK0506,19123.08,16.57,0.09,5975688192000,2.66,133,148,朗迪集团,10.0
296,破增发价股,BK1673,1018.84,0.84,0.08,11824465664000,1.54,267,306,安道麦A,10.0
297,汽车热管理,BK1089,2275.65,1.84,0.08,1165951856000,3.07,47,47,圣龙股份,10.01
298,净水概念,BK1068,1279.83,0.98,0.08,1134316400000,1.43,6,15,*ST动力,12.36
299,PPP模式,BK0721,861.09,0.63,0.07,2377308800000,2.07,69,70,长江证券,10.06
300,电池技术,BK1648,1031.09,0.74,0.07,16207775232000,3.41,252,324,永杉锂业,9.98
301,免税概念,BK0927,1311.9,0.86,0.07,695746912000,0.97,7,10,海南发展,2.38
302,铁路基建,BK0592,2957.31,2.08,0.07,3276317376000,1.28,63,57,宝光股份,10.03
303,农业种植,BK0888,2653.86,1.55,0.06,835527552000,2.96,41,42,新赛股份,10.06
304,贬值受益,BK0812,1853.65,1.05,0.06,4468896256000,2.5,99,83,共创草坪,10.0
305,CAR-T细胞疗法,BK0986,1203.35,0.69,0.06,594880496000,2.08,8,16,*ST香雪,6.48
