,CI005001.CI,CI005002.CI,CI005003.CI,CI005004.CI,CI005005.CI,CI005006.CI,CI005007.CI,CI005008.CI,CI005009.CI,CI005010.CI,CI005011.CI,CI005012.CI,CI005013.CI,CI005014.CI,CI005015.CI,CI005016.CI,CI005017.CI,CI005018.CI,CI005019.CI,CI005020.CI,CI005021.CI,CI005022.CI,CI005023.CI,CI005024.CI,CI005025.CI,CI005026.CI,CI005027.CI,CI005028.CI,CI005029.CI,CI005030.CI
date,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备及新能源,国防军工,汽车,商贸零售,消费者服务,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子,通信,计算机,传媒,综合,综合金融
2017-10-31,0.0787,0.0591,0.2359,0.7852,0.2679,0.2097,0.2158,0.5775,0.4960,0.3014,0.1975,0.2264,1.2026,0.3315,2.3467,3.7729,0.2045,0.8967,2.3701,0.2237,0.2835,1.0922,0.2871,1.2290,1.8314,0.5305,0.3723,0.2549,0.2174,0.0000
2017-11-30,0.0947,0.0883,0.2260,0.9027,0.3720,0.2382,0.2106,0.6001,0.5328,0.2781,0.2134,0.2327,1.2615,0.3231,3.1719,3.9794,0.1938,0.9180,2.3767,0.2241,0.3257,1.1315,0.3217,1.2862,1.8363,0.6458,0.3738,0.2608,0.1808,0.0000
2017-12-29,0.1038,0.0971,0.2254,0.8545,0.3729,0.2513,0.2010,0.5649,0.4478,0.3005,0.2393,0.2126,1.3329,0.3521,3.1986,4.2908,0.1893,0.9902,2.6276,0.2364,0.3202,1.0891,0.3397,1.4146,1.9219,0.6600,0.3739,0.2763,0.1611,0.0000
2018-01-31,0.1191,0.1114,0.3663,0.8918,0.4956,0.2744,0.2419,0.6364,0.5323,0.3059,0.2639,0.2343,1.3305,0.3759,3.5727,4.9050,0.1996,1.1107,2.8282,0.2666,0.3630,1.2046,0.3902,1.5312,2.2715,0.6356,0.3946,0.3554,0.1812,0.0000
2018-02-28,0.1176,0.0866,0.3929,0.9770,0.4870,0.3004,0.2093,0.6421,0.6627,0.3168,0.2924,0.2411,1.3254,0.3648,3.5148,4.4949,0.2193,1.1140,2.7964,0.2764,0.3118,1.0829,0.3406,1.6044,2.5015,0.6404,0.3769,0.3791,0.2044,0.0000
2018-03-30,0.1046,0.0652,0.3625,0.9657,0.4310,0.3253,0.2076,0.6954,0.7465,0.2954,0.3091,0.2332,1.2741,0.3829,3.6074,4.1487,0.2287,1.2152,2.7795,0.2827,0.3034,1.0476,0.3120,1.5737,2.3822,0.5775,0.3908,0.3942,0.3019,0.0000
2018-04-27,0.1264,0.0671,0.3690,1.0336,0.6118,0.3484,0.2440,1.0031,0.6590,0.3303,0.3138,0.2931,1.2777,0.3937,4.0183,4.1063,0.2446,1.2441,2.9560,0.3210,0.3487,1.1300,0.3316,1.6263,2.4076,0.5741,0.4520,0.4596,0.2590,0.0000
2018-05-31,0.1659,0.0730,0.3954,1.1439,0.6139,0.4246,0.2785,1.2915,0.8801,0.4093,0.3547,0.2997,1.5625,0.5733,4.7317,4.4952,0.3307,1.5849,3.4435,0.3947,0.3850,1.2155,0.4064,1.7503,2.6984,0.6211,0.5359,0.5322,0.2758,0.0000
2018-06-29,0.1820,0.0882,0.4216,1.2169,0.7052,0.4741,0.2998,1.5365,0.9930,0.5110,0.3592,0.3684,1.6140,0.6349,4.8184,4.8640,0.3660,1.7126,3.6144,0.4255,0.3596,1.3455,0.4123,1.8931,2.8074,0.6227,0.5513,0.6607,0.3059,0.0000
2018-07-31,0.2260,0.0911,0.4168,1.3062,0.9767,0.4766,0.3518,2.0050,0.9623,0.5093,0.3411,0.3394,1.6097,0.6445,4.8931,4.7088,0.4236,1.6811,3.6189,0.4392,0.4523,1.5121,0.4984,2.1664,2.6571,0.6384,0.5079,0.8141,0.3003,0.0000
2018-08-31,0.2729,0.0878,0.3198,1.2719,1.0953,0.5155,0.3943,2.0497,0.9015,0.5973,0.3883,0.3582,1.6345,0.6836,4.9448,4.5817,0.4726,1.6347,3.6066,0.3937,0.5102,1.6821,0.6361,2.1416,2.6400,0.6736,0.5279,0.8750,0.3106,0.0000
2018-09-28,0.3150,0.1172,0.3622,1.3353,1.1102,0.5183,0.4347,2.2754,0.9315,0.6855,0.4240,0.3840,1.7558,0.7300,5.4899,4.5840,0.4801,1.5813,3.9203,0.4349,0.5395,1.7366,0.6372,2.2537,2.4677,0.6385,0.5960,1.0301,0.3561,0.0000
2018-10-31,0.2705,0.1184,0.4086,1.3583,1.1635,0.4649,0.4629,1.9986,0.7676,0.6713,0.4601,0.4157,1.4688,0.7238,5.0995,4.2795,0.4219,1.5271,3.1242,0.5347,0.5532,1.6589,0.7502,2.0367,2.0833,0.7060,0.5964,0.8893,0.4040,0.0000
2018-11-30,0.2883,0.1048,0.4047,1.2653,1.0127,0.3972,0.5045,2.0784,0.7141,0.6771,0.5134,0.4407,1.3956,0.6720,5.4383,4.6046,0.4166,1.6724,3.6347,0.6281,0.6292,1.7848,0.8440,2.2021,2.2509,0.8012,0.5769,0.7924,0.4861,0.0000
2018-12-28,0.2679,0.0850,0.4265,1.4122,0.9806,0.4368,0.5535,1.9282,0.7224,0.7203,0.5805,0.4875,1.4797,0.6322,5.8407,4.5135,0.4271,1.5329,3.6430,0.7707,0.6246,1.7614,0.8477,2.4005,2.1875,0.7719,0.5917,0.8302,0.4528,0.0000
2019-01-31,0.3493,0.1199,0.4685,1.5617,1.1169,0.4388,0.6836,2.0820,0.7816,0.9006,0.6766,0.5344,1.6561,0.7036,5.5996,5.8003,0.4353,1.6616,4.3091,0.9191,0.7792,1.9504,1.0440,2.3567,2.5578,0.9375,0.7074,0.8476,0.4143,0.0000
2019-02-28,0.3771,0.1360,0.6186,1.5479,1.1428,0.5261,0.7516,2.2243,0.8593,1.0391,0.7200,0.5900,1.7014,0.7936,5.8450,6.4193,0.4552,1.8227,4.7771,1.0101,0.8779,1.9649,1.0626,2.5340,2.6478,1.0798,0.8416,0.9065,0.5130,0.0000
2019-03-29,0.3317,0.1666,0.5355,1.5798,1.0068,0.5722,0.6793,2.3712,0.9985,1.0596,0.7106,0.5740,1.5888,0.8239,6.0242,6.4430,0.4287,1.9959,4.9580,1.1154,0.8963,2.0808,1.2040,2.5533,2.5726,1.0615,0.8834,0.8371,0.4826,0.0000
2019-04-30,0.2966,0.2069,0.5064,1.4610,0.8726,0.5812,0.6627,2.4940,1.0544,1.0759,0.7703,0.5568,1.6559,0.9918,6.7824,6.5659,0.4054,2.0631,4.8864,1.1863,0.9457,2.1491,1.2299,2.6333,2.4903,1.0256,0.8661,0.8569,0.4560,0.0000
