ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000792.SZ,20220930,23.88,1.0107,1.6268,0.96,28.9696,11.2603,6.9969,8.7789,5.0053,0.0,,543287.6672,542888.6112,337294.6469,12973709.4927,12964180.0355
000793.SZ,20220930,2.1,0.4576,0.4934,0.49,312.3305,373.1048,1.5733,4.1546,4.9786,0.0,,199724.5457,196100.8615,181870.8371,419421.546,411811.8092
000795.SZ,20220930,7.13,2.07,4.0971,0.41,59.6867,46.4144,3.107,2.1497,1.8338,0.0,,113368.4103,113368.4103,57276.8203,808316.7654,808316.7654
000796.SZ,20220930,4.98,1.1799,2.3343,0.46,,,39.8145,4.2545,7.2041,0.0,,80300.0258,80252.6933,40566.4434,399894.1285,399658.4126
000797.SZ,20220930,3.03,5.0011,11.0892,1.29,88.7711,128.0342,0.9201,0.5492,0.6371,1.9805,0.33,157075.4217,157022.3013,70815.4365,475938.5278,475777.5729
000798.SZ,20220930,9.33,1.243,3.1219,0.75,,,3.5415,7.3822,7.2224,0.0,,36585.8712,31941.75,12717.7454,341346.1783,298016.5275
000799.SZ,20220930,125.65,1.2083,1.7511,0.58,45.6943,37.0787,10.6886,11.9575,9.6346,0.5571,1.0346,32492.898,32492.898,22420.1689,4082732.6337,4082732.6337
000800.SZ,20220930,7.18,0.3266,0.6032,0.85,8.5687,41.717,1.4227,0.3384,0.7767,6.9586,9.0529,465411.4613,141175.4078,76451.6311,3341654.2921,1013639.428
000801.SZ,20220930,7.22,4.0854,7.9886,0.95,50.946,45.113,2.6839,2.0837,1.9215,0.3601,0.7064,102280.6646,102280.6646,52306.8438,738466.3984,738466.3984
000802.SZ,20220930,3.83,0.757,1.1587,0.62,,,1.7444,9.2022,9.4612,0.0,,71590.0255,71546.5255,46743.3198,274189.7977,274023.1927
000803.SZ,20220930,12.2,0.9969,1.289,0.67,53.3415,31.1415,3.0173,5.1943,3.3282,0.0,,35199.4105,28376.792,21946.7326,429432.8081,346196.8624
000806.SZ,20220930,2.11,0.4936,0.5268,1.32,,,,2.0286,1.6209,0.0,,109991.1762,69930.4718,65531.4566,232081.3818,147553.2955
000807.SZ,20220930,9.21,2.4035,3.732,1.05,9.6233,8.0137,1.5582,0.7665,0.7157,0.0,1.2269,346795.7405,311761.6723,200779.8553,3193988.77,2871325.0019
000809.SZ,20220930,3.15,1.0455,1.5911,1.45,,,0.9098,22.7391,22.8022,0.0,,82479.1293,82479.1293,54193.3793,259809.2573,259809.2573
000810.SZ,20220930,15.98,1.38,3.0058,0.92,43.578,29.2244,3.1992,1.6946,1.4691,0.5785,0.5779,115021.6072,111745.981,51304.6551,1838045.2831,1785700.7764
000811.SZ,20220930,10.88,1.6942,2.8995,0.83,26.973,23.2038,1.7062,1.5073,1.4339,0.4596,1.8382,74583.7804,74582.2631,43578.3266,811471.5308,811455.0225
000812.SZ,20220930,5.43,2.3551,2.9914,0.78,133.6426,68.6449,2.4396,3.2513,3.1181,0.0,,76869.2614,76815.8183,60474.5226,417400.0894,417109.8934
