指数代码,指数名称,股票代码,股票名称,股票权重
000300,沪深300,600019,宝钢股份,0.21
000300,沪深300,605117,德业股份,0.21
000300,沪深300,300433,蓝思科技,0.21
000300,沪深300,002600,领益智造,0.21
000300,沪深300,601336,新华保险,0.2
000300,沪深300,601390,中国中铁,0.2
000300,沪深300,600426,华鲁恒升,0.2
000300,沪深300,002049,紫光国微,0.2
000300,沪深300,000630,铜陵有色,0.2
000300,沪深300,002938,鹏鼎控股,0.2
000300,沪深300,601669,中国电建,0.19
000300,沪深300,600585,海螺水泥,0.19
000300,沪深300,002001,新和成,0.19
000300,沪深300,601825,沪农商行,0.19
000300,沪深300,600362,江西铜业,0.19
000300,沪深300,300418,昆仑万维,0.18
000300,沪深300,600958,东方证券,0.18
000300,沪深300,600346,恒力石化,0.18
000300,沪深300,000538,云南白药,0.18
000300,沪深300,601838,成都银行,0.18
000300,沪深300,600160,巨化股份,0.18
000300,沪深300,000975,山金国际,0.18
000300,沪深300,600066,宇通客车,0.18
000300,沪深300,002179,中航光电,0.18
000300,沪深300,300015,爱尔眼科,0.18
000300,沪深300,603296,华勤技术,0.18
000300,沪深300,000625,长安汽车,0.17
000300,沪深300,600438,通威股份,0.17
000300,沪深300,601916,浙商银行,0.17
000300,沪深300,600875,东方电气,0.17
000300,沪深300,600048,保利发展,0.17
000300,沪深300,688126,沪硅产业,0.17
000300,沪深300,002648,卫星化学,0.17
000300,沪深300,601868,中国能建,0.17
000300,沪深300,600482,中国动力,0.16
000300,沪深300,000166,申万宏源,0.16
000300,沪深300,605499,东鹏饮料,0.16
000300,沪深300,600795,国电电力,0.16
000300,沪深300,600570,恒生电子,0.16
000300,沪深300,600436,片仔癀,0.16
000300,沪深300,600015,华夏银行,0.16
000300,沪深300,601377,兴业证券,0.16
000300,沪深300,601998,中信银行,0.16
000300,沪深300,600760,中航沈飞,0.16
000300,沪深300,600219,南山铝业,0.15
000300,沪深300,600026,中远海能,0.15
000300,沪深300,002074,国轩高科,0.15
000300,沪深300,600115,中国东航,0.15
000300,沪深300,000157,中联重科,0.15
000300,沪深300,601995,中金公司,0.15
000300,沪深300,002493,荣盛石化,0.15
000300,沪深300,002311,海大集团,0.15
000300,沪深300,601360,三六零,0.15
000300,沪深300,300661,圣邦股份,0.14
000300,沪深300,603893,瑞芯微,0.14
000300,沪深300,601058,赛轮轮胎,0.14
000300,沪深300,600188,兖矿能源,0.14
000300,沪深300,300803,指南针,0.14
000300,沪深300,003816,中国广核,0.14
000300,沪深300,601077,渝农商行,0.14
000300,沪深300,002422,科伦药业,0.14
000300,沪深300,001979,招商蛇口,0.13
000300,沪深300,600009,上海机场,0.13
000300,沪深300,300782,卓胜微,0.13
000300,沪深300,002236,大华股份,0.13
000300,沪深300,000301,东方盛虹,0.13
000300,沪深300,600460,士兰微,0.13
000300,沪深300,601877,正泰电器,0.13
000300,沪深300,601698,中国卫通,0.13
000300,沪深300,000768,中航西飞,0.13
000300,沪深300,600415,小商品城,0.13
000300,沪深300,688047,龙芯中科,0.13
000300,沪深300,600233,圆通速递,0.13
000300,沪深300,600029,南方航空,0.12
000300,沪深300,688396,华润微,0.12
000300,沪深300,601186,中国铁建,0.12
000300,沪深300,600196,复星医药,0.12
000300,沪深300,600886,国投电力,0.12
000300,沪深300,002736,国信证券,0.12
000300,沪深300,002920,德赛西威,0.12
000300,沪深300,600372,中航机载,0.12
000300,沪深300,688036,传音控股,0.12
000300,沪深300,600011,华能国际,0.12
000300,沪深300,000895,双汇发展,0.11
000300,沪深300,601066,中信建投,0.11
000300,沪深300,300316,晶盛机电,0.11
000300,沪深300,000963,华东医药,0.11
000300,沪深300,601117,中国化学,0.11
000300,沪深300,000661,长春高新,0.11
000300,沪深300,601901,方正证券,0.11
000300,沪深300,688223,晶科能源,0.11
000300,沪深300,600674,川投能源,0.11
000300,沪深300,601898,中煤能源,0.11
000300,沪深300,300759,康龙化成,0.11
000300,沪深300,601788,光大证券,0.11
000300,沪深300,600741,华域汽车,0.11
000300,沪深300,002252,上海莱士,0.11
000300,沪深300,002304,洋河股份,0.11
000300,沪深300,601111,中国国航,0.1
000300,沪深300,300866,安克创新,0.1
000300,沪深300,000002,万科A,0.1
000300,沪深300,002601,龙佰集团,0.1
000300,沪深300,000786,北新建材,0.1
000300,沪深300,601881,中国银河,0.1
000300,沪深300,601878,浙商证券,0.1
000300,沪深300,301236,软通动力,0.1
000300,沪深300,300347,泰格医药,0.1
000300,沪深300,600588,用友网络,0.1
000300,沪深300,688169,石头科技,0.09
000300,沪深300,000617,中油资本,0.09
000300,沪深300,600023,浙能电力,0.09
000300,沪深300,601800,中国交建,0.09
000300,沪深300,601633,长城汽车,0.09
000300,沪深300,601319,中国人保,0.09
000300,沪深300,601021,春秋航空,0.09
000300,沪深300,603369,今世缘,0.08
000300,沪深300,301269,华大九天,0.08
000300,沪深300,600039,四川路桥,0.08
000300,沪深300,600845,宝信软件,0.08
000300,沪深300,600027,华电国际,0.08
000300,沪深300,688472,阿特斯,0.08
000300,沪深300,601618,中国中冶,0.08
000300,沪深300,600600,青岛啤酒,0.08
000300,沪深300,300251,光线传媒,0.08
000300,沪深300,302132,中航成飞,0.08
000300,沪深300,002459,晶澳科技,0.08
000300,沪深300,688506,百利天恒,0.08
000300,沪深300,600515,海南机场,0.08
000300,沪深300,300628,亿联网络,0.07
000300,沪深300,600085,同仁堂,0.07
000300,沪深300,600930,华电新能,0.07
000300,沪深300,000596,古井贡酒,0.07
000300,沪深300,001965,招商公路,0.07
000300,沪深300,600025,华能水电,0.07
000300,沪深300,600918,中泰证券,0.07
000300,沪深300,000876,新希望,0.07
000300,沪深300,300896,爱美客,0.07
000300,沪深300,300122,智飞生物,0.07
000300,沪深300,000983,山西焦煤,0.07
000300,沪深300,600803,新奥股份,0.07
000300,沪深300,601607,上海医药,0.07
000300,沪深300,300832,新产业,0.07
000300,沪深300,603392,万泰生物,0.06
000300,沪深300,000708,中信特钢,0.06
000300,沪深300,000999,华润三九,0.06
000300,沪深300,300999,金龙鱼,0.06
000300,沪深300,688082,盛美上海,0.06
000300,沪深300,601238,广汽集团,0.06
000300,沪深300,300413,芒果超媒,0.06
000300,沪深300,601059,信达证券,0.06
000300,沪深300,601456,国联民生,0.06
000300,沪深300,603260,合盛硅业,0.06
000300,沪深300,600061,国投资本,0.06
000300,沪深300,601018,宁波港,0.06
000300,沪深300,603195,公牛集团,0.05
000300,沪深300,688009,中国通号,0.05
000300,沪深300,600018,上港集团,0.05
000300,沪深300,688187,时代电气,0.05
000300,沪深300,688303,大全能源,0.05
000300,沪深300,600161,天坛生物,0.05
000300,沪深300,601236,红塔证券,0.04
000300,沪深300,601136,首创证券,0.03
000300,沪深300,601808,中海油服,0.03
000300,沪深300,001391,国货航,0.02
000300,沪深300,300979,华利集团,0.02
000300,沪深300,601298,青岛港,0.02
000300,沪深300,600377,宁沪高速,0.02
