,沪深300,新华商品指数,债券指数,标普500,上证50,纳斯达克100,中证REITs
2013-05-30,2634.323,1226.254,146.7771,1654.41,1855.456,3011.83,
2013-05-31,2606.426,1226.496,146.7588,1630.74,1841.366,2981.76,
2013-06-03,2602.623,1235.639,146.7144,1640.42,1838.64,2990.79,
2013-06-04,2565.666,1235.723,146.6627,1631.38,1819.503,2973.69,
2013-06-05,2560.539,1238.466,146.6277,1608.9,1806.821,2937.14,
2013-06-06,2527.845,1223.957,146.5797,1622.56,1784.702,2950.3,
2013-06-07,2484.16,1229.209,146.4589,1643.38,1760.224,2990.87,
2013-06-08,,,146.4464,,,,
2013-06-09,,,146.7129,,,,
2013-06-10,,,,1642.81,,2990.49,
2013-06-11,,,,1626.13,,2959.84,
2013-06-12,,,,1612.52,,2926.14,
2013-06-13,2399.937,1214.986,146.6334,1636.36,1700.802,2962.9,
2013-06-14,2416.771,1217.455,146.5278,1626.73,1704.147,2943.86,
2013-06-17,2403.839,1224.348,146.4928,1639.04,1692.476,2971.26,
2013-06-18,2418.745,1222.311,146.4067,1651.81,1704.222,2996.09,
2013-06-19,2400.765,1224.394,145.9218,1628.93,1687.613,2959.5,
2013-06-20,2321.466,1206.856,144.8309,1588.19,1631.554,2890.33,
2013-06-21,2317.394,1198.646,145.167,1592.43,1633.164,2877.94,
2013-06-24,2171.21,1179.275,145.2752,1573.09,1525.166,2848.2,
2013-06-25,2165.421,1189.694,145.4228,1588.03,1526.803,2866.5,
2013-06-26,2168.297,1177.82,146.0528,1603.26,1509.682,2893.85,
2013-06-27,2160.735,1184.53,146.2551,1613.2,1512.204,2906.84,
2013-06-28,2200.639,1182.589,146.4421,1606.28,1552.383,2909.6,
2013-07-01,2213.317,1192.57,146.4446,1614.96,1549.374,2927.35,
2013-07-02,2221.984,1198.106,146.4972,1614.08,1541.341,2929.63,
2013-07-03,2203.828,1199.179,146.5279,1615.41,1522.911,2941.41,
2013-07-04,2221.979,1198.864,146.6097,,1535.321,,
2013-07-05,2226.849,1192.983,146.6356,1631.89,1542.049,2963.22,
2013-07-08,2163.619,1180.283,146.5402,1640.46,1506.727,2966.13,
2013-07-09,2162.669,1185.509,146.4911,1652.32,1505.299,2984.32,
2013-07-10,2224.065,1188.512,146.1466,1652.62,1546.743,3000.66,
2013-07-11,2326.688,1208.189,146.01,1675.02,1635.66,3059.46,
2013-07-12,2275.373,1196.466,145.8729,1680.19,1587.589,3079.07,
2013-07-15,2307.297,1193.797,145.8712,1682.5,1604.662,3079.85,
2013-07-16,2317.848,1197.813,145.7944,1676.26,1606.341,3077.47,
2013-07-17,2282.836,1203.446,145.558,1680.91,1582.141,3085.28,
2013-07-18,2245.328,1204.099,145.5023,1689.37,1549.348,3077.82,
2013-07-19,2190.478,1204.704,145.4339,1692.09,1511.4,3044.93,
2013-07-22,2202.189,1212.982,145.1915,1695.53,1514.052,3055.23,
2013-07-23,2265.845,1213.978,144.939,1692.39,1555.837,3031.4,
2013-07-24,2249.151,1214.932,144.6445,1685.94,1532.353,3041.16,
2013-07-25,2237.683,1211.03,145.0682,1690.25,1529.299,3061.67,
2013-07-26,2224.008,1198.344,145.1441,1691.65,1521.612,3076.23,
2013-07-29,2175.97,1185.747,145.0847,1685.33,1484.21,3068.95,
2013-07-30,2189.388,1185.025,145.1305,1685.96,1500.938,3085.33,
2013-07-31,2193.021,1193.384,145.21,1685.73,1504.167,3090.19,
2013-08-01,2245.364,1200.176,145.3192,1706.87,1537.81,3126.3,
2013-08-02,2247.263,1200.034,145.3854,1709.67,1536.505,3143.52,
2013-08-05,2278.329,1204.845,145.3578,1707.14,1554.188,3143.19,
2013-08-06,2293.641,1204.503,145.3142,1697.37,1556.297,3122.2,
2013-08-07,2280.623,1198.952,145.0479,1690.91,1551.155,3118.69,
2013-08-08,2276.782,1215.244,144.6672,1697.48,1544.624,3130.13,
2013-08-09,2286.01,1220.798,144.5212,1691.42,1553.044,3118.57,
2013-08-12,2352.794,1237.748,144.3642,1689.47,1610.265,3125.93,
2013-08-13,2359.068,1247.956,143.8518,1694.16,1619.743,3141.06,
2013-08-14,2349.08,1240.28,143.5286,1685.39,1610.218,3129.45,
