trade_date,roe_ttm
2010-01-29,10.07518869
2010-02-26,10.10476193
2010-03-31,11.02061784
2010-04-30,10.94213053
2010-05-31,10.84171088
2010-06-30,10.81167677
2010-07-30,10.82256688
2010-08-31,10.82256688
2010-09-30,10.94036223
2010-10-29,10.94036223
2010-11-30,10.94036223
2010-12-31,13.21260719
2011-01-31,13.24491716
2011-02-28,13.30483995
2011-03-31,13.96792914
2011-04-29,13.92705631
2011-05-31,13.76074998
2011-06-30,16.45016306
2011-07-29,16.41547001
2011-08-31,16.41547001
2011-09-30,17.57451424
2011-10-31,17.5190497
2011-11-30,17.5190497
2011-12-30,17.55076854
2012-01-31,15.47876974
2012-02-29,15.47876974
2012-03-30,15.47876974
2012-04-27,13.62486148
2012-05-31,14.10631717
2012-06-29,14.10631717
2012-07-31,11.05952583
2012-08-31,11.07950032
2012-09-28,11.07950032
2012-10-31,8.174849565
2012-11-30,8.174849565
2012-12-31,7.966095171
2013-01-31,7.957867191
2013-02-28,7.957867191
2013-03-29,7.957867191
2013-04-26,7.445323104
2013-05-31,7.416206575
2013-06-28,7.416206575
2013-07-31,8.066211873
2013-08-30,8.066211873
2013-09-30,8.855339534
2013-10-31,8.855339534
2013-11-29,8.855339534
2013-12-31,10.1145284
2014-01-30,10.1145284
2014-02-28,10.14007091
2014-03-31,10.83994871
2014-04-30,10.83994871
2014-05-30,10.96290442
2014-06-30,11.46174719
2014-07-31,11.46174719
2014-08-29,11.46174719
2014-09-30,11.07456745
2014-10-31,10.98832494
2014-11-28,10.98832494
2014-12-31,9.327780922
2015-01-30,9.335215695
2015-02-27,9.335215695
2015-03-31,8.265739529
2015-04-30,8.269297737
2015-05-29,8.221015731
2015-06-30,7.67344803
2015-07-31,7.667694602
2015-08-31,7.668852298
2015-09-30,6.229432454
2015-10-30,6.229432454
2015-11-30,6.229432454
2015-12-31,4.640078324
2016-01-29,4.640078324
2016-02-29,4.640078324
2016-03-31,4.446891299
2016-04-29,4.446891299
2016-05-31,4.446891299
2016-06-30,4.021394126
2016-07-29,4.021394126
2016-08-31,4.021394126
2016-09-30,5.425603852
2016-10-31,5.425603852
2016-11-30,5.425603852
2016-12-30,5.425603852
2017-01-26,7.121206252
2017-02-28,7.141076049
2017-03-31,7.788755608
2017-04-28,7.814413445
2017-05-31,7.814413445
2017-06-30,9.198230804
2017-07-31,9.198230804
2017-08-31,9.198230804
2017-09-29,9.198230804
2017-10-31,10.0230773
2017-11-30,10.03056341
2017-12-29,10.03056341
2018-01-31,11.48086615
2018-02-28,11.69061044
2018-03-30,11.69061044
2018-04-27,13.30393763
2018-05-31,13.39409957
2018-06-29,13.80670237
2018-07-31,16.06716155
2018-08-31,16.06716155
2018-09-28,16.06716155
2018-10-31,17.14492083
2018-11-30,17.14492083
2018-12-28,17.13177663
2019-01-31,17.1454489
2019-02-28,17.1454489
2019-03-29,17.08881544
2019-04-30,16.99671381
2019-05-31,16.99671381
2019-06-28,16.99671381
2019-07-31,17.39503872
2019-08-30,17.34099009
2019-09-30,16.86201477
2019-10-31,16.86201477
2019-11-29,16.86201477
2019-12-31,15.73260225
2020-01-23,15.73260225
2020-02-28,15.73260225
2020-03-31,14.4508322
2020-04-30,14.4508322
2020-05-29,14.4508322
2020-06-30,15.34338781
2020-07-31,15.34338781
2020-08-31,15.34338781
2020-09-30,15.20260221
2020-10-30,15.15045232
2020-11-30,15.15045232
2020-12-31,15.90446626
2021-01-29,15.88693026
2021-02-26,15.9125987
2021-03-31,16.53615474
2021-04-30,16.55201903
2021-05-31,16.55201903
2021-06-30,17.00696403
2021-07-30,17.01339084
2021-08-31,17.01339084
2021-09-30,14.08313968
2021-10-29,14.08313968
2021-11-30,14.08313968
2021-12-31,14.86069804
