trade_date,roe_ttm
2010-01-29,3.870018692
2010-02-26,3.89184274
2010-03-31,6.767981866
2010-04-30,6.781296308
2010-05-31,6.475806545
2010-06-30,7.590016333
2010-07-30,7.590016333
2010-08-31,7.590016333
2010-09-30,7.550154765
2010-10-29,7.550154765
2010-11-30,7.550154765
2010-12-31,8.896228891
2011-01-31,8.962009266
2011-02-28,8.977663095
2011-03-31,9.072826928
2011-04-29,9.08498711
2011-05-31,9.189999534
2011-06-30,11.22165817
2011-07-29,11.22165817
2011-08-31,11.22165817
2011-09-30,11.99143738
2011-10-31,11.99143738
2011-11-30,11.99143738
2011-12-30,11.99143738
2012-01-31,10.85822081
2012-02-29,10.85822081
2012-03-30,10.85822081
2012-04-27,9.961205143
2012-05-31,10.1117442
2012-06-29,10.1117442
2012-07-31,7.493126873
2012-08-31,7.517771766
2012-09-28,7.517771766
2012-10-31,5.497157402
2012-11-30,5.497157402
2012-12-31,3.85338184
2013-01-31,3.85338184
2013-02-28,3.85338184
2013-03-29,3.85338184
2013-04-26,2.879964252
2013-05-31,2.866941923
2013-06-28,2.900616665
2013-07-31,2.430077372
2013-08-30,2.430077372
2013-09-30,2.179281346
2013-10-31,2.179281346
2013-11-29,2.179281346
2013-12-31,5.440015199
2014-01-30,5.440015199
2014-02-28,5.468922733
2014-03-31,4.633832529
2014-04-30,4.633832529
2014-05-30,4.679359832
2014-06-30,4.645040392
2014-07-31,4.645255953
2014-08-29,4.649272269
2014-09-30,4.813595877
2014-10-31,4.817624835
2014-11-28,4.817624835
2014-12-31,-0.331593896
2015-01-30,-0.319254832
2015-02-27,-0.278120654
2015-03-31,-0.077388732
2015-04-30,-0.061730849
2015-05-29,-0.048124772
2015-06-30,0.207807118
2015-07-31,0.272194454
2015-08-31,0.272194454
2015-09-30,-0.946675882
2015-10-30,-0.946675882
2015-11-30,-0.946675882
2015-12-31,-0.004582766
2016-01-29,-0.004582766
2016-02-29,-0.004582766
2016-03-31,0.097091875
2016-04-29,0.132532764
2016-05-31,0.132532764
2016-06-30,0.313859109
2016-07-29,0.313859109
2016-08-31,0.313859109
2016-09-30,1.698228998
2016-10-31,1.698228998
2016-11-30,1.698228998
2016-12-30,1.698228998
2017-01-26,3.523586914
2017-02-28,3.549336364
2017-03-31,4.319213498
2017-04-28,4.334123187
2017-05-31,4.334123187
2017-06-30,4.929505727
2017-07-31,4.929505727
2017-08-31,4.969769628
2017-09-29,4.969769628
2017-10-31,5.71776702
2017-11-30,5.726510679
2017-12-29,5.726510679
2018-01-31,5.963535695
2018-02-28,5.875579805
2018-03-30,5.879051351
2018-04-27,6.117130687
2018-05-31,6.139471281
2018-06-29,6.144659808
2018-07-31,6.665238491
2018-08-31,6.665238491
2018-09-28,6.62982696
2018-10-31,5.915900865
2018-11-30,5.915900865
2018-12-28,5.915900865
2019-01-31,1.927857138
2019-02-28,1.927857138
2019-03-29,1.927857138
2019-04-30,1.242591439
2019-05-31,1.242591439
2019-06-28,1.242591439
2019-07-31,1.332723655
2019-08-30,1.332723655
2019-09-30,1.202640652
2019-10-31,1.202640652
2019-11-29,1.202640652
2019-12-31,1.257456167
2020-01-23,1.257456167
2020-02-28,1.269292904
2020-03-31,0.598216767
2020-04-30,0.598216767
2020-05-29,0.757168592
2020-06-30,0.628836707
2020-07-31,0.810784058
2020-08-31,0.818815634
2020-09-30,1.295965714
2020-10-30,1.346289634
2020-11-30,1.30591081
2020-12-31,5.717343315
2021-01-29,5.717343315
2021-02-26,5.726482737
2021-03-31,7.617732383
2021-04-30,7.617732383
2021-05-31,7.617732383
2021-06-30,9.868984914
2021-07-30,9.911930338
2021-08-31,9.917112741
2021-09-30,11.62634881
2021-10-29,11.62634881
2021-11-30,11.6320088
2021-12-31,12.7091092
