trade_date,sentiment_index
2010-02-01,-1.1826296267279468
2010-03-01,0.6566558563697144
2010-04-01,0.7721421702374204
2010-05-01,-0.5057697130049036
2010-06-01,-1.0918083978525828
2010-07-01,-1.116951288118959
2010-08-01,0.25269266560722475
2010-09-01,0.602884842327119
2010-10-01,1.387816130295323
2010-11-01,2.066178376468146
2010-12-01,2.8743104549013756
2011-01-01,3.4631835518740224
2011-02-01,3.189289273560588
2011-03-01,4.224879792196634
2011-04-01,4.427754505965388
2011-05-01,3.6151142333947206
2011-06-01,4.5606872343271645
2011-07-01,5.602199903768403
2011-08-01,4.556042035321529
2011-09-01,3.9120598688748798
2011-10-01,0.7133871063227011
2011-11-01,2.4412778713453345
2011-12-01,1.8605422883114926
2012-01-01,2.104847828464006
2012-02-01,1.8202533793261804
2012-03-01,2.0440274886278265
2012-04-01,1.3203208952128247
2012-05-01,0.613431446050926
2012-06-01,-0.45407049076579903
2012-07-01,-0.36425016584171577
2012-08-01,-0.3480312654237967
2012-09-01,1.6942123074857507
2012-10-01,1.4479880077227842
2012-11-01,0.7812968126734761
2012-12-01,2.275697217271672
2013-01-01,1.7522234811650013
2013-02-01,0.6780207938514536
2013-03-01,0.4343787470536206
2013-04-01,-0.7546998853984817
2013-05-01,-0.4470766695916634
2013-06-01,-0.9439994665100877
2013-07-01,-1.129299042244842
2013-08-01,0.266895407892327
2013-09-01,0.07628578693233089
2013-10-01,0.16643421971606087
2013-11-01,-0.021530713647884607
2013-12-01,0.7206825186341996
2014-01-01,0.08574979678231398
2014-02-01,-2.216079849966094
2014-03-01,-1.9902750679810797
2014-04-01,-1.2197404122345343
2014-05-01,-0.6999044976143818
2014-06-01,-0.7050223194848335
2014-07-01,0.7029685343020318
2014-08-01,0.26904529294831175
2014-09-01,-0.44465022110632213
2014-10-01,-1.3204854765506442
2014-11-01,-1.3505821206272666
2014-12-01,-1.6239344394665147
2015-01-01,-2.886422554374331
2015-02-01,-4.496710191482422
2015-03-01,-3.267801540093546
2015-04-01,-3.1717436372610703
2015-05-01,-2.3768345613346917
2015-06-01,-3.7221075984377925
2015-07-01,-4.224174182264574
2015-08-01,-5.003757751682207
2015-09-01,-4.587888114418185
2015-10-01,-5.121947860607745
2015-11-01,-5.735132603346778
2015-12-01,-5.42905306847699
2016-01-01,-5.505195685981923
2016-02-01,-6.448538570827083
2016-03-01,-4.199964351500964
2016-04-01,-4.361715728327924
2016-05-01,-3.8383373154354903
2016-06-01,-3.9761792717444204
2016-07-01,-2.9678454589889234
2016-08-01,-2.675952674496116
2016-09-01,-3.1169674522737956
2016-10-01,-2.3238537130371695
2016-11-01,-0.0009590176917615649
2016-12-01,0.5518962511115896
2017-01-01,-0.5224890308353275
2017-02-01,-0.8995144958276375
2017-03-01,-0.14166271837894098
2017-04-01,-0.8448808187639759
2017-05-01,-0.8070781836711809
2017-06-01,0.012736382945855088
2017-07-01,0.49239522119512685
2017-08-01,2.2655565830525153
2017-09-01,1.951893750165925
2017-10-01,1.8053874783303654
2017-11-01,1.9881358687937956
2017-12-01,1.9933762351628228
2018-01-01,2.081975310888104
2018-02-01,0.3369570452654942
2018-03-01,0.6173464536925894
2018-04-01,1.0559120160493942
2018-05-01,1.9015922206605398
2018-06-01,2.2346150073659947
2018-07-01,0.8533076395508257
2018-08-01,1.1184103803474694
2018-09-01,0.21374043090417777
2018-10-01,0.008743502161106491
2018-11-01,-0.4463536075102709
2018-12-01,-1.4257275352754697
2019-01-01,-0.8878254191740304
2019-02-01,-2.911523644796214
2019-03-01,-1.12177667496134
2019-04-01,-1.3475422941570312
2019-05-01,-1.7254013275048763
2019-06-01,-1.954576865391322
2019-07-01,-1.9159195788438292
2019-08-01,-2.083396149415382
2019-09-01,-1.8708400368682865
2019-10-01,-2.3766495508816337
2019-11-01,-2.170093441972739
2019-12-01,-1.7368484073073052
2020-01-01,-1.9553065018957805
2020-02-01,-5.452065556056973
2020-03-01,-5.12604901515429
2020-04-01,-6.399113103124136
2020-05-01,-5.003312495703558
2020-06-01,-3.3525637327148967
2020-07-01,-1.7886000980795222
2020-08-01,-1.3850866140974396
2020-09-01,-1.4487786167801646
2020-10-01,-1.858476354988455
2020-11-01,-0.07812971414763689
2020-12-01,2.351887776907597
2021-01-01,2.3880342357520066
2021-02-01,2.8642645718262676
2021-03-01,5.345987870699868
2021-04-01,6.236530451598825
2021-05-01,7.466350995549291
2021-06-01,6.614960653558723
2021-07-01,6.986093498217616
2021-08-01,7.411683010902134
2021-09-01,7.772857415979581
2021-10-01,8.36999254982934
2021-11-01,7.655282309015877
2021-12-01,7.025694377462762
