date,nav,return
2020-01-03,1.98,-0.011482775836245684
2020-01-06,1.975,-0.002525252525252486
2020-01-07,1.998,0.011645569620253093
2020-01-08,1.988,-0.005005005005005003
2020-01-09,2.023,0.01760563380281699
2020-01-10,2.023,0.0
2020-01-13,2.041,0.008897676717745773
2020-01-14,2.033,-0.0039196472317492015
2020-01-15,2.03,-0.0014756517461879115
2020-01-16,2.033,0.001477832512315258
2020-01-17,2.035,0.000983767830792015
2020-01-20,2.025,-0.004914004914005066
2020-01-21,1.986,-0.019259259259259198
2020-01-22,2.008,0.011077542799597273
2020-01-23,1.953,-0.027390438247011928
2020-02-03,1.819,-0.06861239119303641
2020-02-04,1.889,0.03848268279274336
2020-02-05,1.912,0.012175754367390157
2020-02-06,1.93,0.009414225941422494
2020-02-07,1.933,0.0015544041450776813
2020-02-10,1.944,0.005690636316606268
2020-02-11,1.978,0.017489711934156382
2020-02-12,1.978,0.0
2020-02-13,1.958,-0.010111223458038388
2020-02-14,1.963,0.0025536261491319046
2020-02-17,1.992,0.014773306164034494
2020-02-18,1.986,-0.003012048192771122
2020-02-19,1.99,0.002014098690835908
2020-02-20,2.034,0.022110552763819014
2020-02-21,2.033,-0.000491642084562427
2020-02-24,2.019,-0.006886374815543439
2020-02-25,2.007,-0.005943536404160454
2020-02-26,1.979,-0.013951170901843613
2020-02-27,1.993,0.0070742799393632705
2020-02-28,1.942,-0.025589563472152577
2020-03-02,1.994,0.026776519052523096
2020-03-03,2.013,0.00952858575727178
2020-03-04,2.029,0.007948335817188346
2020-03-05,2.069,0.019714144898965058
2020-03-06,2.041,-0.013533107781536935
2020-03-09,1.969,-0.03527682508574226
2020-03-10,2.02,0.02590147282884714
2020-03-11,2.0,-0.00990099009900991
2020-03-12,1.956,-0.02200000000000002
2020-03-13,1.939,-0.008691206543967267
2020-03-16,1.866,-0.03764827230531198
2020-03-17,1.846,-0.010718113612004254
2020-03-18,1.814,-0.017334777898158182
2020-03-19,1.797,-0.009371554575523744
2020-03-20,1.816,0.01057317751808573
2020-03-23,1.755,-0.033590308370044175
2020-03-24,1.804,0.02792022792022797
2020-03-25,1.846,0.02328159645232808
2020-03-26,1.828,-0.009750812567713929
2020-03-27,1.836,0.004376367614879584
2020-03-30,1.818,-0.009803921568627416
2020-03-31,1.832,0.007700770077007757
2020-04-01,1.828,-0.0021834061135370675
2020-04-02,1.859,0.01695842450765861
2020-04-03,1.845,-0.007530930607853703
2020-04-07,1.881,0.019512195121951237
2020-04-08,1.88,-0.0005316321105794941
2020-04-09,1.89,0.005319148936170137
2020-04-10,1.885,-0.002645502645502562
2020-04-13,1.877,-0.004244031830238693
2020-04-14,1.904,0.014384656366542403
2020-04-15,1.884,-0.010504201680672232
2020-04-16,1.878,-0.0031847133757961776
2020-04-17,1.898,0.010649627263045858
2020-04-20,1.912,0.007376185458377149
2020-04-21,1.886,-0.013598326359832602
2020-04-22,1.906,0.010604453870625585
2020-04-23,1.92,0.00734522560335793
2020-04-24,1.905,-0.0078125
