trade_date,sentiment_index
2010-01-01,1.039740764875204
2010-02-01,1.01030190045375
2010-03-01,0.6841656034417122
2010-04-01,0.41431211990841593
2010-05-01,1.2796824227639587
2010-06-01,1.3502909935129541
2010-07-01,1.4184392550786238
2010-08-01,1.422111450367893
2010-09-01,0.7405344036870578
2010-10-01,0.3269530719201557
2010-11-01,0.021795915254789983
2010-12-01,-0.9101424217986465
2011-01-01,-1.2911726561858488
2011-02-01,-1.6836623592138673
2011-03-01,-2.131204031005574
2011-04-01,-2.66369585427981
2011-05-01,-2.4886900952886206
2011-06-01,-2.1245624611051275
2011-07-01,-2.4571865594447515
2011-08-01,-2.3471904431637576
2011-09-01,-0.510156123789275
2011-10-01,-0.8803439416037161
2011-11-01,-1.0473879495449507
2011-12-01,-1.0607694193707429
2012-01-01,-1.429794497219684
2012-02-01,-1.7907536391744454
2012-03-01,-2.4030230122777323
2012-04-01,-2.398652492933843
2012-05-01,-1.2575010377055522
2012-06-01,-0.6650159837897114
2012-07-01,-0.8281905417601317
2012-08-01,-1.1047415582491342
2012-09-01,-2.0578728145922445
2012-10-01,-2.182809813055541
2012-11-01,-2.169267785964333
2012-12-01,-2.39849479423951
2013-01-01,-2.3434274353692666
2013-02-01,-1.7598391453324125
2013-03-01,-2.333161242605204
2013-04-01,-1.634850301149157
2013-05-01,-1.2980560724256842
2013-06-01,-1.042116553799394
2013-07-01,-1.488699622069775
2013-08-01,-1.542532162227139
2013-09-01,-1.6008171285670634
2013-10-01,-1.805782731859975
2013-11-01,-1.7508023768808447
2013-12-01,-2.0752704547141723
2014-01-01,-1.1354933944172125
2014-02-01,-0.3844414884309142
2014-03-01,-1.0792339745693504
2014-04-01,-1.1620552027717617
2014-05-01,-1.2024954064631375
2014-06-01,-1.7635436461605138
2014-07-01,-1.783752047438786
2014-08-01,-1.3427264836241244
2014-09-01,-0.7721687568496838
2014-10-01,-0.32821991877998036
2014-11-01,0.4801868879380341
2014-12-01,1.4007942548873615
2015-01-01,3.206004738934223
2015-02-01,3.982532514832098
2015-03-01,3.1030031716668
2015-04-01,2.6381774127482864
2015-05-01,2.4525228656890627
2015-06-01,2.5902105501814963
2015-07-01,3.1994504211048014
2015-08-01,3.574547815496394
2015-09-01,4.173705905250386
2015-10-01,4.138495717571746
2015-11-01,4.1225148235473
2015-12-01,4.346323662012015
2016-01-01,5.483945626406676
2016-02-01,6.020954041378402
2016-03-01,4.509702193270738
2016-04-01,3.7486280936012992
2016-05-01,3.913348928972306
2016-06-01,3.4889398974689305
2016-07-01,3.581001869172711
2016-08-01,3.7059690140375334
2016-09-01,3.361846994870677
2016-10-01,2.9656738126637805
2016-11-01,2.049223251875138
2016-12-01,1.4115019254079029
2017-01-01,1.464572711800373
2017-02-01,2.0715238091261368
2017-03-01,1.8573058904386486
2017-04-01,1.950048292554304
2017-05-01,1.974185617442563
2017-06-01,1.6139037060606953
2017-07-01,1.2089125108042043
2017-08-01,0.9595934283306332
2017-09-01,0.9942430162497516
2017-10-01,0.6016363573396996
2017-11-01,0.16009432829831552
2017-12-01,-0.2917529080540718
2018-01-01,-0.4117619463036873
2018-02-01,0.2765638563512054
2018-03-01,-0.37779354017426137
2018-04-01,-0.48203301038623503
2018-05-01,-0.8424778107640737
2018-06-01,-1.1304451203244303
2018-07-01,-0.9402846773481216
2018-08-01,-0.8272662718247318
2018-09-01,-1.5126277174553429
2018-10-01,-1.4650671496988683
2018-11-01,-0.6029885700708844
2018-12-01,-0.6250406564607699
2019-01-01,-0.3860451792866556
2019-02-01,0.21999677173517207
2019-03-01,-0.5298440094261919
2019-04-01,-0.7500862673260732
2019-05-01,-0.3056868447901299
2019-06-01,-0.6676542525389948
2019-07-01,-0.5578748619239332
2019-08-01,-0.18108591263962315
2019-09-01,-0.21984977352264465
2019-10-01,-0.22171515420408033
2019-11-01,-0.39791438257961076
2019-12-01,-1.3773618453795582
2020-01-01,-0.05227023054705007
2020-02-01,1.476631418257378
2020-03-01,4.035046787168071
2020-04-01,4.62875361128243
2020-05-01,3.908917990259979
2020-06-01,3.202617053795521
2020-07-01,1.7235515331163935
2020-08-01,1.0906930797967325
2020-09-01,0.9554781471781609
2020-10-01,1.224307088824407
2020-11-01,-0.08560013336707545
2020-12-01,-0.7431303245832536
2021-01-01,-0.9088986496137248
2021-02-01,-1.3002832662860984
2021-03-01,-2.5934471817525826
2021-04-01,-2.6893926116689495
2021-05-01,-3.7083348088399917
2021-06-01,-3.923240221051102
2021-07-01,-4.042067437839999
2021-08-01,-4.075738276923577
2021-09-01,-5.194959453765589
2021-10-01,-5.733276731839988
2021-11-01,-5.590090122570575
2021-12-01,-5.298956152066778
