trade_date,roe_ttm
2010-01-29,13.28294845
2010-02-26,13.29334083
2010-03-31,14.17405587
2010-04-30,14.16977404
2010-05-31,14.17146859
2010-06-30,13.91587259
2010-07-30,13.91587259
2010-08-31,13.91587259
2010-09-30,14.2198269
2010-10-29,14.2198269
2010-11-30,14.2198269
2010-12-31,15.31072094
2011-01-31,15.30078394
2011-02-28,15.3024729
2011-03-31,15.21250503
2011-04-29,15.21250503
2011-05-31,15.10300755
2011-06-30,14.73686761
2011-07-29,14.73686761
2011-08-31,14.73686761
2011-09-30,14.77460059
2011-10-31,14.77460059
2011-11-30,14.77642071
2011-12-30,14.77642071
2012-01-31,13.56223522
2012-02-29,13.57587699
2012-03-30,13.57587699
2012-04-27,12.64420684
2012-05-31,12.61592726
2012-06-29,12.61592726
2012-07-31,11.65794209
2012-08-31,11.65794209
2012-09-28,11.65794209
2012-10-31,10.63925934
2012-11-30,10.63925934
2012-12-31,10.90870655
2013-01-31,10.90870655
2013-02-28,10.90870655
2013-03-29,10.90870655
2013-04-26,10.43478529
2013-05-31,10.4189132
2013-06-28,10.4189132
2013-07-31,11.1152462
2013-08-30,11.1152462
2013-09-30,11.63743334
2013-10-31,11.63743334
2013-11-29,11.63743334
2013-12-31,11.4556113
2014-01-30,11.4556113
2014-02-28,11.4556113
2014-03-31,10.87412104
2014-04-30,10.85412563
2014-05-30,10.85883499
2014-06-30,11.34880752
2014-07-31,11.34880752
2014-08-29,11.34880752
2014-09-30,11.04862199
2014-10-31,11.0491663
2014-11-28,11.0491663
2014-12-31,8.589193637
2015-01-30,8.589193637
2015-02-27,8.587644322
2015-03-31,6.264488912
2015-04-30,6.264488912
2015-05-29,6.266101398
2015-06-30,5.70454563
2015-07-31,5.693955736
2015-08-31,5.693955736
2015-09-30,3.552782651
2015-10-30,3.552782651
2015-11-30,3.552782651
2015-12-31,3.802250308
2016-01-29,3.802250308
2016-02-29,3.802919538
2016-03-31,3.054404462
2016-04-29,3.057572021
2016-05-31,3.057572021
2016-06-30,1.89689918
2016-07-29,1.89689918
2016-08-31,1.89689918
2016-09-30,2.209553945
2016-10-31,2.209553945
2016-11-30,2.209553945
2016-12-30,2.209553945
2017-01-26,2.815532443
2017-02-28,2.872670513
2017-03-31,3.607354245
2017-04-28,3.607354245
2017-05-31,3.607354245
2017-06-30,3.603242884
2017-07-31,3.603242884
2017-08-31,3.603242884
2017-09-29,3.603242884
2017-10-31,4.063053958
2017-11-30,4.063053958
2017-12-29,4.078067647
2018-01-31,3.940424588
2018-02-28,3.938601442
2018-03-30,3.955128094
2018-04-27,4.239992638
2018-05-31,4.239992638
2018-06-29,4.184184893
2018-07-31,5.369944422
2018-08-31,5.369944422
2018-09-28,5.487013898
2018-10-31,6.608349692
2018-11-30,6.608349692
2018-12-28,6.608349692
2019-01-31,6.217280217
2019-02-28,6.217280217
2019-03-29,6.217280217
2019-04-30,5.875573796
2019-05-31,5.875573796
2019-06-28,5.875573796
2019-07-31,5.698334676
2019-08-30,5.748725381
2019-09-30,4.989568246
2019-10-31,4.989568246
2019-11-29,4.989568246
2019-12-31,5.792177667
2020-01-23,5.792177667
2020-02-28,5.792177667
2020-03-31,3.223464829
2020-04-30,3.223464829
2020-05-29,3.227526667
2020-06-30,0.984567127
2020-07-31,0.992945052
2020-08-31,0.996145397
2020-09-30,3.837324665
2020-10-30,3.837324665
2020-11-30,3.837324665
2020-12-31,3.714405592
2021-01-29,3.714405592
2021-02-26,3.714405592
2021-03-31,7.429737868
2021-04-30,7.436261076
2021-05-31,7.436261076
2021-06-30,10.30467717
2021-07-30,10.30467717
2021-08-31,10.30467717
2021-09-30,8.602727442
2021-10-29,8.602727442
2021-11-30,8.602727442
2021-12-31,8.742656299
