指标名称,期货收盘价(连一):铜,期货收盘价(连续):螺纹钢,期货收盘价(连续):豆粕,期货收盘价(连续):精对苯二甲酸(PTA),期货收盘价(连续):白糖
频率,日,日,日,日,日
单位,元/吨,元/吨,元/吨,元/吨,元/吨
2010/4/30,"58,580.00","4,290.00","2,984.00","8,060.00","4,950.00"
2010/5/4,"58,050.00","4,315.00","2,987.00","8,014.00","4,850.00"
2010/5/5,"56,790.00","4,300.00","3,012.00","7,950.00","4,854.00"
2010/5/6,"56,070.00","4,295.00","3,045.00","7,898.00","4,885.00"
2010/5/7,"54,590.00","4,279.00","2,985.00","7,726.00","4,807.00"
2010/5/10,"56,600.00","4,246.00","2,950.00","7,770.00","4,909.00"
2010/5/11,"55,700.00","4,208.00","2,950.00","7,740.00","4,896.00"
2010/5/12,"55,910.00","4,070.00","2,960.00","7,762.00","4,916.00"
2010/5/13,"56,600.00","4,083.00","3,052.00","7,746.00","4,954.00"
2010/5/14,"56,480.00","4,060.00","3,052.00","7,554.00","4,907.00"
2010/5/17,"53,530.00","3,915.00","3,058.00","7,282.00","4,800.00"
2010/5/18,"53,650.00","3,984.00","2,858.00","7,388.00","4,920.00"
2010/5/19,"53,090.00","4,020.00","2,830.00","7,350.00","4,915.00"
2010/5/20,"53,990.00","4,030.00","2,828.00","7,386.00","4,937.00"
2010/5/21,"53,700.00","4,025.00","2,810.00","7,306.00","4,957.00"
2010/5/24,"55,200.00","4,091.00","2,817.00","7,402.00","5,018.00"
2010/5/25,"54,200.00","4,067.00","2,798.00","7,176.00","4,940.00"
2010/5/26,"54,880.00","4,073.00","2,791.00","7,242.00","4,984.00"
2010/5/27,"55,260.00","4,066.00","2,782.00","7,358.00","4,995.00"
2010/5/28,"55,720.00","4,050.00","2,769.00","7,398.00","4,935.00"
2010/5/31,"55,040.00","3,989.00","2,720.00","7,396.00","4,900.00"
2010/6/1,"54,240.00","3,975.00","2,699.00","7,336.00","4,897.00"
2010/6/2,"53,440.00","3,975.00","2,693.00","7,208.00","4,952.00"
2010/6/3,"53,800.00","4,008.00","2,707.00","7,268.00","4,956.00"
2010/6/4,"53,150.00","3,998.00","2,711.00","7,196.00","4,973.00"
2010/6/7,"50,280.00","3,935.00","2,662.00","6,934.00","5,000.00"
2010/6/8,"49,470.00","3,928.00","2,658.00","6,948.00","5,000.00"
2010/6/9,"50,500.00","3,940.00","2,638.00","7,030.00","5,025.00"
2010/6/10,"50,880.00","3,920.00","2,642.00","7,060.00","5,011.00"
2010/6/11,"51,550.00","3,930.00","2,649.00","7,060.00","5,016.00"
2010/6/17,"52,000.00","3,978.00","2,665.00","7,082.00","5,030.00"
2010/6/18,"51,330.00","3,952.00","2,665.00","7,158.00","5,015.00"
2010/6/21,"53,790.00","3,976.00","2,707.00","7,328.00","5,058.00"
2010/6/22,"53,000.00","3,965.00","2,702.00","7,304.00","5,056.00"
2010/6/23,"53,230.00","3,949.00","2,713.00","7,254.00","5,050.00"
2010/6/24,"53,580.00","3,949.00","2,740.00","7,274.00","5,090.00"
2010/6/25,"53,180.00","3,935.00","2,740.00","7,242.00","5,120.00"
2010/6/28,"54,000.00","3,918.00","2,745.00","7,272.00","5,092.00"
2010/6/29,"53,050.00","3,861.00","2,745.00","7,142.00","5,106.00"
2010/6/30,"52,230.00","3,825.00","2,715.00","7,112.00","5,129.00"
2010/7/1,"51,600.00","3,812.00","2,668.00","7,016.00","5,135.00"
2010/7/2,"52,440.00","3,804.00","2,678.00","7,044.00","5,188.00"
2010/7/5,"52,550.00","3,828.00","2,678.00","7,064.00","5,310.00"
2010/7/6,"52,510.00","3,820.00","2,678.00","7,038.00","5,269.00"
2010/7/7,"52,500.00","3,810.00","2,678.00","7,040.00","5,256.00"
2010/7/8,"53,420.00","3,800.00","2,678.00","7,098.00","5,230.00"
2010/7/9,"53,950.00","3,730.00","2,678.00","7,150.00","5,240.00"
2010/7/12,"53,370.00","3,746.00","2,678.00","7,052.00","5,245.00"
2010/7/13,"52,710.00","3,720.00","2,678.00","6,984.00","5,210.00"
2010/7/14,"53,350.00","3,735.00","2,678.00","7,000.00","5,211.00"
2010/7/15,"53,480.00","3,787.00","2,850.00","6,920.00","5,252.00"
2010/7/16,"53,350.00","3,768.00","2,875.00","6,914.00","5,285.00"
2010/7/19,"52,600.00","3,808.00","2,893.00","6,974.00","5,288.00"
2010/7/20,"53,300.00","3,887.00","2,911.00","7,020.00","5,299.00"
2010/7/21,"53,550.00","3,900.00","2,908.00","7,020.00","5,271.00"
2010/7/22,"54,100.00","3,886.00","2,951.00","7,050.00","5,288.00"
2010/7/23,"55,430.00","3,967.00","2,960.00","7,120.00","5,293.00"
2010/7/26,"55,660.00","3,920.00","2,969.00","7,172.00","5,290.00"
2010/7/27,"55,280.00","3,888.00","2,941.00","7,130.00","5,277.00"
2010/7/28,"56,250.00","3,920.00","2,960.00","7,162.00","5,299.00"
2010/7/29,"56,230.00","3,906.00","2,997.00","7,142.00","5,306.00"
2010/7/30,"56,250.00","3,952.00","3,065.00","7,164.00","5,332.00"
2010/8/2,"57,680.00","4,030.00","3,059.00","7,254.00","5,365.00"
2010/8/3,"57,540.00","4,020.00","3,059.00","7,276.00","5,359.00"
2010/8/4,"57,510.00","4,005.00","3,059.00","7,274.00","5,327.00"
2010/8/5,"57,440.00","4,031.00","3,059.00","7,200.00","5,337.00"
2010/8/6,"57,850.00","4,030.00","3,059.00","7,192.00","5,328.00"
2010/8/9,"58,260.00","4,090.00","3,059.00","7,278.00","5,365.00"
2010/8/10,"57,200.00","4,082.00","3,059.00","7,216.00","5,348.00"
2010/8/11,"56,880.00","4,110.00","3,059.00","7,214.00","5,360.00"
2010/8/12,"56,450.00","4,085.00","3,059.00","7,176.00","5,340.00"
