end_date,duration,credit,r2,residual_std,n_samples,duration_style,credit_style
2025-07-18,-3.8505095381698107,18.2527368156205,0.23887563961471914,0.00023994088098341958,60,短久期,高信用(AAA级)
2025-08-15,0.774011650938757,33.46398087549909,0.22516867360516957,0.00021711224302496378,60,短久期,高信用(AAA级)
2025-09-12,3.143692476465743,13.251870947945584,0.19057963628615748,0.00018675398528469235,60,短久期,中信用(AA级)
2025-10-10,5.165196591495968,7.772857609788796,0.42165684013577387,0.00021894972528993447,60,中久期,低信用(AA-及以下)
2025-11-07,3.984848264265665,9.734765284262812,0.4068994808086691,0.00023264397854567644,60,中久期,低信用(AA-及以下)
2025-12-05,5.892165393900108,8.085906596931665,0.26150898852380255,0.00032392270737044963,60,中久期,低信用(AA-及以下)
2026-01-02,-72.52770777151648,307.12647054852084,0.35222540552073356,0.00027497428516217506,60,短久期,高信用(AAA级)
2026-01-30,1.717047088866464,18.398617330900723,0.2709893435543469,0.0003148708759880229,60,短久期,高信用(AAA级)
2026-02-27,-0.1666991252291596,12.31620787937202,0.3707807988072378,0.00025783406071034124,60,短久期,低信用(AA-及以下)
2026-03-27,-0.5990149103047862,24.933850334378477,0.26049935759063925,0.00025961915797796556,60,短久期,高信用(AAA级)
2026-04-24,3.5221074211186068,7.684846451976761,0.1970537053396113,0.00027140216535730984,60,中久期,低信用(AA-及以下)
