trade_date,roe_ttm
2010-01-29,3.934032004
2010-02-26,3.978701675
2010-03-31,4.7389587
2010-04-30,4.859618143
2010-05-31,4.923531024
2010-06-30,5.272814195
2010-07-30,5.399870565
2010-08-31,5.432588512
2010-09-30,6.213349148
2010-10-29,6.213349148
2010-11-30,6.213349148
2010-12-31,8.521833714
2011-01-31,8.603413125
2011-02-28,8.78608248
2011-03-31,8.608010602
2011-04-29,8.600432456
2011-05-31,8.758456652
2011-06-30,9.84845969
2011-07-29,9.987974128
2011-08-31,9.987974128
2011-09-30,10.03270711
2011-10-31,10.03270711
2011-11-30,10.07318169
2011-12-30,10.10304356
2012-01-31,8.707303514
2012-02-29,8.718144461
2012-03-30,8.718144461
2012-04-27,7.265862314
2012-05-31,7.087158971
2012-06-29,7.087158971
2012-07-31,5.909608725
2012-08-31,6.073708312
2012-09-28,6.073708312
2012-10-31,5.026760734
2012-11-30,5.026760734
2012-12-31,5.848924329
2013-01-31,5.848924329
2013-02-28,5.848924329
2013-03-29,5.848924329
2013-04-26,5.618525773
2013-05-31,5.309004703
2013-06-28,5.222445166
2013-07-31,4.725575094
2013-08-30,4.725575094
2013-09-30,4.202545181
2013-10-31,4.202545181
2013-11-29,4.202545181
2013-12-31,4.547623932
2014-01-30,4.547623932
2014-02-28,4.56314831
2014-03-31,4.873139856
2014-04-30,4.873139856
2014-05-30,4.656252028
2014-06-30,4.645065971
2014-07-31,4.654364259
2014-08-29,4.654364259
2014-09-30,4.898612579
2014-10-31,4.876247707
2014-11-28,4.904480614
2014-12-31,5.390756049
2015-01-30,5.390756049
2015-02-27,5.465348054
2015-03-31,5.133281829
2015-04-30,5.174230514
2015-05-29,5.234462988
2015-06-30,5.350508804
2015-07-31,5.364886683
2015-08-31,5.370750138
2015-09-30,5.341841639
2015-10-30,5.341841639
2015-11-30,5.341841639
2015-12-31,5.309909674
2016-01-29,5.309909674
2016-02-29,5.309909674
2016-03-31,4.881552844
2016-04-29,4.887863357
2016-05-31,4.887863357
2016-06-30,4.96049388
2016-07-29,4.96631256
2016-08-31,4.969264232
2016-09-30,4.130713215
2016-10-31,4.130713215
2016-11-30,4.130713215
2016-12-30,4.130713215
2017-01-26,2.411691618
2017-02-28,2.743979609
2017-03-31,6.112100737
2017-04-28,6.129259322
2017-05-31,6.133224072
2017-06-30,7.021770062
2017-07-31,7.050135031
2017-08-31,7.050135031
2017-09-29,7.050135031
2017-10-31,7.817606837
2017-11-30,7.876295715
2017-12-29,7.907138537
2018-01-31,7.232599788
2018-02-28,7.286422045
2018-03-30,7.312340325
2018-04-27,7.795962213
2018-05-31,7.850997062
2018-06-29,8.882751603
2018-07-31,9.6649195
2018-08-31,9.6649195
2018-09-28,9.54579177
2018-10-31,9.506271232
2018-11-30,9.506271232
2018-12-28,9.516937047
2019-01-31,9.507895005
2019-02-28,9.507895005
2019-03-29,9.568464416
2019-04-30,8.597761465
2019-05-31,8.889275107
2019-06-28,8.889275107
2019-07-31,7.987054425
2019-08-30,8.030072109
2019-09-30,6.998468424
2019-10-31,6.998870514
2019-11-29,6.998870514
2019-12-31,2.267315147
2020-01-23,2.288032667
2020-02-28,2.300089847
2020-03-31,1.189890884
2020-04-30,1.319564649
2020-05-29,1.246053632
2020-06-30,0.965624421
2020-07-31,1.105427654
2020-08-31,1.137632371
2020-09-30,1.600723947
2020-10-30,1.904887799
2020-11-30,1.864291477
2020-12-31,6.965279961
2021-01-29,6.997555677
2021-02-26,6.886222315
2021-03-31,9.064759414
2021-04-30,9.087826071
2021-05-31,9.295694785
2021-06-30,11.58122641
2021-07-30,11.75519227
2021-08-31,11.77949819
2021-09-30,13.18033319
2021-10-29,13.16804365
2021-11-30,13.21275483
2021-12-31,14.4745863
