,000300.SH,NHCI.SL,000905.SH,CBA00601.CB,CBA02001.CB,BRN0Y.ICE
,沪深300,南华商品,中证500,中债国债总指数(总值)财富指数,中债企业债总指数(总值)财富指数,布伦特原油连续
2013/6/8,--,--,--,146.4464,130.2903,--
2013/6/9,--,--,--,146.7129,130.3396,--
2013/6/13,2399.937,1214.986,3515.05,146.6334,130.3445,104.95
2013/6/14,2416.771,1217.455,3584.978,146.5278,130.2458,105.84
2013/6/17,2403.839,1224.348,3593.371,146.4928,130.2042,105.62
2013/6/18,2418.745,1222.311,3605.758,146.4067,130.157,106.1
2013/6/19,2400.765,1224.394,3583.298,145.9218,129.9695,105.87
2013/6/20,2321.466,1206.856,3465.004,144.8309,129.3329,102.06
2013/6/21,2317.394,1198.646,3446.483,145.167,129.2386,101.09
2013/6/24,2171.21,1179.275,3232.962,145.2752,129.113,101.07
2013/6/25,2165.421,1189.694,3219.134,145.4228,129.1205,101.21
2013/6/26,2168.297,1177.82,3285.818,146.0528,129.5614,101.8
2013/6/27,2160.735,1184.53,3233.222,146.2551,129.7722,102.65
2013/6/28,2200.639,1182.589,3235.978,146.4421,129.9954,101.99
2013/7/1,2213.317,1192.57,3304.591,146.4446,130.0858,102.93
2013/7/2,2221.984,1198.106,3359.053,146.4972,130.2345,103.41
2013/7/3,2203.828,1199.179,3364.184,146.5279,130.3911,105.21
2013/7/4,2221.979,1198.864,3390.488,146.6097,130.5264,104.84
2013/7/5,2226.849,1192.983,3371.529,146.6356,130.5756,107.06
2013/7/8,2163.619,1180.283,3240.477,146.5402,130.6682,106.49
2013/7/9,2162.669,1185.509,3259.911,146.4911,130.6706,107.35
2013/7/10,2224.065,1188.512,3361.395,146.1466,130.6258,107.34
2013/7/11,2326.688,1208.189,3455.884,146.01,130.5156,106.64
2013/7/12,2275.373,1196.466,3425.135,145.8729,130.391,108.2
2013/7/15,2307.297,1193.797,3493.441,145.8712,130.3708,108.08
2013/7/16,2317.848,1197.813,3536.313,145.7944,130.3338,107.93
2013/7/17,2282.836,1203.446,3485.074,145.558,130.2779,108.74
2013/7/18,2245.328,1204.099,3481.201,145.5023,130.162,108.83
2013/7/19,2190.478,1204.704,3394.306,145.4339,130.0505,108.3
2013/7/22,2202.189,1212.982,3461.281,145.1915,129.8292,108.16
2013/7/23,2265.845,1213.978,3544.966,144.939,129.535,108.41
2013/7/24,2249.151,1214.932,3566.282,144.6445,129.3663,107.05
2013/7/25,2237.683,1211.03,3498.242,145.0682,129.3928,107.65
2013/7/26,2224.008,1198.344,3494.159,145.1441,129.5237,107.19
2013/7/29,2175.97,1185.747,3426.593,145.0847,129.5193,107.33
2013/7/30,2189.388,1185.025,3411.219,145.1305,129.5779,107.01
2013/7/31,2193.021,1193.384,3430.743,145.21,129.6154,107.82
2013/8/1,2245.364,1200.176,3521.152,145.3192,129.7908,109.4
2013/8/2,2247.263,1200.034,3533.609,145.3854,129.9391,108.07
2013/8/5,2278.329,1204.845,3592.538,145.3578,129.9707,107.71
2013/8/6,2293.641,1204.503,3631.124,145.3142,129.9127,107.19
2013/8/7,2280.623,1198.952,3596.318,145.0479,129.8736,105.92
2013/8/8,2276.782,1215.244,3605.85,144.6672,129.7082,105.5
