,HRP_NAV,HRP_DailyReturn,Naive_HRP_NAV,Naive_HRP_DailyReturn,Vol_HRP_NAV,Vol_HRP_DailyReturn,RiskParity_NAV,RiskParity_DailyReturn
2013-09-30,1.002116990985329,0.00211699098532891,1.002116990985329,0.00211699098532891,1.001727531811971,0.001727531811970837,1.0044648674914414,0.00446486749144143
2013-10-31,1.0046475928307326,0.0025252559014245215,1.0046475928307326,0.0025252559014245215,1.003042205590079,0.001312406554035784,1.0040807723442946,-0.0003823878361280564
2013-11-30,1.0359324030211976,0.03114008376043159,1.0359324030211976,0.03114008376043159,1.01791339918808,0.014826089585385376,1.0034041117041963,-0.0006739105645040726
2013-12-31,1.035061780954417,-0.0008404236263308614,1.035061780954417,-0.0008404236263308614,1.0198177032313518,0.0018707918029086772,1.0007083247593238,-0.0026866413177179197
2014-01-31,0.999742833522389,-0.03412255005634608,0.999742833522389,-0.03412255005634608,0.9951237745713916,-0.024214061573667553,0.9970050998949036,-0.0037006036352409837
2014-02-28,1.0154050771065253,0.015666272424232963,1.0154050771065253,0.015666272424232963,1.009527983259398,0.014474791032111082,1.007882247209784,0.01090982113935717
2014-03-31,1.0104885878110974,-0.004841899460890716,1.0104885878110974,-0.004841899460890716,1.000897298594063,-0.008549227766296847,1.0002131841163355,-0.007609086393454477
2014-04-30,1.0206148424304007,0.01002114693965863,1.0206148424304007,0.01002114693965863,1.0069833442527578,0.00608058955423681,1.0066148323859652,0.006400283830776916
2014-05-31,1.0303886502245851,0.009576391982415304,1.0303886502245851,0.009576391982415304,1.0191566280255098,0.012088863080238302,1.018768355481719,0.012073657872640841
2014-06-30,1.0376016962005845,0.007000315826874732,1.0376016962005845,0.007000315826874732,1.028081211848253,0.008756832440989371,1.0270034498532725,0.008083382573911394
2014-07-31,1.0546263186223923,0.016407666336849074,1.0546263186223923,0.016407666336849074,1.0429362212334352,0.014449256745462978,1.0315012841093418,0.004379570737286286
2014-08-31,1.052187113722239,-0.0023128617758560233,1.052187113722239,-0.0023128617758560233,1.0396654577932987,-0.003136110697419674,1.0314052880108817,-9.306444881736503e-05
2014-09-30,1.0531127085026615,0.0008796864819491642,1.0531127085026615,0.0008796864819491642,1.0419864258040414,0.00223241812387337,1.0279925346754315,-0.003308838315180592
2014-10-31,1.0569055232443294,0.003601527843169264,1.0569055232443294,0.003601527843169264,1.0458696855139835,0.0037267853148332283,1.0367708524666517,0.008539281653433081
2014-11-30,1.0792067761019983,0.02110051690260064,1.0792067761019983,0.02110051690260064,1.0736581949422244,0.026569762765983995,1.046597225075757,0.009477863489050317
