,HRP,Naive_HRP,Vol_HRP,RiskParity
2013-12-31,0.03506178095441692,0.03506178095441692,0.01981770323135179,0.0007083247593238085
2014-12-31,0.030104641544497435,0.030104641544497435,0.04741449842387557,0.04416776891687424
2015-12-31,0.030078032218459283,0.030078032218459283,0.031059622644116658,0.02985988410946594
2016-12-31,0.022711800886765277,0.022711800886765277,0.02798499635880347,0.041423804014269594
2017-12-31,0.04026562922424892,0.04026562922424892,0.0466234574101736,0.05122529719247937
2018-12-31,-0.031217064280189333,-0.031217064280189333,-0.0659788180838089,0.00023940428641489042
2019-12-31,0.08190205296052944,0.08190205296052944,0.11794293255051058,0.06945591431660847
2020-12-31,0.003127078900509783,0.003127078900509783,0.04048435579622489,0.04311330548733783
2021-12-31,0.06998330588765955,0.06998330588765955,0.06341063278163905,0.05349479254618372
2022-12-31,-0.056998006880574215,-0.056998006880574215,-0.0752491589535943,-0.025712654781567923
2023-12-31,0.057979051237892376,0.057979051237892376,0.048319292327691166,0.05895211656258437
2024-12-31,0.09776070977680851,0.09776070977680851,0.09846744874151092,0.08511043380882244
2025-12-31,0.07247106943894277,0.07247106943894277,0.09525028638698618,0.05833751949231103
2026-12-31,0.06254352557303489,0.06254352557303489,0.07039573327135296,0.030443937924397924
