trade_date,0
2018-01-31,1000000.0
2018-02-28,1000000.0
2018-03-31,1000000.0
2018-04-30,1000000.0
2018-05-31,1000000.0
2018-06-30,1000000.0
2018-07-31,923837.3141605344
2018-08-31,923837.3141605344
2018-09-30,923837.3141605344
2018-10-31,923837.3141605344
2018-11-30,923837.3141605344
2018-12-31,923837.3141605344
2019-01-31,1066121.7268065782
2019-02-28,1066121.7268065782
2019-03-31,1066121.7268065782
2019-04-30,993680.090597549
2019-05-31,993680.090597549
2019-06-30,993680.090597549
2019-07-31,993680.090597549
2019-08-31,993680.090597549
2019-09-30,995476.0882115231
2019-10-31,995476.0882115231
2019-11-30,995476.0882115231
2019-12-31,995476.0882115231
2020-01-31,995476.0882115231
2020-02-29,995476.0882115231
2020-03-31,1116133.3882195717
2020-04-30,1116133.3882195717
2020-05-31,1116133.3882195717
2020-06-30,1260049.3576219743
2020-07-31,1285711.2884156227
2020-08-31,1172048.643662953
2020-09-30,1172048.643662953
2020-10-31,1172048.643662953
2020-11-30,1173448.2733107863
2020-12-31,1173448.2733107863
2021-01-31,1173448.2733107863
2021-02-28,1173448.2733107863
2021-03-31,1230101.1647251158
2021-04-30,1250446.3044229476
2021-05-31,1251069.6948735015
2021-06-30,1251069.6948735015
2021-07-31,1251069.6948735015
2021-08-31,1207407.5918553392
2021-09-30,1207407.5918553392
2021-10-31,1207407.5918553392
2021-11-30,1272446.0279336497
2021-12-31,1272446.0279336497
2022-01-31,1272446.0279336497
2022-02-28,1251500.605072236
2022-03-31,1251500.605072236
2022-04-30,1251500.605072236
2022-05-31,1281753.5916308062
2022-06-30,1281753.5916308062
2022-07-31,1281753.5916308062
2022-08-31,1197142.932243207
2022-09-30,1153480.555248879
2022-10-31,1246304.770955133
2022-11-30,1246304.770955133
2022-12-31,1246304.770955133
2023-01-31,1252205.8510491874
2023-02-28,1210610.927096523
2023-03-31,1210610.927096523
2023-04-30,1210610.927096523
2023-05-31,1198718.7154683566
2023-06-30,1287831.5714040436
2023-07-31,1211098.616941043
2023-08-31,1211098.616941043
2023-09-30,1211098.616941043
2023-10-31,1214822.7633276007
2023-11-30,1214822.7633276007
2023-12-31,1214822.7633276007
