trade_date,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备及新能源,国防军工,汽车,商贸零售,消费者服务,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子,通信,计算机,传媒,综合,综合金融
2015-01-06,-0.01229663994734076,-0.0016918359351917323,-0.009749660763351375,0.005202907768011578,-0.014991302445091503,0.015502829009024222,-0.002896371026906208,-0.0017445817076545689,0.019073105682108737,0.019625629782453302,0.028436008048702055,0.04463851570256083,0.028401619289048385,0.003057855725994152,0.03435944640738109,0.0305226383317172,0.011519461333447278,0.033249188463643,-0.0009083917910802652,0.015251917258525927,-0.011431810190947522,-0.01866293564839505,-0.03171320334960015,0.0299083605965087,0.02685557165985486,0.027509694793482753,0.042083284195447934,0.045570471041918914,0.004161230689424755,0.0
2015-01-07,0.01194858991872616,0.000369939936057051,0.01768024211720509,-0.000468818129538473,0.005196157959427294,0.004575129782899534,0.005429482991346379,-0.0027389818935826815,0.008686381014157085,0.011059121003877737,0.004498875881995934,-0.01363270173959874,-0.005262377143175123,0.005281764041456638,-0.004972609891363944,-0.004568370010936906,0.00484202096526376,-0.009209626710654173,-0.015743266478073226,0.0035779125131452094,-0.013269861829519947,0.020876657655771513,0.0014851755632236951,-0.004712188281919993,-0.005849994173707018,-0.002398530974480173,-0.0005540779145082331,-0.010427876363748312,0.0024609257593795064,0.0
2015-01-08,-0.017112890825605853,-0.014560772062067184,-0.02672525499122691,-0.025242987231418934,-0.02862917497561268,0.0036166690717529537,-0.04339194277188696,-0.012721579947495343,0.0008469486067330667,9.022150636406323e-05,-0.0015965273323094165,-0.007974221570939966,-0.0036144192151749133,-0.011353269504056462,-0.012774860956125678,-0.0033632042193518785,-0.002454402043601811,-0.0006031397751999901,0.0023043035144916235,0.00772986816473531,-0.036846705087636655,-0.03415241389984669,-0.02776094008137786,-0.018479121605899373,0.0005417823088031959,0.0024662653753266817,0.011424553205834576,0.004041035482251543,-0.00910939146856582,0.0
2015-01-09,-0.01137510602811942,-0.02658939302552743,-0.013102939620177945,-0.019281679204894098,-0.012534534721350576,-0.010795565148210229,0.000417337941531537,-0.006019056046497995,-0.006972471375588096,0.002216821584569928,-0.015187688197440874,-0.019678866151430774,-0.011168220515739957,-0.015568255192729752,-0.006085194535764726,-0.014581744456105938,-0.008180664002406024,-0.005164625675555978,-0.007994718774893661,-0.013699266994318116,0.01114689994402518,0.008004802553896795,-0.012064664854104956,-0.01394334629522398,4.89823781135712e-05,-0.010268044338290983,0.01137715886957702,0.0012102298851637272,-0.01629157141008497,0.0
2015-01-12,-0.024047410197481356,-0.028725231477199076,-0.01696477667010232,-0.030629686999614658,-0.032664896796611,-0.005063844104641335,-0.03578696765574152,-0.021131734032700633,-0.013103987877218781,-0.02674652570163849,-0.011991089859789916,-0.034800064673144226,0.010326259011486538,-0.016653026391144965,0.004278947450906401,0.013784557439601608,-0.01859995881944343,-1.9798926139791284e-05,-0.010176276210101642,-0.010578568219290152,-0.012950390417565294,-0.0027719981470775146,-0.02377591371194876,-0.022994624486157078,-0.005300827934718422,-0.008808474046531622,0.02510499087426954,0.02020181906647389,-0.03262779041163055,0.0
2015-01-13,0.0060414825046306575,-0.0012488183062173697,0.000156556498871252,0.004743085168914973,0.004694998115394977,0.015022002699158987,0.006649180879403582,0.008518067411330543,0.01328365360002337,0.01565703661843676,0.021223600360561035,0.020317191407383417,0.017493475267108538,0.00973987998808612,0.010785646769203572,0.029270139346515567,0.007152842243762558,0.014206081785245184,-0.00011365611304858803,0.008565342995729086,-0.006137003162823285,-0.02011639445405866,0.002490454300734468,0.004078167171110314,0.028149871615265054,0.024090434061071253,0.04311387115565446,0.016440662941242357,0.010994156455151671,0.0
2015-01-14,-0.008961322101723845,-0.01865488436904217,-0.025845149537342627,-0.004258158452975058,-0.012849593115028202,-0.006989855359664343,-0.008297662297129915,-0.004215897707913863,-0.004190141256643409,-0.009740956454710403,0.0028719311598273123,0.008323943416292057,-0.016342850937212106,-0.004911897548273703,-0.006185552681132522,-0.018726251996382226,-0.007962979760074762,-0.002076290777618617,-0.016422263219608713,0.0009706935179811804,0.017177922747636742,0.004481596739076554,0.003993215671995287,-0.018235952494861207,-0.007361589044288963,-0.0107717450446696,-0.008661109879706586,-0.011067030202729033,-0.0009971262169875539,0.0
2015-01-15,0.034528174762484154,0.03174686453337383,0.012820021880252996,0.0244975475551521,0.023642697651097278,0.005618095304974702,0.035893354344934236,0.01351362359894459,0.0097900590999076,0.024731236665685108,0.004618889947739291,0.009840097018400495,0.00878239520479207,0.012664600476089527,0.003874521623387972,0.01132437051254831,0.014728752847717352,0.0013992314506510173,0.009369860870223512,0.007365939805182187,0.03707720039285367,0.04883157191980714,0.037739365837408556,0.023739148593300285,0.001094132846867657,0.009579536458313331,-0.00614140084955217,0.007619559321242031,0.024412108137135347,0.0
2015-01-16,0.01144592672368061,0.0038071193970463657,0.015280673639799236,0.005974181450022709,0.00994678282463246,0.015363835339212484,0.009704167595013802,0.004335129665702819,0.012259099041110222,0.019976836265798603,0.019675243221447092,0.012971542585726414,0.006910606871299185,0.008317512287386197,0.014229544812317085,0.0003381755404894271,0.010020511164880785,0.008766473652868978,0.00742396772320264,0.018089629909886495,0.010757006632046151,-0.006072866646703701,0.00013549782783517372,0.0038479380167564248,0.016162048279682928,0.021701388719379766,0.056603022245600876,0.042807776392901786,0.023549303619259554,0.0
2015-01-19,-0.06829530787892701,-0.0907458900537893,-0.05086060511684076,-0.07035864147018356,-0.08012498925302936,-0.03786541053524073,-0.07621313559552134,-0.05833346145662799,-0.029109142104729036,-0.04765620536909043,-0.034296841007722234,-0.04587830311513008,-0.05661362758834043,-0.05594471968816361,-0.028386081768933313,-0.0531499418615875,-0.043668267755957335,-0.0169976607194382,-0.05046782941490058,-0.030382360302309896,-0.09970939275934332,-0.09707000802156518,-0.0765931486948962,-0.07488462253981543,-0.026507545622425188,-0.03677983135179108,-0.01702385717327104,-0.01238748861356187,-0.057979001909094996,0.0
