trade_date,open,high,low,close,volume,pct_change,industry,index_code,index_name,ts_code,pre_close,change,pct_chg,vol,amount
2015-01-05,1831.45,1859.292,1796.257,1849.762,629237248.0,,传媒,399971.SZ,中证传媒指数,,,,,,
2015-01-05,4079.022,4198.862,4070.198,4183.173,1262253300.0,,农林牧渔,000949.CSI,中证农业主题指数,,,,,,
2015-01-05,9719.922,9764.5,9493.147,9716.435,1599640960.0,,国防军工,399967.SZ,中证军工指数,,,,,,
2015-01-05,2674.027,2753.731,2670.437,2745.833,1125626100.0,,基础化工,000813.CSI,中证细分化工产业主题指数,,,,,,
2015-01-05,4434.11,4735.249,4431.744,4731.326,3609129600.0,,有色金属,000819.SH,中证申万有色金属指数,,,,,,
2015-01-05,6977.183,7309.55,6956.002,7304.713,920030400.0,,食品饮料,000815.CSI,中证细分食品饮料产业主题指数,,,,,,
2015-01-06,1843.186,1939.037,1838.123,1931.942,837905216.0,4.442733713850755,传媒,399971.SZ,中证传媒指数,,,,,,
2015-01-06,4159.201,4245.976,4141.635,4241.709,1187250900.0,1.399320563600881,农林牧渔,000949.CSI,中证农业主题指数,,,,,,
2015-01-06,9700.743,10142.676,9631.7,10078.483,1962532096.0,3.7261402973415736,国防军工,399967.SZ,中证军工指数,,,,,,
2015-01-06,2742.586,2790.637,2732.158,2788.671,1129741600.0,1.5601094458402853,基础化工,000813.CSI,中证细分化工产业主题指数,,,,,,
2015-01-06,4742.342,4764.339,4613.783,4689.046,3200039600.0,-0.8936184063410457,有色金属,000819.SH,中证申万有色金属指数,,,,,,
2015-01-06,7240.689,7353.602,7211.919,7307.771,756664500.0,0.041863383270501764,食品饮料,000815.CSI,中证细分食品饮料产业主题指数,,,,,,
2015-01-07,1937.881,1941.911,1905.838,1915.069,677429056.0,-0.8733699044795373,传媒,399971.SZ,中证传媒指数,,,,,,
2015-01-07,4232.353,4251.786,4184.469,4229.147,998381000.0,-0.2961542151995733,农林牧渔,000949.CSI,中证农业主题指数,,,,,,
2015-01-07,10072.097,10072.097,9896.377,9959.632,1190817792.0,-1.1792548541283532,国防军工,399967.SZ,中证军工指数,,,,,,
2015-01-07,2791.491,2823.425,2778.793,2812.018,1020220600.0,0.8372088353197693,基础化工,000813.CSI,中证细分化工产业主题指数,,,,,,
2015-01-07,4680.729,4871.714,4667.363,4773.18,2881880200.0,1.7942668935216233,有色金属,000819.SH,中证申万有色金属指数,,,,,,
2015-01-07,7276.803,7346.395,7131.563,7191.777,602180300.0,-1.5872692234061514,食品饮料,000815.CSI,中证细分食品饮料产业主题指数,,,,,,
2015-01-08,1907.114,1952.241,1905.642,1926.628,667507200.0,0.6035813853182193,传媒,399971.SZ,中证传媒指数,,,,,,
2015-01-08,4234.593,4280.948,4221.767,4231.64,1111570700.0,0.0589480573742307,农林牧渔,000949.CSI,中证农业主题指数,,,,,,
2015-01-08,9925.11,10048.027,9857.206,9918.195,1191394560.0,-0.41604950865654633,国防军工,399967.SZ,中证军工指数,,,,,,
2015-01-08,2827.534,2858.008,2805.193,2835.47,1099668800.0,0.8339918165530813,基础化工,000813.CSI,中证细分化工产业主题指数,,,,,,
2015-01-08,4746.931,4760.306,4617.143,4645.954,2002008600.0,-2.6654347835195935,有色金属,000819.SH,中证申万有色金属指数,,,,,,
2015-01-08,7196.884,7290.012,7141.384,7212.608,755722200.0,0.2896502491665176,食品饮料,000815.CSI,中证细分食品饮料产业主题指数,,,,,,
2015-01-09,1913.916,1970.556,1912.45,1927.897,697424832.0,0.06586637378882543,传媒,399971.SZ,中证传媒指数,,,,,,
2015-01-09,4219.256,4262.75,4174.685,4179.85,982884200.0,-1.223875376922423,农林牧渔,000949.CSI,中证农业主题指数,,,,,,
2015-01-09,9882.033,10048.827,9816.077,9816.119,1231363968.0,-1.0291792004492706,国防军工,399967.SZ,中证军工指数,,,,,,
2015-01-09,2833.864,2861.094,2792.951,2794.314,1179277400.0,-1.4514701266456709,基础化工,000813.CSI,中证细分化工产业主题指数,,,,,,
2015-01-09,4624.163,4701.821,4579.416,4582.1,1730185200.0,-1.3744001770142233,有色金属,000819.SH,中证申万有色金属指数,,,,,,
2015-01-09,7189.837,7332.126,7162.991,7166.091,812840400.0,-0.6449400826996299,食品饮料,000815.CSI,中证细分食品饮料产业主题指数,,,,,,
2015-01-12,1931.887,1966.391,1930.088,1958.931,617920192.0,1.6097333000673952,传媒,399971.SZ,中证传媒指数,,,,,,
2015-01-12,4166.176,4188.593,4123.053,4155.89,892623700.0,-0.5732263119489933,农林牧渔,000949.CSI,中证农业主题指数,,,,,,
2015-01-12,9752.678,9771.828,9543.457,9612.253,1003939072.0,-2.0768493128496046,国防军工,399967.SZ,中证军工指数,,,,,,
2015-01-12,2790.268,2804.994,2755.509,2791.226,936420700.0,-0.11051012878293687,基础化工,000813.CSI,中证细分化工产业主题指数,,,,,,
2015-01-12,4559.776,4572.236,4470.185,4508.194,1575774400.0,-1.6129285698697093,有色金属,000819.SH,中证申万有色金属指数,,,,,,
2015-01-12,7120.819,7154.179,7020.924,7094.34,730543400.0,-1.0012571707504136,食品饮料,000815.CSI,中证细分食品饮料产业主题指数,,,,,,
2015-01-13,1958.757,2006.256,1950.468,1992.866,674769152.0,1.7323223737844673,传媒,399971.SZ,中证传媒指数,,,,,,
2015-01-13,4150.376,4181.487,4140.812,4180.399,634257700.0,0.5897413069162027,农林牧渔,000949.CSI,中证农业主题指数,,,,,,
2015-01-13,9617.818,9872.387,9617.818,9805.946,912018112.0,2.015063481995316,国防军工,399967.SZ,中证军工指数,,,,,,
2015-01-13,2792.14,2828.741,2790.849,2827.587,753952600.0,1.302689212553898,基础化工,000813.CSI,中证细分化工产业主题指数,,,,,,
2015-01-13,4519.264,4572.256,4479.093,4510.637,1491126400.0,0.054190214529348246,有色金属,000819.SH,中证申万有色金属指数,,,,,,
2015-01-13,7083.964,7137.987,7037.845,7073.156,464491400.0,-0.29860423943595116,食品饮料,000815.CSI,中证细分食品饮料产业主题指数,,,,,,
2015-01-14,1991.904,1999.362,1965.464,1971.821,508989280.0,-1.0560168119682967,传媒,399971.SZ,中证传媒指数,,,,,,
2015-01-14,4174.145,4177.645,4122.825,4139.755,631211600.0,-0.9722516917643587,农林牧渔,000949.CSI,中证农业主题指数,,,,,,
2015-01-14,9788.433,9937.658,9759.238,9830.275,835883520.0,0.24810456839146067,国防军工,399967.SZ,中证军工指数,,,,,,
2015-01-14,2826.269,2831.979,2785.284,2805.059,736830800.0,-0.7967217277487726,基础化工,000813.CSI,中证细分化工产业主题指数,,,,,,
2015-01-14,4495.926,4498.78,4347.485,4388.737,1615441500.0,-2.7025007776063426,有色金属,000819.SH,中证申万有色金属指数,,,,,,
2015-01-14,7067.899,7097.911,6925.367,6951.482,476864600.0,-1.7202222034972792,食品饮料,000815.CSI,中证细分食品饮料产业主题指数,,,,,,
2015-01-15,1969.763,1993.069,1965.248,1985.415,467356576.0,0.6894134913868921,传媒,399971.SZ,中证传媒指数,,,,,,
2015-01-15,4132.33,4177.338,4132.226,4177.338,584090300.0,0.9078556581246788,农林牧渔,000949.CSI,中证农业主题指数,,,,,,
2015-01-15,9831.014,9889.237,9750.285,9888.84,968896512.0,0.5957615631302371,国防军工,399967.SZ,中证军工指数,,,,,,
2015-01-15,2801.962,2817.846,2790.669,2816.776,687601600.0,0.4177095740232062,基础化工,000813.CSI,中证细分化工产业主题指数,,,,,,
2015-01-15,4379.006,4446.553,4317.09,4445.533,1372511600.0,1.2941308627060666,有色金属,000819.SH,中证申万有色金属指数,,,,,,
2015-01-15,6944.096,7016.806,6897.704,7016.389,406573400.0,0.9337145661889146,食品饮料,000815.CSI,中证细分食品饮料产业主题指数,,,,,,
2015-01-16,1988.862,2083.405,1988.248,2078.313,851326336.0,4.679021766230251,传媒,399971.SZ,中证传媒指数,,,,,,
