ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000050.SZ,20150105,58417,11427.07,50340,9865.83,73478,14374.49,61694,12084.87,57104,11190.53,52282,10224.44,84780,16665.07,109463,21482.02,-8799,-1700.83
000055.SZ,20150105,50970,5024.49,54916,5416.48,26822,2644.91,19529,1928.69,17706,1747.55,21053,2071.79,0,0.0,0,0.0,-16478,-1622.42
000056.SZ,20150105,14397,2023.6,14647,2064.11,17084,2408.61,15980,2251.11,6054,856.23,6602,929.06,0,0.0,306,44.16,-2820,-398.22
000058.SZ,20150105,43837,3065.38,44634,3119.06,41272,2886.49,34601,2418.46,18217,1274.42,21383,1497.6,2900,203.97,5609,395.14,10349,729.64
000059.SZ,20150105,60650,5764.25,47038,4477.19,87885,8350.33,86523,8231.33,63988,6100.43,66540,6337.78,12567,1200.92,24989,2369.62,-40651,-3827.41
000060.SZ,20150105,99967,10057.42,167610,17031.76,126540,12704.98,187949,19057.15,104718,10632.48,113216,11545.54,171579,17776.34,34028,3536.77,-84259,-9019.24
000061.SZ,20150105,195540,26097.63,190770,25561.92,193419,25903.14,249964,33576.05,148799,19941.5,202513,27333.55,289729,39649.75,184240,25120.49,139212,19225.44
000062.SZ,20150105,25295,3900.08,23719,3661.28,30351,4681.49,27247,4201.88,19372,2993.01,18188,2810.79,1482,227.07,7347,1127.7,4510,700.92
000063.SZ,20150105,311253,58752.15,346120,65370.99,463676,87514.0,490181,92550.31,375387,70757.46,365264,68887.85,289366,54601.14,238117,44815.6,144727,27597.84
000065.SZ,20150105,24739,4372.03,19013,3363.99,17737,3136.16,22692,4010.89,4618,816.74,6216,1098.0,832,148.84,5,0.88,-886,-155.0
000066.SZ,20150105,83575,5044.21,84190,5075.89,65871,3959.74,71926,4327.76,63009,3789.6,51817,3115.17,6429,381.09,10951,655.82,1353,93.93
000068.SZ,20150105,35990,3065.12,18075,1541.58,52794,4495.26,40193,3429.62,35340,3004.21,52428,4457.65,7224,609.05,20652,1744.79,-29669,-2516.17
000069.SZ,20150105,461310,40176.73,441527,38513.53,729599,63592.29,767986,67030.14,817193,71235.22,838029,73175.8,896954,78493.26,857515,74778.03,103220,9449.59
000078.SZ,20150105,87303,8467.25,84328,8186.41,71836,6968.05,72783,7062.33,35549,3460.0,37821,3674.0,2875,281.15,2630,253.71,-2411,-222.75
000088.SZ,20150105,142553,14100.22,136061,13480.84,144894,14336.45,145313,14388.75,107790,10680.42,120558,11920.23,47506,4711.54,40813,4038.8,6928,710.03
000089.SZ,20150105,164130,9743.74,122589,7295.12,200921,11911.84,126746,7527.43,127007,7515.03,188506,11151.81,47074,2781.94,101291,5978.19,-119111,-7019.77
000090.SZ,20150105,39399,5647.89,42474,6091.0,61284,8786.98,71768,10303.25,77270,11078.82,65534,9389.84,20488,2941.1,18665,2670.7,-7762,-1077.54
000096.SZ,20150105,93976,7626.44,98592,8004.49,100934,8186.89,98066,7961.71,56548,4587.45,65880,5346.94,17836,1453.51,6755,541.14,18290,1491.57
000099.SZ,20150105,64430,9030.21,70443,9875.94,87389,12246.63,79270,11109.59,81858,11475.04,103442,14501.14,71182,9970.25,51704,7235.46,51395,7196.42
000100.SZ,20150105,1688673,66846.75,1806595,71510.0,1533419,60714.81,1601537,63437.16,1191237,47111.68,1166333,46151.79,774130,30638.94,612994,24213.22,352781,13980.71
000150.SZ,20150105,25224,4182.92,10919,1828.99,37440,6229.59,19815,3313.08,25361,4218.7,46268,7668.6,6410,1079.85,17433,2900.4,-16151,-2672.72
000151.SZ,20150105,68759,13641.56,68955,13681.84,90059,17862.08,90180,17899.6,68422,13594.03,68790,13669.76,18558,3696.6,17874,3543.07,8905,1790.58
000153.SZ,20150105,29919,3750.04,19854,2507.64,34396,4325.34,21734,2738.75,34121,4293.67,48251,6050.95,8503,1083.81,17099,2155.53,-16785,-2106.63
000155.SZ,20150105,12634,877.4,10444,725.65,11970,831.11,12000,833.07,8546,593.49,10707,743.27,0,0.0,0,0.0,-3786,-261.72
000156.SZ,20150105,15168,3703.85,12187,2976.28,17985,4385.66,17066,4158.4,10907,2655.37,13797,3363.67,3242,793.25,4251,1039.78,1994,509.62
000157.SZ,20150105,966181,68568.11,971780,68997.48,918987,65225.72,937479,66571.7,639549,45393.76,644131,45717.91,324703,23096.72,296030,20997.21,-23393,-1537.37
000158.SZ,20150105,34756,3545.55,50378,5142.42,70401,7187.95,72053,7357.62,62633,6408.05,44307,4533.0,4842,496.43,5894,604.95,14221,1454.2
