因子,总收益率,年化收益率,年化波动率,夏普比率,最大回撤,信息比率
PC1,1.9452562584606885,0.11508129257581978,0.17940479397464693,0.47424202381037417,0.6724455000190812,0
PC2,1.9452562584606885,0.11508129257581978,0.17940479397464693,0.47424202381037417,0.6724455000190812,0
PC3,1.9452562584606885,0.11508129257581978,0.17940479397464693,0.47424202381037417,0.6724455000190812,0
PC4,1.9452562584606885,0.11508129257581978,0.17940479397464693,0.47424202381037417,0.6724455000190812,0
PC5,1.9452562584606885,0.11508129257581978,0.17940479397464693,0.47424202381037417,0.6724455000190812,0
PC6,1.9452562584606885,0.11508129257581978,0.17940479397464693,0.47424202381037417,0.6724455000190812,0
