date,fund_ret,mkt_ret,rf,SMB,MOM,VOL,excess_return
2023-11,-0.0009000000000000119,-0.021358000000000002,0.00125,-0.02973251172417279,0.09723743767673575,0.03862507132214038,-0.002150000000000012
2023-12,0.002402161945751269,-0.018618,0.00125,-0.018517743086959,0.11727063776127003,0.03055524613547077,0.0011521619457512688
2024-01,-0.009385921118322593,-0.062883,0.00125,-0.07617076409410048,0.24460243797900888,0.1359438369268713,-0.010635921118322593
2024-02,0.017336961999798728,0.09353,0.00125,0.08346666548918741,0.1200102602823497,-0.1200102602823497,0.016086961999798727
2024-03,0.05152085603883827,0.006087,0.00125,0.008542419880915022,0.17494300534392804,-0.0372438469953268,0.05027085603883827
2024-04,0.044473758597946,0.018915,0.00125,0.038433237858673516,0.14348829851326578,-0.046352027860598055,0.043223758597946
2024-05,0.02065854758682839,-0.006789,0.00125,0.01630264998026922,0.1087267147516244,-0.03317246902431431,0.01940854758682839
2024-06,-0.021831359377762483,-0.033035999999999996,0.00125,-0.0500556304370711,0.18986285678032494,0.06285565380973698,-0.023081359377762484
2024-07,-0.022408963585434316,-0.005654,0.00125,-0.0019500182934739652,0.17364515845589532,0.012349971487694109,-0.023658963585434317
2024-08,-0.05795360014788753,-0.035052,0.00125,-0.07314696416052893,0.12407451160756289,0.1071033566534644,-0.05920360014788753
2024-09,0.13059262166405006,0.209675,0.00125,0.1470643485989074,0.22067956451065865,-0.22067956451065865,0.12934262166405006
2024-10,-0.07654256703983364,-0.031563,0.00125,-0.0134397068154582,0.21475889275673815,0.005331230518039727,-0.07779256703983364
2024-11,-0.0181373931021519,0.006565,0.00125,0.028804590914645548,0.1553750679416674,-0.057832434979911015,-0.0193873931021519
2024-12,-0.015122511485452184,0.00468,0.00125,0.0023997279022189427,0.17143101703531896,-0.001792045799549562,-0.016372511485452185
