,总收益,年化收益,年化波动率,夏普比率,最大回撤,Calmar比率,胜率,最终净值
Equal Weight,0.023083582478272247,0.010069416478907023,0.14242784189327917,-0.06856674127808512,-0.1991612456306745,0.0505591157909295,0.5452961672473867,1023083.5824782733
Standard PCRP,0.30401149193270105,0.1235990273242411,0.17727381924500207,0.9480131704508478,-0.18308429038061202,0.6750935706569492,0.43902439024390244,
PCRP + Decay,0.059984639177278254,0.025904958852503768,0.13669354362075847,0.16056481361578803,-0.17795036797497346,0.14557406734976228,0.37630662020905925,
WDC-PCRP,0.10334182768493294,0.04412084930925464,0.20353193291163368,0.16742231760949708,-0.2500012787466158,0.17648249453144801,0.5662020905923345,1103341.8276849305
