trade_date,roe_ttm
2010-01-29,2.377245269
2010-02-26,2.377245269
2010-03-31,5.565598344
2010-04-30,5.565598344
2010-05-31,5.569900082
2010-06-30,8.670361582
2010-07-30,8.670361582
2010-08-31,8.670361582
2010-09-30,6.986989828
2010-10-29,6.986989828
2010-11-30,6.986989828
2010-12-31,6.632371877
2011-01-31,6.632371877
2011-02-28,6.675720166
2011-03-31,6.23579766
2011-04-29,6.23579766
2011-05-31,6.257614101
2011-06-30,5.427271777
2011-07-29,5.427271777
2011-08-31,5.427271777
2011-09-30,5.481398591
2011-10-31,5.481398591
2011-11-30,5.50680885
2011-12-30,5.50680885
2012-01-31,3.741417137
2012-02-29,3.729921534
2012-03-30,3.729921534
2012-04-27,1.627613923
2012-05-31,1.555325425
2012-06-29,1.555325425
2012-07-31,1.000398279
2012-08-31,1.000398279
2012-09-28,1.000398279
2012-10-31,-1.258049455
2012-11-30,-1.258049455
2012-12-31,-0.963905272
2013-01-31,-0.963905272
2013-02-28,-0.963905272
2013-03-29,-0.963905272
2013-04-26,-0.110960178
2013-05-31,-0.097467539
2013-06-28,-0.069652236
2013-07-31,-0.826975741
2013-08-30,-0.826975741
2013-09-30,0.952874936
2013-10-31,0.952874936
2013-11-29,0.952874936
2013-12-31,1.916216337
2014-01-30,1.916216337
2014-02-28,1.93885408
2014-03-31,1.575652494
2014-04-30,1.575652494
2014-05-30,1.57830094
2014-06-30,1.533353894
2014-07-31,1.533353894
2014-08-29,1.533353894
2014-09-30,1.629314373
2014-10-31,1.629314373
2014-11-28,1.629314373
2014-12-31,1.109768722
2015-01-30,1.183020714
2015-02-27,1.183020714
2015-03-31,0.548568258
2015-04-30,0.594924157
2015-05-29,0.572051915
2015-06-30,-0.250431517
2015-07-31,-0.250431517
2015-08-31,-0.250431517
2015-09-30,-3.771944454
2015-10-30,-4.29738485
2015-11-30,-4.29738485
2015-12-31,-12.30141375
2016-01-29,-12.30141375
2016-02-29,-12.30141375
2016-03-31,-12.59688092
2016-04-29,-12.57149852
2016-05-31,-12.57149852
2016-06-30,-10.40680311
2016-07-29,-10.40680311
2016-08-31,-10.40680311
2016-09-30,-6.180141866
2016-10-31,-6.180141866
2016-11-30,-6.180141866
2016-12-30,-6.180141866
2017-01-26,1.739069436
2017-02-28,1.831313975
2017-03-31,4.423848839
2017-04-28,4.423848839
2017-05-31,4.423848839
2017-06-30,5.063436246
2017-07-31,5.063436246
2017-08-31,5.063436246
2017-09-29,5.063436246
2017-10-31,8.450453824
2017-11-30,8.450453824
2017-12-29,8.450453824
2018-01-31,12.33339721
2018-02-28,12.39964593
2018-03-30,12.39964593
2018-04-27,13.59749776
2018-05-31,13.60897424
2018-06-29,13.60897424
2018-07-31,16.13837245
2018-08-31,16.13837245
2018-09-28,16.13837245
2018-10-31,16.16024406
2018-11-30,16.16024406
2018-12-28,16.16024406
2019-01-31,14.35669011
2019-02-28,14.35669011
2019-03-29,14.35669011
2019-04-30,12.49080965
2019-05-31,12.49080965
2019-06-28,12.49080965
2019-07-31,11.19905207
2019-08-30,11.19905207
2019-09-30,8.395093967
2019-10-31,8.395093967
2019-11-29,8.395093967
2019-12-31,7.921599595
2020-01-23,7.921599595
2020-02-28,7.934454014
2020-03-31,6.988492026
2020-04-30,6.988492026
2020-05-29,7.067555182
2020-06-30,6.1828747
2020-07-31,6.1828747
2020-08-31,6.191278013
2020-09-30,6.721002563
2020-10-30,6.733348438
2020-11-30,6.864206272
2020-12-31,7.590801743
2021-01-29,7.590801743
2021-02-26,7.590801743
2021-03-31,9.67919727
2021-04-30,9.67919727
2021-05-31,9.751574065
2021-06-30,13.40977577
2021-07-30,13.40977577
2021-08-31,13.40977577
2021-09-30,14.77626382
2021-10-29,14.77626382
2021-11-30,14.77626382
2021-12-31,13.27119922
