,EW,EV,MV,MD,RP,PCRP,HPCRP
2008-04-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-04-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-04-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-04-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-04-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-06-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-06-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-06-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-06-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-06-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0
