基金代码,超额收益R,volatility,fee_rate,timing_alpha,timing_beta,DEPI,DEPI_Rank
011848,0.019093166056151967,0.2126468734862194,0.017499999999999998,-1.0808586680353111e-05,0.5381037484792215,0.0,1
013594,0.11522547714255904,0.030745340371324457,0.017499999999999998,0.00014175493037339566,-0.2544713240540696,0.0,1
011033,0.10811685234464719,0.04175352035309095,0.017499999999999998,0.00019935646205980994,-0.6390391840831058,0.0,1
019070,0.00224849114894643,0.005323638023310201,0.017499999999999998,5.763475208138675e-05,-0.22492151357133464,0.0,1
510530,1.4997707720411544,1.930802783314586,0.017499999999999998,0.002953345293714467,4.495962980650688,0.0,1
159971,0.09248109517531611,0.2858130380246783,0.017499999999999998,-0.00011997688835992844,3.3084143236109185,0.0,1
009322,0.03819348799940947,0.17178795916829345,0.017499999999999998,0.0002505875430457649,-0.7790472764095763,0.0,1
000167,0.08228167255513874,0.23402450485876747,0.017499999999999998,0.000548764496526745,-1.6780297363397858,0.0,1
022580,0.31756888058607924,0.002761059927271089,0.017499999999999998,0.0,0.0,0.0,1
007377,0.035371519410247965,0.009670917143707835,0.017499999999999998,0.00010749022432902578,-0.2607789837239995,0.0,1
004390,0.20486676892481026,0.2941285729378513,0.017499999999999998,0.001029143310699728,-2.192668587886736,0.0,1
630008,0.0435084925409599,0.23729440112102482,0.017499999999999998,0.0002459356139230571,-0.3657508150897395,0.0,1
021299,1.0436622421348631,0.6091389979404352,0.017499999999999998,-0.0016995476517817757,18.58300614624069,0.0,1
009245,0.05889386702096011,0.039123613942727314,0.017499999999999998,-2.8962859001518237e-05,0.5850046499640631,0.0,1
010322,0.09187661318998996,0.2840416959077513,0.017499999999999998,0.00018807437605290403,1.6731062573324478,0.0,1
008339,-0.017976027902300462,0.02171193090614177,0.017499999999999998,-0.00010954357967534817,0.02555520826083636,0.0,17
016493,-0.031214524270653854,0.1640071694719296,0.017499999999999998,-6.65205548957182e-05,-0.27994497931982687,0.0,19
159960,-0.0720907064084273,0.23726464011277226,0.017499999999999998,-0.00012884857235485384,-0.7597599956098329,0.0,20
006491,-0.0638762891992164,0.016382865258382787,0.017499999999999998,-0.00010088711078840242,0.05291810070400928,0.0,21
018989,-0.15139629237004248,0.028574973160296703,0.017499999999999998,8.475346476585551e-05,-0.3060503099812529,0.0,22
019541,-0.2072265439927159,0.007288073874725621,0.017499999999999998,0.00011920464326717202,-0.12033772552964765,0.0,23
014958,-0.05941917916654138,0.21634900138868482,0.017499999999999998,-0.000191538263789126,-0.3894796702659364,0.0,25
159639,-0.06907827565830715,0.20864923944482242,0.017499999999999998,-0.00011703003507350201,-1.2961541639751055,0.0,27
006837,-0.07406979726708696,0.02780634606643923,0.017499999999999998,-0.00015262022105719695,0.020569062949927393,0.0,29
019899,-0.05882781230608636,0.005317616381812047,0.017499999999999998,7.780387426223711e-05,-0.30629807668314746,0.0,30
020260,-0.18406082310485528,0.005479918845463231,0.017499999999999998,1.0938110350608013e-05,-0.1316850689594547,0.0,31
013317,-0.028135816833443572,0.25889789134369257,0.017499999999999998,-0.0009184241518956578,6.332313783351369,0.0,32
014200,-0.11271978350638068,0.2221697705561585,0.017499999999999998,-0.0007665231853160523,2.0399435922237483,0.0,34
005008,-0.055915068547322866,0.04339946219545819,0.017499999999999998,-0.00013981843673458,0.33697949388828125,0.0,35
013370,-0.017813398623078402,0.27904735916427664,0.017499999999999998,-0.0006010199040891364,4.140473755662791,0.0,38
519943,-0.03111717099015565,0.03807678502221302,0.017499999999999998,-0.00010841966936559329,-0.08830925335107058,0.0,41
017303,-0.058150788906893514,0.23928554231433116,0.017499999999999998,-0.0002770133640197101,0.34710873496327654,0.0,44
675043,-0.07234735648553658,0.04475196870550375,0.017499999999999998,-0.00013860937475193726,0.08662796412430705,0.0,47
014836,-0.03931266675241518,0.23294980732559442,0.017499999999999998,-0.00044264795568096883,1.6886080564059223,0.0,48
