,CI005001.CI,CI005002.CI,CI005003.CI,CI005004.CI,CI005005.CI,CI005006.CI,CI005007.CI,CI005008.CI,CI005009.CI,CI005010.CI,CI005011.CI,CI005012.CI,CI005013.CI,CI005014.CI,CI005015.CI,CI005016.CI,CI005017.CI,CI005018.CI,CI005019.CI,CI005020.CI,CI005021.CI,CI005022.CI,CI005023.CI,CI005024.CI,CI005025.CI,CI005026.CI,CI005027.CI,CI005028.CI,CI005029.CI,CI005030.CI
date,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备及新能源,国防军工,汽车,商贸零售,消费者服务,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子,通信,计算机,传媒,综合,综合金融
2018-11-30,63.14,7.41,37.28,166.47,64.28,47.78,62.68,113.16,25.84,89.62,47.95,25.57,179.78,38.39,134.98,409.90,13.23,417.67,751.15,35.92,375.59,527.83,142.02,291.97,334.90,59.65,61.44,64.50,11.13,0.00
2018-12-28,54.35,5.68,37.79,193.57,60.02,50.33,67.66,99.29,25.76,93.28,54.04,26.88,190.80,34.97,146.17,389.44,13.07,339.53,767.89,43.51,361.03,481.81,139.13,302.25,309.17,57.94,59.79,65.59,9.87,0.00
2019-01-31,73.95,8.58,40.82,210.02,70.51,51.39,82.79,113.36,27.53,117.75,67.18,30.32,215.75,39.38,130.68,563.18,13.18,361.41,998.67,54.21,482.38,577.35,180.30,302.52,375.43,70.04,73.19,68.73,8.54,0.00
2019-02-28,86.05,10.62,65.69,235.19,82.50,71.27,103.14,140.98,36.31,162.77,82.43,40.60,254.64,51.67,159.57,689.84,15.97,481.49,"1,248.23",73.76,572.04,729.24,208.98,374.48,497.66,104.24,111.53,92.79,13.25,0.00
2019-03-29,74.85,13.01,58.29,251.62,74.11,84.90,97.05,165.17,48.76,182.63,87.65,42.85,246.63,57.08,183.37,752.38,16.86,586.57,"1,508.68",95.82,579.65,820.65,265.15,417.01,523.93,109.43,135.48,92.85,13.98,0.00
2019-04-30,67.29,16.54,52.31,252.88,61.41,85.53,91.39,170.90,48.62,179.19,92.98,38.83,261.42,68.29,207.97,809.13,14.95,597.76,"1,586.20",108.90,631.84,854.46,259.79,436.77,478.39,104.12,124.39,88.81,12.25,0.00
2019-05-31,61.02,10.61,48.44,256.71,52.00,71.38,72.53,159.86,42.72,169.24,95.82,41.56,210.92,53.18,197.22,716.54,16.86,532.08,"1,365.36",107.03,541.91,770.63,224.22,391.14,343.36,86.32,105.48,85.37,10.96,0.00
2019-06-28,63.21,14.28,58.99,269.45,57.91,84.15,89.28,196.22,45.94,195.25,103.65,45.94,234.15,57.72,219.25,764.99,18.53,598.07,"1,658.08",102.81,633.00,910.67,243.67,448.29,384.22,100.41,129.75,93.20,10.93,0.00
2019-07-31,55.80,14.54,51.40,294.42,54.60,79.10,95.92,192.86,48.34,225.35,117.44,54.11,235.43,56.85,232.03,801.37,19.10,636.00,"1,582.59",120.16,684.03,875.57,268.41,438.02,419.01,120.41,146.68,100.77,8.80,0.00
2019-08-30,53.55,11.86,63.97,299.98,45.74,85.81,87.16,198.72,59.63,197.98,119.84,63.22,239.54,59.09,239.37,815.67,20.24,754.08,"1,834.77",130.43,635.41,831.33,261.68,428.17,416.49,107.70,173.71,112.29,9.76,0.00
2019-09-30,63.26,13.14,71.35,300.32,51.04,98.96,94.76,228.75,64.01,240.00,138.34,66.10,233.01,61.11,228.02,848.08,20.66,779.18,"1,771.14",138.89,794.76,878.23,299.85,426.72,496.19,127.00,191.28,129.10,12.91,0.00
2019-10-31,60.61,11.14,68.87,302.58,51.01,99.77,97.92,240.51,69.79,244.91,133.08,61.05,243.42,62.36,218.48,972.34,19.47,891.64,"1,855.36",171.87,862.15,915.60,324.89,407.68,493.49,130.15,189.83,139.08,15.90,0.00
2019-11-29,68.03,14.10,82.27,307.11,62.23,114.17,111.16,283.21,79.36,271.61,139.64,68.83,272.27,61.87,202.83,"1,004.78",17.77,889.54,"1,792.10",165.99,879.22,899.95,339.59,408.97,585.57,139.66,221.47,151.77,15.97,0.00
2019-12-31,81.25,19.72,110.94,327.13,80.86,150.01,132.67,347.04,98.22,331.37,191.84,72.10,286.17,67.13,237.30,"1,225.51",21.23,952.52,"1,949.64",169.27,998.49,"1,056.27",417.02,455.80,667.52,183.50,273.43,169.64,11.92,3.75
2020-01-23,82.97,13.86,115.73,315.96,75.33,156.28,140.05,310.69,108.23,322.62,217.30,80.38,295.04,71.89,229.65,"1,190.48",22.98,"1,044.21","1,792.18",165.39,933.98,"1,016.03",383.57,398.39,784.09,211.96,344.27,191.87,11.62,3.60
2020-02-28,70.41,10.53,107.27,297.47,64.67,158.29,151.73,336.27,108.83,350.97,243.31,84.23,300.14,77.17,246.32,"1,079.64",19.40,"1,104.69","1,803.14",195.11,832.72,939.49,373.39,389.94,784.70,215.89,429.35,181.66,11.66,3.91
2020-03-31,54.72,7.98,98.15,284.14,56.58,128.74,149.83,298.16,82.43,285.89,190.17,73.18,225.53,87.07,195.80,884.76,16.75,"1,153.82","1,761.80",177.45,752.33,787.79,326.13,338.06,572.33,183.21,357.19,147.96,8.70,3.18
2020-04-30,58.86,7.22,102.47,238.14,59.27,167.59,156.46,349.91,91.97,412.57,226.70,89.45,243.45,102.40,261.30,"1,011.57",17.43,"1,347.30","2,112.89",171.33,831.11,849.78,360.62,379.40,707.01,205.67,421.34,165.99,9.30,3.42
2020-05-29,58.75,7.24,109.54,240.75,63.16,184.76,128.61,326.98,121.71,401.30,288.88,90.40,241.61,118.18,293.39,"1,139.63",18.53,"1,559.82","2,338.03",159.30,794.78,810.62,342.86,379.05,707.82,203.28,442.47,192.03,8.23,5.29
2020-06-30,66.45,7.02,143.55,269.95,70.79,239.00,120.84,329.55,128.86,453.99,395.52,100.30,280.45,126.90,419.34,"1,217.61",16.89,"1,945.32","2,617.98",196.47,770.33,893.91,372.59,414.44,"1,028.27",256.46,548.15,273.96,11.16,6.53
2020-07-31,86.46,17.11,184.68,281.94,87.60,313.94,146.39,441.88,145.12,586.22,522.22,145.41,359.65,147.36,568.74,"1,390.55",18.13,"2,171.47","3,022.03",231.32,819.56,"1,100.41",421.42,447.34,"1,201.23",289.50,591.87,283.69,15.67,8.08
2020-08-31,101.33,18.48,172.03,305.98,90.27,351.20,152.13,454.20,170.97,639.75,528.22,157.18,388.97,129.82,482.17,"1,373.66",22.63,"2,130.85","3,348.83",242.82,916.40,"1,108.51",447.56,504.30,"1,161.87",299.44,563.47,316.74,14.03,8.47
2020-09-30,84.55,17.93,150.75,288.25,95.64,354.17,146.17,407.56,160.84,639.75,551.52,136.56,410.79,114.71,505.56,"1,334.24",20.10,"1,960.18","2,929.62",185.92,858.87,"1,034.57",430.95,464.80,"1,081.04",259.76,511.43,306.34,11.99,6.79
2020-10-30,89.14,16.59,149.88,275.09,105.09,395.52,140.21,421.48,173.13,668.01,615.80,129.97,477.85,117.24,452.19,"1,495.66",20.97,"1,995.42","3,043.03",168.01,983.74,"1,041.08",396.62,436.75,"1,141.27",231.24,504.00,295.44,11.45,6.83
2020-11-30,137.81,31.13,223.19,287.80,151.16,447.06,155.96,432.08,172.81,789.79,702.30,147.62,559.14,104.93,475.95,"1,724.19",19.16,"1,843.93","3,072.61",166.55,"1,162.54","1,206.77",450.87,518.77,"1,233.08",220.58,463.48,291.90,12.04,7.46
2020-12-31,127.90,31.80,259.89,272.45,160.23,552.82,121.46,434.56,192.71,934.54,"1,015.76",179.63,568.42,95.26,665.32,"1,757.77",18.26,"2,328.06","3,737.51",168.70,"1,154.82","1,217.06",387.92,543.49,"1,259.63",215.12,582.09,278.97,11.17,6.98
2021-01-29,165.11,30.99,278.07,274.24,168.47,680.09,101.88,507.16,230.87,"1,037.21","1,173.08",177.22,649.59,92.88,696.94,"1,679.85",17.38,"2,380.16","3,728.38",180.91,"1,408.43","1,146.62",381.13,573.10,"1,314.14",199.85,672.30,313.77,9.89,6.48
2021-02-26,188.62,37.05,351.36,300.76,201.64,693.83,117.18,514.13,247.47,"1,021.51","1,174.53",152.00,604.86,92.20,723.55,"1,667.46",21.10,"2,300.26","3,536.40",250.56,"1,436.65","1,201.60",442.23,520.76,"1,225.42",198.07,656.05,321.15,16.50,8.14
2021-03-31,170.52,45.37,282.34,332.84,230.76,677.25,131.14,537.99,236.01,965.44,"1,134.42",135.79,399.82,83.56,708.11,"1,562.67",29.58,"2,217.85","3,309.49",213.44,"1,557.83","1,136.48",397.62,524.51,"1,095.13",193.67,609.81,283.52,15.43,7.14
2021-04-30,171.59,52.66,334.06,295.99,286.90,798.51,119.33,576.09,263.94,997.77,"1,299.95",130.82,522.47,78.68,709.80,"1,572.16",36.90,"2,473.08","3,412.39",223.12,"1,596.17","1,081.67",391.03,461.48,"1,294.12",185.46,669.31,342.83,15.21,7.44
