period,buy_amount,repay_amount,balance,repay_amount_yoy,indicator_name
2017-01-02/2017-01-08,130345302128.0,-136661754646.0,537500878600.0,,margin_repay_amount_W_yoy
2017-01-09/2017-01-15,151161181398.0,-164089813268.0,528892909817.0,,margin_repay_amount_W_yoy
2017-01-16/2017-01-22,125593754407.0,-153382296392.0,377584695992.0,,margin_repay_amount_W_yoy
2017-01-23/2017-01-29,84245092617.0,-107970705412.0,498374008721.0,,margin_repay_amount_W_yoy
2017-01-30/2017-02-05,21708532011.0,-17010809220.0,368121106596.0,,margin_repay_amount_W_yoy
2017-02-06/2017-02-12,161039070735.0,-151222377926.0,370023688362.0,,margin_repay_amount_W_yoy
2017-02-13/2017-02-19,201119934460.0,-190532409643.0,517982129346.0,,margin_repay_amount_W_yoy
2017-02-20/2017-02-26,206896134881.0,-195594026501.0,525654220836.0,,margin_repay_amount_W_yoy
2017-02-27/2017-03-05,181892906297.0,-177712821933.0,377674049528.0,,margin_repay_amount_W_yoy
2017-03-06/2017-03-12,174130354456.0,-174325685561.0,527549728744.0,,margin_repay_amount_W_yoy
2017-03-13/2017-03-19,198225324832.0,-188266354195.0,382898499518.0,,margin_repay_amount_W_yoy
2017-03-20/2017-03-26,211528319814.0,-205278255115.0,537615245684.0,,margin_repay_amount_W_yoy
2017-03-27/2017-04-02,200617037588.0,-204200644358.0,535699641718.0,0.49420476040973194,margin_repay_amount_W_yoy
2017-04-03/2017-04-09,152264695537.0,-148788795551.0,537567404709.0,-0.09324782210587068,margin_repay_amount_W_yoy
2017-04-10/2017-04-16,285531650703.0,-274458047009.0,544867962113.0,0.7893723947616875,margin_repay_amount_W_yoy
2017-04-17/2017-04-23,201465320725.0,-215488032452.0,379943014518.0,0.9958009131248149,margin_repay_amount_W_yoy
2017-04-24/2017-04-30,187121836484.0,-200994270848.0,530329667127.0,10.815679562832697,margin_repay_amount_W_yoy
2017-05-01/2017-05-07,146655191445.0,-148380909203.0,528720181291.0,-0.01879000159877431,margin_repay_amount_W_yoy
2017-05-08/2017-05-14,154719895476.0,-180385628768.0,514216422190.0,-0.053254881382185815,margin_repay_amount_W_yoy
2017-05-15/2017-05-21,165905594413.0,-166280673166.0,363794160195.0,-0.14986834648986647,margin_repay_amount_W_yoy
2017-05-22/2017-05-28,159879354240.0,-172797797971.0,358156972671.0,-0.027657115049655956,margin_repay_amount_W_yoy
2017-05-29/2017-06-04,89218864883.0,-95210230354.0,356176682853.0,-0.4538370519088878,margin_repay_amount_W_yoy
2017-06-05/2017-06-11,160619269092.0,-158013235476.0,504070812514.0,-0.1606931777499916,margin_repay_amount_W_yoy
2017-06-12/2017-06-18,160475830694.0,-155472260047.0,358413770932.0,-0.24262674602381984,margin_repay_amount_W_yoy
2017-06-19/2017-06-25,182718088129.0,-181535604696.0,507890577040.0,-0.11099396739544154,margin_repay_amount_W_yoy
2017-06-26/2017-07-02,188209500950.0,-179397934898.0,511528278042.0,0.2057220722410389,margin_repay_amount_W_yoy
2017-07-03/2017-07-09,201761692103.0,-197390851860.0,513724680300.0,-0.28079772478477494,margin_repay_amount_W_yoy
2017-07-10/2017-07-16,221592264498.0,-221004962410.0,365520865611.0,0.02560202483276597,margin_repay_amount_W_yoy
2017-07-17/2017-07-23,250201522915.0,-252475654992.0,516927360025.0,0.2561335899117856,margin_repay_amount_W_yoy
2017-07-24/2017-07-30,247697834098.0,-235141290191.0,524828764794.0,0.5847139059466409,margin_repay_amount_W_yoy
2017-07-31/2017-08-06,292783941757.0,-281524544226.0,532820207518.0,0.5606816693145669,margin_repay_amount_W_yoy
2017-08-07/2017-08-13,264209281783.0,-261446234860.0,369512862164.0,0.5723188382753002,margin_repay_amount_W_yoy
2017-08-14/2017-08-20,243057933208.0,-231860400246.0,374318362951.0,0.34180182252618896,margin_repay_amount_W_yoy
2017-08-21/2017-08-27,223276765739.0,-216637299430.0,376652174003.0,1.275357370993889,margin_repay_amount_W_yoy
2017-08-28/2017-09-03,302146332803.0,-281879202685.0,560256965769.0,0.7838961517107439,margin_repay_amount_W_yoy
2017-09-04/2017-09-10,302099684808.0,-284127414825.0,568868703562.0,0.8275119609061252,margin_repay_amount_W_yoy
2017-09-11/2017-09-17,319561717131.0,-301643745544.0,400280335840.0,0.6616230521232096,margin_repay_amount_W_yoy
2017-09-18/2017-09-24,271369000861.0,-263122713474.0,583454267943.0,0.46669867534207277,margin_repay_amount_W_yoy
2017-09-25/2017-10-01,205951612152.0,-227360149309.0,395617878935.0,0.15182718533610573,margin_repay_amount_W_yoy
2017-10-09/2017-10-15,265520729955.0,-241629346849.0,407030215382.0,0.09332091105148321,margin_repay_amount_W_yoy
2017-10-16/2017-10-22,207885036886.0,-215338759765.0,403490065193.0,-0.14709099468690057,margin_repay_amount_W_yoy
2017-10-23/2017-10-29,218461325735.0,-208287715346.0,586980537209.0,-0.114201869111067,margin_repay_amount_W_yoy
2017-10-30/2017-11-05,241848633811.0,-238858874414.0,406006680419.0,-0.15155222053303175,margin_repay_amount_W_yoy
2017-11-06/2017-11-12,277315918129.0,-254543376040.0,602677946214.0,-0.02640259410771917,margin_repay_amount_W_yoy
2017-11-13/2017-11-19,299548362819.0,-294987830281.0,417228251977.0,0.2722648195553137,margin_repay_amount_W_yoy
2017-11-20/2017-11-26,288060718532.0,-285691945522.0,417200554483.0,0.318756955859824,margin_repay_amount_W_yoy
2017-11-27/2017-12-03,210250014547.0,-213280398280.0,605049876092.0,-0.24336241819748283,margin_repay_amount_W_yoy
2017-12-04/2017-12-10,188912546140.0,-201682780946.0,595997613220.0,-0.2901678246352235,margin_repay_amount_W_yoy
2017-12-11/2017-12-17,187210258406.0,-181959592117.0,599973160706.0,-0.3967731975054062,margin_repay_amount_W_yoy
2017-12-18/2017-12-24,175396010511.0,-173667882630.0,600752458618.0,-0.3399738078972012,margin_repay_amount_W_yoy
2017-12-25/2017-12-31,193176826618.0,-187601646879.0,416475993105.0,-0.1748701456734404,margin_repay_amount_W_yoy
2018-01-01/2018-01-07,204767575094.0,-197711711043.0,611033498008.0,-0.18175621619937243,margin_repay_amount_W_yoy
2018-01-08/2018-01-14,269570945094.0,-254824306478.0,423711946855.0,0.18336479116017346,margin_repay_amount_W_yoy
2018-01-15/2018-01-21,305501094581.0,-288003717568.0,636018905560.0,0.3827206135972958,margin_repay_amount_W_yoy
2018-01-22/2018-01-28,307301367124.0,-294084318365.0,646634615949.0,0.2312053261009721,margin_repay_amount_W_yoy
2018-01-29/2018-02-04,261388563010.0,-282905230836.0,421722516810.0,0.1114224822395029,margin_repay_amount_W_yoy
2018-02-05/2018-02-11,242923804707.0,-287748896887.0,604833557210.0,-0.024539769613900142,margin_repay_amount_W_yoy
2018-02-12/2018-02-18,76802360943.0,-106961853853.0,390176660654.0,-0.6256042372578429,margin_repay_amount_W_yoy
2018-02-19/2018-02-25,67584088534.0,-62691443858.0,590318411364.0,-0.7060609209117423,margin_repay_amount_W_yoy
2018-02-26/2018-03-04,213476684523.0,-203405416275.0,595361568569.0,0.008541310869078167,margin_repay_amount_W_yoy
2018-03-05/2018-03-11,207436668711.0,-205339981993.0,597050145863.0,0.12849220864908517,margin_repay_amount_W_yoy
2018-03-12/2018-03-18,225300903793.0,-218836702032.0,600603525889.0,0.2600873501649832,margin_repay_amount_W_yoy
2018-03-19/2018-03-25,205000975450.0,-216681856038.0,395824586161.0,0.15501041511515234,margin_repay_amount_W_yoy
2018-03-26/2018-04-01,219394688575.0,-213248608629.0,396907457138.0,0.07858359782552737,margin_repay_amount_W_yoy
2018-04-02/2018-04-08,127934912723.0,-130885728821.0,598181552536.0,-0.48636874311556344,margin_repay_amount_W_yoy
2018-04-09/2018-04-15,183364969488.0,-181947023372.0,394396563851.0,-0.3682476569801887,margin_repay_amount_W_yoy
2018-04-16/2018-04-22,195159917827.0,-203352985495.0,596545372671.0,-0.30852149266044737,margin_repay_amount_W_yoy
2018-04-23/2018-04-29,177831179966.0,-184965901212.0,592867415552.0,-0.34619129994374465,margin_repay_amount_W_yoy
2018-04-30/2018-05-06,94661522888.0,-98812763302.0,384316734743.0,-0.6566007224666994,margin_repay_amount_W_yoy
2018-05-07/2018-05-13,177057909859.0,-172497265002.0,592719427747.0,0.6126989088938823,margin_repay_amount_W_yoy
2018-05-14/2018-05-20,160923862963.0,-158517199255.0,387573181030.0,1.528530043334961,margin_repay_amount_W_yoy
2018-05-21/2018-05-27,177343464692.0,-169812904060.0,598455827921.0,-0.16515052956890586,margin_repay_amount_W_yoy
2018-05-28/2018-06-03,153211640506.0,-163874258202.0,592445445276.0,-0.20193692133670083,margin_repay_amount_W_yoy
2018-06-04/2018-06-10,136423654910.0,-142768164810.0,383154196980.0,-0.3476041108080521,margin_repay_amount_W_yoy
2018-06-11/2018-06-17,124366658253.0,-137566164667.0,581569561529.0,-0.3651237478652818,margin_repay_amount_W_yoy
2018-06-18/2018-06-24,106795885444.0,-146373437606.0,361269016745.0,-0.3136019102443304,margin_repay_amount_W_yoy
2018-06-25/2018-07-01,115991489321.0,-122547670415.0,553522416883.0,-0.06370487050886331,margin_repay_amount_W_yoy
2018-07-02/2018-07-08,122723273623.0,-136824808414.0,543489414407.0,-0.2479964449088311,margin_repay_amount_W_yoy
2018-07-09/2018-07-15,125519559233.0,-133727511838.0,538340528874.0,-0.34238727052626394,margin_repay_amount_W_yoy
2018-07-16/2018-07-22,119934088199.0,-124119593911.0,351507465893.0,-0.32895959148308407,margin_repay_amount_W_yoy
2018-07-23/2018-07-29,158760960006.0,-160085337929.0,351240674761.0,0.6200876544635587,margin_repay_amount_W_yoy
2018-07-30/2018-08-05,117098570204.0,-125717761934.0,528810410344.0,-0.27118982476306286,margin_repay_amount_W_yoy
2018-08-06/2018-08-12,116141533581.0,-126403604569.0,343446359033.0,-0.20258744689489627,margin_repay_amount_W_yoy
2018-08-13/2018-08-19,107070343007.0,-109284729125.0,341256647225.0,-0.3564403734218783,margin_repay_amount_W_yoy
2018-08-20/2018-08-26,94057070095.0,-103080232503.0,337406482191.0,-0.370979715582066,margin_repay_amount_W_yoy
2018-08-27/2018-09-02,104500078706.0,-109191045792.0,513956376664.0,-0.2351863180610706,margin_repay_amount_W_yoy
2018-09-03/2018-09-09,97646470176.0,-101922970860.0,511137883134.0,-0.25909855009245786,margin_repay_amount_W_yoy
2018-09-10/2018-09-16,86015925893.0,-94204878361.0,506009498734.0,-0.35640728330384963,margin_repay_amount_W_yoy
2018-09-17/2018-09-23,102231649407.0,-113691892664.0,498777152833.0,-0.07226394203178621,margin_repay_amount_W_yoy
2018-09-24/2018-09-30,87435707874.0,-98646947755.0,492989890192.0,-0.27902732773052885,margin_repay_amount_W_yoy
2018-10-08/2018-10-14,111214248543.0,-133287459796.0,482668130673.0,-0.0032906620032913114,margin_repay_amount_W_yoy
2018-10-15/2018-10-21,88716696495.0,-150796813880.0,297963829324.0,0.21493157629994264,margin_repay_amount_W_yoy
2018-10-22/2018-10-28,134093338253.0,-134729618005.0,467169473732.0,-0.1583887709644315,margin_repay_amount_W_yoy
2018-10-29/2018-11-04,136110488166.0,-141156057796.0,294347716183.0,0.1228012305063535,margin_repay_amount_W_yoy
2018-11-05/2018-11-11,123887877580.0,-121671404595.0,294386514892.0,-0.03743722333026378,margin_repay_amount_W_yoy
2018-11-12/2018-11-18,168416565830.0,-161875358866.0,296069634259.0,0.48122578664075544,margin_repay_amount_W_yoy
2018-11-19/2018-11-25,149371550991.0,-148499468319.0,472689959467.0,0.44062023060219757,margin_repay_amount_W_yoy
2018-11-26/2018-12-02,99211693619.0,-105912378733.0,468743399761.0,-0.030026885769054656,margin_repay_amount_W_yoy
2018-12-03/2018-12-09,125899673319.0,-124845665825.0,469305526326.0,0.2249021469015684,margin_repay_amount_W_yoy
2018-12-10/2018-12-16,91855555662.0,-96111783610.0,467350549615.0,0.020242107226046135,margin_repay_amount_W_yoy
2018-12-17/2018-12-23,81770951385.0,-83020525174.0,291132816054.0,-0.2697762063003455,margin_repay_amount_W_yoy
2018-12-24/2018-12-30,82193800429.0,-90831620357.0,286993502566.0,-0.07922523277060922,margin_repay_amount_W_yoy
2018-12-31/2019-01-06,57974434602.0,-56790880773.0,462250410730.0,-0.5739218013463536,margin_repay_amount_W_yoy
2019-01-07/2019-01-13,119295521571.0,-122119249848.0,286921769945.0,-0.19017354076738535,margin_repay_amount_W_yoy
2019-01-14/2019-01-20,110417695637.0,-117340467922.0,283545769472.0,-0.12906701837716683,margin_repay_amount_W_yoy
2019-01-21/2019-01-27,105976012244.0,-111087422733.0,452458688565.0,-0.21301696528288894,margin_repay_amount_W_yoy
2019-01-28/2019-02-03,97114288853.0,-121295365825.0,272439753468.0,-0.003090609262313526,margin_repay_amount_W_yoy
2019-02-11/2019-02-17,182071670668.0,-160618962374.0,449451785567.0,-0.007761505523765644,margin_repay_amount_W_yoy
2019-02-18/2019-02-24,272757376944.0,-247927925553.0,295248672010.0,0.6695542977999906,margin_repay_amount_W_yoy
2019-02-25/2019-03-03,441960247924.0,-402947731288.0,311665859282.0,2.804538582820539,margin_repay_amount_W_yoy
2019-03-04/2019-03-10,559247165628.0,-500493395928.0,334996559517.0,3.0088968457227576,margin_repay_amount_W_yoy
2019-03-11/2019-03-17,456225851755.0,-433876055723.0,342392046479.0,3.514285755881625,margin_repay_amount_W_yoy
2019-03-18/2019-03-24,413823403661.0,-389453404879.0,549160945947.0,3.691049641793488,margin_repay_amount_W_yoy
2019-03-25/2019-03-31,360646573822.0,-349098799994.0,555919750875.0,2.8433620210882484,margin_repay_amount_W_yoy
2019-04-01/2019-04-07,425607191025.0,-401920324458.0,366922931199.0,6.077198292883042,margin_repay_amount_W_yoy
2019-04-08/2019-04-14,432022986278.0,-411842488818.0,375940236699.0,2.3724616662042566,margin_repay_amount_W_yoy
2019-04-15/2019-04-21,386225969637.0,-367768350324.0,384366095661.0,2.134198770781002,margin_repay_amount_W_yoy
2019-04-22/2019-04-28,327578346416.0,-329281742893.0,383935142078.0,1.9641676329500664,margin_repay_amount_W_yoy
2019-04-29/2019-05-05,86846929397.0,-108208612877.0,577865182474.0,-0.10789161530607061,margin_repay_amount_W_yoy
2019-05-06/2019-05-12,217219949952.0,-235480142661.0,364684794964.0,0.4660793419439875,margin_repay_amount_W_yoy
2019-05-13/2019-05-19,196141410366.0,-205898861352.0,563665781997.0,-0.16952129981830288,margin_repay_amount_W_yoy
2019-05-20/2019-05-26,167521343341.0,-175617556401.0,557750049494.0,-0.5641678988000547,margin_repay_amount_W_yoy
2019-05-27/2019-06-02,175719232855.0,-177290272207.0,555440566101.0,-0.6457690078442022,margin_repay_amount_W_yoy
2019-06-03/2019-06-09,115470636401.0,-128486909864.0,546661467639.0,-0.703862639642806,margin_repay_amount_W_yoy
2019-06-10/2019-06-16,180735130287.0,-180660310580.0,356505090576.0,-0.5361182921583914,margin_repay_amount_W_yoy
2019-06-17/2019-06-23,189266904447.0,-190035648226.0,544809211659.0,-0.4556393541620133,margin_repay_amount_W_yoy
2019-06-24/2019-06-30,181896847397.0,-181036368362.0,545403611820.0,-0.5495715012518159,margin_repay_amount_W_yoy
2019-07-01/2019-07-07,206830443188.0,-199507286299.0,549758208389.0,-0.5155738134945917,margin_repay_amount_W_yoy
2019-07-08/2019-07-14,136017196836.0,-142976811437.0,357033297572.0,-0.611231332682546,margin_repay_amount_W_yoy
2019-07-15/2019-07-21,146501047554.0,-147454168381.0,357256049991.0,-0.5521945216716276,margin_repay_amount_W_yoy
2019-07-22/2019-07-28,135470910668.0,-140824301124.0,539752245878.0,0.3014149001620974,margin_repay_amount_W_yoy
2019-07-29/2019-08-04,143938148074.0,-145330976644.0,538926998030.0,-0.38283128674157385,margin_repay_amount_W_yoy
2019-08-05/2019-08-11,139416134041.0,-153214016363.0,531240738575.0,-0.2558773013267479,margin_repay_amount_W_yoy
2019-08-12/2019-08-18,144417599012.0,-143004958150.0,351303432525.0,-0.18570238032770114,margin_repay_amount_W_yoy
2019-08-19/2019-08-25,222541995474.0,-201744416481.0,534954183704.0,0.1379328034729841,margin_repay_amount_W_yoy
2019-08-26/2019-09-01,224158757621.0,-213719728164.0,538541616594.0,0.6633579902436497,margin_repay_amount_W_yoy
2019-09-02/2019-09-08,303031105452.0,-284732305008.0,541315600123.0,0.5760645162951541,margin_repay_amount_W_yoy
2019-09-09/2019-09-15,261591640130.0,-246462938065.0,545974771941.0,0.29693002531763835,margin_repay_amount_W_yoy
2019-09-16/2019-09-22,251889786708.0,-240890278182.0,407681840327.0,0.33061815347685397,margin_repay_amount_W_yoy
2019-09-23/2019-09-29,224818375778.0,-235001403119.0,543547417610.0,0.17790887480071893,margin_repay_amount_W_yoy
2019-09-30/2019-10-06,25709894919.0,-35806206638.0,538791089316.0,-0.7495663368197485,margin_repay_amount_W_yoy
2019-10-07/2019-10-13,143387967788.0,-136025080738.0,541053440557.0,-0.0775094239009162,margin_repay_amount_W_yoy
