period,buy_amount,repay_amount,balance,buy_amount_qoq,indicator_name
2017-01,491345330550.0,562104569718.0,498374008721.0,,margin_borrow_amount_M_qoq
2017-02,660489938309.0,619155114776.0,377488393036.0,0.34424791942087585,margin_borrow_amount_M_qoq
2017-03,896667676765.0,884988269676.0,535699641718.0,0.35757961591461496,margin_borrow_amount_M_qoq
2017-04,826383503449.0,839729145860.0,530329667127.0,-0.0783837481123123,margin_borrow_amount_M_qoq
2017-05,659379552579.0,699243575678.0,506079239855.0,-0.20209013148615762,margin_borrow_amount_M_qoq
2017-06,749022036743.0,738230698901.0,511528278042.0,0.1359497482343599,margin_borrow_amount_M_qoq
2017-07,979955309789.0,959338339015.0,528537955376.0,0.3083130558483642,margin_borrow_amount_M_qoq
2017-08,1201377669768.0,1155918698662.0,382564050515.0,0.22595148754964733,margin_borrow_amount_M_qoq
2017-09,1164376604299.0,1140357426375.0,395617878935.0,-0.030798862339554978,margin_borrow_amount_M_qoq
2017-10,794288830515.0,765279880345.0,405514373968.0,-0.3178419872209707,margin_borrow_amount_M_qoq
2017-11,1176041652602.0,1146866893212.0,417618440810.0,0.480622170954462,margin_borrow_amount_M_qoq
2017-12,783255898972.0,785383375512.0,416475993105.0,-0.3339896616424758,margin_borrow_amount_M_qoq
2018-01,1250142027163.0,1197626163284.0,428872876720.0,0.5960837687960909,margin_borrow_amount_M_qoq
2018-02,619607541011.0,703584536510.0,594617162664.0,-0.504370281497454,margin_borrow_amount_M_qoq
2018-03,936700151965.0,931233344061.0,396907457138.0,0.5117636406371151,margin_borrow_amount_M_qoq
2018-04,684290980004.0,701151638900.0,592867415552.0,-0.2694663510318629,margin_borrow_amount_M_qoq
2018-05,736395959449.0,732253149183.0,387672533422.0,0.07614447795979329,margin_borrow_amount_M_qoq
2018-06,510380129387.0,580516678136.0,553522416883.0,-0.306921605369907,margin_borrow_amount_M_qoq
2018-07,571444903191.0,599990101070.0,532916979958.0,0.11964567248600133,margin_borrow_amount_M_qoq
2018-08,494360573463.0,528444524945.0,513956376664.0,-0.1348937216826227,margin_borrow_amount_M_qoq
2018-09,373329753350.0,408466689640.0,492989890192.0,-0.24482296244859914,margin_borrow_amount_M_qoq
2018-10,403564373307.0,490461928056.0,466160156064.0,0.08098636576832052,margin_borrow_amount_M_qoq
2018-11,607458086170.0,607466631934.0,468743399761.0,0.5052321918116733,margin_borrow_amount_M_qoq
2018-12,381719980795.0,394809594966.0,286993502566.0,-0.37161099755584803,margin_borrow_amount_M_qoq
2019-01,472691479155.0,499517815974.0,277347126683.0,0.2383199804488505,margin_borrow_amount_M_qoq
2019-02,849928060749.0,775375954425.0,484555495642.0,0.7980608879778444,margin_borrow_amount_M_qoq
2019-03,1854890703405.0,1738155892441.0,555919750875.0,1.182409063856976,margin_borrow_amount_M_qoq
2019-04,1658281422753.0,1619021519370.0,577865182474.0,-0.10599507576974043,margin_borrow_amount_M_qoq
2019-05,756601936514.0,794286832621.0,555440566101.0,-0.543743344083343,margin_borrow_amount_M_qoq
2019-06,667369518532.0,680219237032.0,545403611820.0,-0.11793839491494462,margin_borrow_amount_M_qoq
2019-07,709067795386.0,713546556612.0,356737867568.0,0.06248154237808601,margin_borrow_amount_M_qoq
2019-08,790224437082.0,774230106431.0,538541616594.0,0.11445540500372076,margin_borrow_amount_M_qoq
2019-09,1067040802987.0,1042893131012.0,538791089316.0,0.35030094352330865,margin_borrow_amount_M_qoq
2019-10,669467792717.0,653213485078.0,543040299737.0,-0.3725940087361811,margin_borrow_amount_M_qoq
2019-11,740525050123.0,741388534777.0,411407975807.0,0.10613991917014842,margin_borrow_amount_M_qoq
2019-12,1109194822039.0,1055060133194.0,559055426838.0,0.49784915696608034,margin_borrow_amount_M_qoq
2020-01,1168604519275.0,1146860580004.0,568373798279.0,0.05356110221177279,margin_borrow_amount_M_qoq
2020-02,2072551173052.0,2011041337220.0,582209646574.0,0.7735265770988176,margin_borrow_amount_M_qoq
2020-03,1801587943748.0,1841804333139.0,562713019950.0,-0.13073898141920648,margin_borrow_amount_M_qoq
2020-04,1152164237136.0,1177758121712.0,481540744235.0,-0.3604729421428895,margin_borrow_amount_M_qoq
2020-05,981689301184.0,950783790055.0,555018097562.0,-0.1479606209404305,margin_borrow_amount_M_qoq
2020-06,1357752208378.0,1277949408330.0,542833003150.0,0.383077320635395,margin_borrow_amount_M_qoq
2020-07,3267902084509.0,3034891607176.0,715121775818.0,1.406847187833269,margin_borrow_amount_M_qoq
2020-08,2162685782228.0,2110601010796.0,688134069128.0,-0.33820361617323613,margin_borrow_amount_M_qoq
2020-09,1365259851079.0,1402334247562.0,718773947637.0,-0.3687201986076273,margin_borrow_amount_M_qoq
2020-10,989667850757.0,965311830309.0,726579583483.0,-0.27510660335112025,margin_borrow_amount_M_qoq
2020-11,1553591318921.0,1510980310472.0,747061399190.0,0.5698108387906642,margin_borrow_amount_M_qoq
