period,buy_amount,repay_amount,balance,indicator_name
2017-01,491345330550.0,562104569718.0,498374008721.0,margin_tr_balance_orig_M_orig
2017-02,660489938309.0,619155114776.0,377488393036.0,margin_tr_balance_orig_M_orig
2017-03,896667676765.0,884988269676.0,535699641718.0,margin_tr_balance_orig_M_orig
2017-04,826383503449.0,839729145860.0,530329667127.0,margin_tr_balance_orig_M_orig
2017-05,659379552579.0,699243575678.0,506079239855.0,margin_tr_balance_orig_M_orig
2017-06,749022036743.0,738230698901.0,511528278042.0,margin_tr_balance_orig_M_orig
2017-07,979955309789.0,959338339015.0,528537955376.0,margin_tr_balance_orig_M_orig
2017-08,1201377669768.0,1155918698662.0,382564050515.0,margin_tr_balance_orig_M_orig
2017-09,1164376604299.0,1140357426375.0,395617878935.0,margin_tr_balance_orig_M_orig
2017-10,794288830515.0,765279880345.0,405514373968.0,margin_tr_balance_orig_M_orig
2017-11,1176041652602.0,1146866893212.0,417618440810.0,margin_tr_balance_orig_M_orig
2017-12,783255898972.0,785383375512.0,416475993105.0,margin_tr_balance_orig_M_orig
2018-01,1250142027163.0,1197626163284.0,428872876720.0,margin_tr_balance_orig_M_orig
2018-02,619607541011.0,703584536510.0,594617162664.0,margin_tr_balance_orig_M_orig
2018-03,936700151965.0,931233344061.0,396907457138.0,margin_tr_balance_orig_M_orig
2018-04,684290980004.0,701151638900.0,592867415552.0,margin_tr_balance_orig_M_orig
2018-05,736395959449.0,732253149183.0,387672533422.0,margin_tr_balance_orig_M_orig
2018-06,510380129387.0,580516678136.0,553522416883.0,margin_tr_balance_orig_M_orig
2018-07,571444903191.0,599990101070.0,532916979958.0,margin_tr_balance_orig_M_orig
2018-08,494360573463.0,528444524945.0,513956376664.0,margin_tr_balance_orig_M_orig
2018-09,373329753350.0,408466689640.0,492989890192.0,margin_tr_balance_orig_M_orig
2018-10,403564373307.0,490461928056.0,466160156064.0,margin_tr_balance_orig_M_orig
2018-11,607458086170.0,607466631934.0,468743399761.0,margin_tr_balance_orig_M_orig
2018-12,381719980795.0,394809594966.0,286993502566.0,margin_tr_balance_orig_M_orig
2019-01,472691479155.0,499517815974.0,277347126683.0,margin_tr_balance_orig_M_orig
2019-02,849928060749.0,775375954425.0,484555495642.0,margin_tr_balance_orig_M_orig
2019-03,1854890703405.0,1738155892441.0,555919750875.0,margin_tr_balance_orig_M_orig
2019-04,1658281422753.0,1619021519370.0,577865182474.0,margin_tr_balance_orig_M_orig
2019-05,756601936514.0,794286832621.0,555440566101.0,margin_tr_balance_orig_M_orig
2019-06,667369518532.0,680219237032.0,545403611820.0,margin_tr_balance_orig_M_orig
2019-07,709067795386.0,713546556612.0,356737867568.0,margin_tr_balance_orig_M_orig
2019-08,790224437082.0,774230106431.0,538541616594.0,margin_tr_balance_orig_M_orig
2019-09,1067040802987.0,1042893131012.0,538791089316.0,margin_tr_balance_orig_M_orig
2019-10,669467792717.0,653213485078.0,543040299737.0,margin_tr_balance_orig_M_orig
2019-11,740525050123.0,741388534777.0,411407975807.0,margin_tr_balance_orig_M_orig
2019-12,1109194822039.0,1055060133194.0,559055426838.0,margin_tr_balance_orig_M_orig
2020-01,1168604519275.0,1146860580004.0,568373798279.0,margin_tr_balance_orig_M_orig
2020-02,2072551173052.0,2011041337220.0,582209646574.0,margin_tr_balance_orig_M_orig
2020-03,1801587943748.0,1841804333139.0,562713019950.0,margin_tr_balance_orig_M_orig
2020-04,1152164237136.0,1177758121712.0,481540744235.0,margin_tr_balance_orig_M_orig
2020-05,981689301184.0,950783790055.0,555018097562.0,margin_tr_balance_orig_M_orig
2020-06,1357752208378.0,1277949408330.0,542833003150.0,margin_tr_balance_orig_M_orig
2020-07,3267902084509.0,3034891607176.0,715121775818.0,margin_tr_balance_orig_M_orig
2020-08,2162685782228.0,2110601010796.0,688134069128.0,margin_tr_balance_orig_M_orig
2020-09,1365259851079.0,1402334247562.0,718773947637.0,margin_tr_balance_orig_M_orig
2020-10,989667850757.0,965311830309.0,726579583483.0,margin_tr_balance_orig_M_orig
2020-11,1553591318921.0,1510980310472.0,747061399190.0,margin_tr_balance_orig_M_orig
2020-12,1689002556851.0,1664630712317.0,713657084317.0,margin_tr_balance_orig_M_orig
2021-01,2154768239451.0,2096576348013.0,731709803628.0,margin_tr_balance_orig_M_orig
2021-02,1345918904980.0,1355236341024.0,806306694237.0,margin_tr_balance_orig_M_orig
2021-03,1500574755713.0,1521443990428.0,797053733339.0,margin_tr_balance_orig_M_orig
2021-04,1308079813626.0,1319070618397.0,709203424877.0,margin_tr_balance_orig_M_orig
2021-05,1430921458898.0,1365442358288.0,827953586295.0,margin_tr_balance_orig_M_orig
2021-06,1822941975326.0,1764065269012.0,862822810436.0,margin_tr_balance_orig_M_orig
2021-07,2331938965596.0,2327063756370.0,875692505732.0,margin_tr_balance_orig_M_orig
2021-08,2521565153855.0,2464828064094.0,899385982475.0,margin_tr_balance_orig_M_orig
2021-09,2298594461963.0,2318934794328.0,789086368159.0,margin_tr_balance_orig_M_orig
2021-10,1219373089953.0,1208917132786.0,903863548830.0,margin_tr_balance_orig_M_orig
2021-11,414633260796.0,424120656977.0,895795759951.0,margin_tr_balance_orig_M_orig
