,return
2020-01-31,-0.004465060593970014
2020-02-29,0.003952071903944251
2020-02-29,0.001708583631691085
2020-03-31,-0.008789506021856021
2020-03-31,0.025565597375168225
2020-04-30,-0.01579847052799191
2020-04-30,0.004947668808112404
2020-05-31,0.02896434224488841
2020-05-31,-0.00040070285563591473
2020-06-30,-0.007719551330028281
2020-06-30,0.009676140441696022
2020-07-31,-0.006781659859940444
2020-07-31,0.040785180596701935
2020-08-31,0.052095281128061985
2020-08-31,0.014646548295989019
2020-09-30,-0.0043299241280362315
2020-09-30,-0.02958463004119487
2020-10-31,0.016270187063296478
2020-10-31,0.026974944441806408
2020-11-30,0.009571264032415337
2020-11-30,0.0011696799476100693
2020-12-31,-0.0025928641953152642
2020-12-31,0.014826395652091748
2021-01-31,0.002656151020926606
2021-01-31,0.003981200019908936
2021-02-28,-0.02824220377910753
2021-02-28,-0.030463540025266703
2021-03-31,0.0045669926028397475
2021-03-31,0.028057697381436326
2021-04-30,0.03321407893482048
2021-04-30,0.005707435758194107
2021-05-31,-0.00018021064435552216
2021-05-31,0.02336376337154656
2021-06-30,0.022215479575986262
2021-06-30,0.026901365830042843
2021-07-31,0.0252332476163198
2021-07-31,0.027864297397818066
2021-08-31,0.004172903265559805
2021-08-31,-0.012365080639259483
2021-09-30,0.005207286845088584
2021-09-30,-0.005642360910543445
2021-10-31,0.013579858958731329
2021-10-31,-0.006672062212093856
2021-11-30,-0.015112058468998556
2021-11-30,-0.011542900051062597
2021-12-31,0.0460402814411032
2021-12-31,0.006775904661912547
2022-01-31,-0.029966176804089927
2022-01-31,0.03402726203219683
2022-02-28,-0.03223921260886196
2022-02-28,0.0019002228132441248
2022-03-31,-0.0032321176146529688
2022-03-31,-0.0005939058285106221
2022-04-30,0.06743215012620349
2022-04-30,0.047854709690913676
2022-05-31,0.011102899316693601
2022-05-31,-0.010388809063115066
2022-06-30,0.04010841529174152
2022-06-30,6.512200184901045e-05
