,RiskParity,Momentum_k0.1,Momentum_k0.5,Momentum_k1.0,Momentum_k1.5,Momentum_k2.0
2013-01-07,,-0.007175348876043406,-0.007175348876043406,-0.007175348876043406,-0.007175348876043406,-0.007175348876043406
2013-01-08,,2.275969293315168e-05,2.275969293315168e-05,2.275969293315168e-05,2.275969293315168e-05,2.275969293315168e-05
2013-01-09,,0.0017234009694762336,0.0017234009694762336,0.0017234009694762336,0.0017234009694762336,0.0017234009694762336
2013-01-10,,0.011115545525618513,0.011115545525618513,0.011115545525618513,0.011115545525618513,0.011115545525618513
2013-01-11,,-0.020942125506875093,-0.020942125506875093,-0.020942125506875093,-0.020942125506875093,-0.020942125506875093
2013-01-15,,0.015377054230628304,0.015377054230628304,0.015377054230628304,0.015377054230628304,0.015377054230628304
2013-01-16,,0.020214603152477348,0.020214603152477348,0.020214603152477348,0.020214603152477348,0.020214603152477348
2013-01-17,,-0.022515115911030947,-0.022515115911030947,-0.022515115911030947,-0.022515115911030947,-0.022515115911030947
2013-01-18,,0.01374752481857831,0.01374752481857831,0.01374752481857831,0.01374752481857831,0.01374752481857831
2013-01-22,,-0.014900132683316976,-0.014900132683316976,-0.014900132683316976,-0.014900132683316976,-0.014900132683316976
2013-01-23,,-0.0045577800893794075,-0.0045577800893794075,-0.0045577800893794075,-0.0045577800893794075,-0.0045577800893794075
2013-01-24,,-0.024957617654625036,-0.024957617654625036,-0.024957617654625036,-0.024957617654625036,-0.024957617654625036
2013-01-25,,0.002028584008661188,0.002028584008661188,0.002028584008661188,0.002028584008661188,0.002028584008661188
2013-01-28,,0.009907325284267654,0.009907325284267654,0.009907325284267654,0.009907325284267654,0.009907325284267654
2013-01-29,,0.015147768787117115,0.015147768787117115,0.015147768787117115,0.015147768787117115,0.015147768787117115
2013-01-30,,-0.010069827151980577,-0.010069827151980577,-0.010069827151980577,-0.010069827151980577,-0.010069827151980577
2013-01-31,,0.013804149610052255,0.013804149610052255,0.013804149610052255,0.013804149610052255,0.013804149610052255
2013-02-01,,-0.006118315747363097,-0.006118315747363097,-0.006118315747363097,-0.006118315747363097,-0.006118315747363097
2013-02-04,,0.018120222935385955,0.018120222935385955,0.018120222935385955,0.018120222935385955,0.018120222935385955
2013-02-05,,0.003227085428897788,0.003227085428897788,0.003227085428897788,0.003227085428897788,0.003227085428897788
2013-02-06,,-0.0023666763981898364,-0.0023666763981898364,-0.0023666763981898364,-0.0023666763981898364,-0.0023666763981898364
2013-02-07,,0.015065419618204028,0.015065419618204028,0.015065419618204028,0.015065419618204028,0.015065419618204028
2013-02-08,,-0.0033557636034951144,-0.0033557636034951144,-0.0033557636034951144,-0.0033557636034951144,-0.0033557636034951144
2013-02-19,,-0.012518978402559765,-0.012518978402559765,-0.012518978402559765,-0.012518978402559765,-0.012518978402559765
2013-02-20,,0.005781300469359608,0.005781300469359608,0.005781300469359608,0.005781300469359608,0.005781300469359608
2013-02-21,,-0.0399653986020227,-0.0399653986020227,-0.0399653986020227,-0.0399653986020227,-0.0399653986020227
2013-02-22,,0.006926674577100005,0.006926674577100005,0.006926674577100005,0.006926674577100005,0.006926674577100005
2013-02-25,,-0.0010134893516998646,-0.0010134893516998646,-0.0010134893516998646,-0.0010134893516998646,-0.0010134893516998646
2013-02-26,,-0.012928956159509711,-0.012928956159509711,-0.012928956159509711,-0.012928956159509711,-0.012928956159509711
2013-02-27,0.008391298509466832,0.008326223302742828,0.008326223302742828,0.008326223302742828,0.008326223302742828,0.008326223302742828
2013-02-28,0.029312058109737797,0.025951343442049853,0.025951343442049822,0.025951343442049826,0.02595134344204982,0.025951343442049853
2013-03-01,-0.0016799291669146344,0.004002250888349416,0.00400225088834948,0.0040022508883494805,0.0040022508883494805,0.004002250888349485
2013-03-04,-0.046132845929835915,0.003830222223978434,0.00383022222397892,0.003830222223978915,0.0038302222239789303,0.0038302222239789347
2013-03-05,0.03028304425279329,0.002720380434694972,0.002720380434694714,0.002720380434694716,0.0027203804346947074,0.0027203804346947074
