date,asset_strategy_return,industry_strategy_return
0,0.015283333463922296,0.00884209937250265
1,-0.010470933525870012,-0.001932912755883992
2,0.00011442985545604442,0.003784756706192459
3,-0.003954152923363529,0.0055582175939314785
4,-0.01721186449693904,0.016486871985343047
5,0.019368640309425547,-0.0009898390481973456
6,0.027450936423043106,0.00563367929237826
7,-0.024393915911726332,0.0030516162978708574
8,0.016927348384101842,0.008519948756815074
9,-0.04644915863420151,0.00195443686765043
10,0.0003666574484723871,-0.010174562344216483
11,0.0,0.032411544474469346
12,0.0,0.02324089437444196
13,0.0,-0.0015067297116141253
14,0.0,-0.007305788168980389
15,0.0,0.06436027783996234
16,0.0,0.030432298721560277
17,0.0,0.0045538210396600855
18,0.0,0.01953449707995219
19,0.0,-0.006710543724227245
20,0.0,0.020365730320650484
21,0.0,0.0035705819200608506
22,0.0,-0.014158805389797809
23,0.0,0.03788396279992788
24,0.0,0.036197988499804865
25,0.0,0.03292923232222138
26,0.0,-0.044218835371762424
27,0.0,0.031740704792345587
28,0.0,-0.004918813370331036
29,0.0,0.024313161991084273
30,0.0,0.018318730388726175
31,0.0,0.0304272371786575
32,0.0,0.07165362383072808
33,0.0,0.033030597364088775
34,0.0,0.04227886696312382
35,0.0,0.06166853483526488
36,0.0,0.0013503462024215054
37,0.0,0.0059865235459114555
38,0.0,-0.0018086695641718364
39,0.0,0.019561317411336182
40,0.0,0.004163349572550501
41,0.0,0.028313286014585305
42,0.0,0.06595642130095744
43,0.0,0.032916674740586876
44,0.0,-0.015123715454303556
45,0.0,-0.0012450420119489713
46,0.0,0.0062798643416866595
47,0.0,0.01440970558585945
48,0.0,0.020116804615074584
49,0.0,0.0008334581879731132
50,0.0,0.014311163395585181
51,0.0,-0.014728626434654307
52,0.0,-0.0050227985008895505
53,0.0,0.0150481060232903
54,0.0,0.013804408789430067
55,0.0,0.05290894376163075
56,0.0,0.04489601696111869
57,0.0,-0.0008703908211973136
58,0.0,0.03403254343924415
59,0.0,0.032306819205290306
60,0.0,0.03259674249237169
61,0.0,0.01495504279735765
62,0.0,0.05636886726739786
63,0.0,0.06030318947546675
64,0.0,-0.012009333399510921
65,0.0,0.033301727823857936
66,0.0,0.02869092457674493
67,0.0,0.04205307927446533
68,0.0,0.03068280107706022
69,0.0,-0.002071266631413116
70,0.0,-0.004247887594266645
71,0.0,0.041708991867517795
72,0.0,0.02742898195109927
73,0.0,0.010041094716803168
74,0.0,0.028045257164025825
75,0.0,0.004677739654034891
76,0.0,-0.012304937519879952
77,0.0,0.003645161591336567
78,0.0,0.04853516744970829
79,0.0,-0.006431218661364288
80,0.0,-0.04055344066942357
81,0.0,-0.014822202147486741
82,0.0,0.030072218057232546
83,0.0,0.01348897984711336
84,0.0,0.019053559782359335
85,0.0,0.007530589675660269
86,0.0,0.015577583349451515
87,0.0,0.01721431030183527
88,0.0,0.004791857234666333
89,0.0,0.036090828009424473
90,0.0,0.037555958323501275
91,0.0,0.018324239039291625
92,0.0,0.04913200262399482
93,0.0,0.043162364863566234
94,0.0,0.0010052877537553876
95,0.0,-0.008068297165726065
96,0.0,0.028144857425480858
97,0.0,0.06688160138593768
98,0.0,-0.003816697670999953
99,0.0,-0.0209169715651771
100,0.0,-0.002968309425135116
101,0.0,0.022662261276664243
102,0.0,-0.03665776502598096
103,0.0,-0.008083636119177734
104,0.0,0.04164557421989667
105,0.0,0.05378435629352637
106,0.0,-0.0032500444446851213
107,0.0,0.03717292906414523
108,0.0,0.03639361174409799
109,0.0,0.013022974898988135
110,0.0,0.03140474947825006
111,0.0,0.010775559783504873
112,0.0,0.028075737860349368
113,0.0,0.03905372049742731
114,0.0,0.036016343269236736
115,0.0,0.032623552456854596
116,0.0,0.018791798005037882
117,0.0,0.04053009668720136
118,0.0,0.0394916220704848
119,0.0,0.0034604972203785373
120,0.0,0.028774343906445794
121,0.0,-0.028424073979351382
122,0.0,-0.02547398637363269
123,0.0,0.006864031574059204
124,0.0,0.0567178226561907
