trade_date,沪深300,中证1000
2017-01-04,0.0078045262751738065,0.012237154941713957
2017-01-05,-0.00015512222339753023,9.365683480599962e-05
2017-01-06,-0.0059750473693545025,-0.007019302988069964
2017-01-09,0.0048496168898546355,0.005104392345623987
2017-01-10,-0.0016735924542854441,-0.005118359617829138
2017-01-11,-0.007079891930122706,-0.010419623048271265
2017-01-12,-0.0050596261131443665,-0.008988907662052514
2017-01-13,0.0006896803046494426,-0.018597056499817466
2017-01-16,-0.00014057600679928672,-0.04275590050113309
2017-01-17,0.0020819139823202715,0.012190688818043416
2017-01-18,0.003910885914416351,-0.004921225001748075
2017-01-19,-0.003017399743597937,-0.004224346733865181
2017-01-20,0.007689329232477782,0.01664036228410981
2017-01-23,0.002739792501635918,0.010056737131434845
2017-01-24,0.00011001519345188449,-0.005572529459118902
2017-01-25,0.003404210773294336,0.0033248123430411614
2017-01-26,0.0035713098730705273,0.006781700630789533
2017-02-03,-0.00692696957573824,-0.0028750270568487224
2017-02-06,0.0025896329143033636,0.011944069124510959
2017-02-07,-0.00222939304817249,0.00028583305026197436
2017-02-08,0.005230109330793153,0.0072514225358235596
2017-02-09,0.0038437758679588097,0.008130385066640988
2017-02-10,0.005062697192974364,-0.0035046236555009713
2017-02-13,0.0066759303126644465,0.006225048358529328
2017-02-14,-0.00013700882496314737,-0.001081660903978765
2017-02-15,-0.004101252335624972,-0.009468501610697344
2017-02-16,0.005617069414732612,0.006410261634292258
2017-02-17,-0.005664510013286939,-0.008710266042569526
2017-02-20,0.014599312646519147,0.008748528470539974
2017-02-21,0.003292741938782706,0.009808468695709394
2017-02-22,0.001990827555692576,0.0036201675181291026
2017-02-23,-0.0047089529192678725,0.00028195228533034467
2017-02-24,0.00015204457194828436,0.0036115313620592726
2017-02-27,-0.00795339075643331,-0.007788681493325789
2017-02-28,0.0019115130919569179,0.003678169668123399
2017-03-01,0.0016297738685500107,0.0021609560853164123
2017-03-02,-0.006749088085325039,-0.0064541938596756054
2017-03-03,-0.0021057633813643672,0.0040148546173968125
2017-03-06,0.005432306100465967,0.012074867370945874
2017-03-07,0.0021681516583276217,0.001894901087849954
