,0
2008-10-31,0.9965682991986639
2008-11-03,0.9984839388717106
2008-11-04,0.99869976377332
2008-11-05,1.0035988583031823
2008-11-06,1.0024983754704444
2008-11-07,1.0073100660823109
2008-11-10,1.0154501782596728
2008-11-11,1.0112056256553392
2008-11-12,1.0156524016141173
2008-11-13,1.022012689612639
2008-11-14,1.023911446983778
2008-11-17,1.0249430128433377
2008-11-18,1.0179648791483704
2008-11-19,1.018619790349757
2008-11-20,1.0151546384532986
2008-11-21,1.013157417265368
2008-11-24,1.00756944152294
2008-11-25,1.007258038997091
2008-11-26,1.010084796427119
2008-11-27,1.0160812780541442
2008-11-28,1.011671458361918
2008-12-01,1.0081088244865941
2008-12-02,1.007212769867731
2008-12-03,1.0110893187564638
2008-12-04,1.0113413804378826
2008-12-05,1.0146922651630956
2008-12-08,1.016859908490145
2008-12-09,1.0133350786375337
2008-12-10,1.0173049963777607
2008-12-11,1.0171220830720515
2008-12-12,1.0190940397911699
2008-12-15,1.021543538043756
2008-12-16,1.0234176839371172
2008-12-17,1.0293583246156268
2008-12-18,1.0340225339604414
2008-12-19,1.037141799640367
2008-12-22,1.037380309677584
2008-12-23,1.0338438276050153
2008-12-24,1.0343996482932674
2008-12-25,1.0343542790579037
2008-12-26,1.0357136407358893
2008-12-29,1.0373060996734162
2008-12-30,1.0402503321005845
2008-12-31,1.04209723924941
2009-01-05,1.0438096720585228
2009-01-06,1.0499941272923645
2009-01-07,1.0477344272435942
2009-01-08,1.0443680675436746
2009-01-09,1.043947807349598
2009-01-12,1.0443185328835647
2009-01-13,1.03631561491488
2009-01-14,1.0402208638009283
2009-01-15,1.0361806857369988
2009-01-16,1.033596587155065
2009-01-19,1.0352287728145413
2009-01-20,1.0320797361150198
2009-01-21,1.0282561158163293
2009-01-22,1.0290177958707967
2009-01-23,1.0270141570316047
2009-02-02,1.0187784931101123
2009-02-03,1.0174917423556058
2009-02-04,1.0188615633940197
2009-02-05,1.0150484310892478
2009-02-06,1.0210929672090079
2009-02-09,1.0247620612355535
2009-02-10,1.0246765824326405
2009-02-11,1.0226451590919814
2009-02-12,1.0209187344461952
2009-02-13,1.02543453734112
2009-02-16,1.0253873592950657
2009-02-17,1.0244265411452709
2009-02-18,1.0168122693106008
2009-02-19,1.0161436340073258
2009-02-20,1.0144944716849598
2009-02-23,1.0185555495767995
2009-02-24,1.0144034874786565
2009-02-25,1.017730243644016
2009-02-26,1.0158666295028798
2009-02-27,1.013549956706999
2009-03-02,1.0138866194326939
2009-03-03,1.0126289925511447
2009-03-04,1.0170461259232055
2009-03-05,1.0196545922937974
2009-03-06,1.0192772203655267
2009-03-09,1.016230473924692
2009-03-10,1.019162778010392
2009-03-11,1.0220242273350904
2009-03-12,1.0241760717752313
2009-03-13,1.022971083811056
2009-03-16,1.0268354554253687
2009-03-17,1.0269051413826997
