,0
2008-10-31,0.9915525128007688
2008-11-03,0.9954758870556895
2008-11-04,0.9964514350109464
2008-11-05,1.008732795910621
2008-11-06,1.0037328322297077
2008-11-07,1.0154778703854483
2008-11-10,1.0332529380875066
2008-11-11,1.0205454958090372
2008-11-12,1.0309454368324427
2008-11-13,1.0450381997622422
2008-11-14,1.0559830554838727
2008-11-17,1.061474263813125
2008-11-18,1.0395268371699469
2008-11-19,1.0482542405154536
2008-11-20,1.035997692596013
2008-11-21,1.0277635683280204
2008-11-24,1.0129668636085194
2008-11-25,1.017402876266523
2008-11-26,1.0215551170991637
2008-11-27,1.0318450289965109
2008-11-28,1.0222881546179836
2008-12-01,1.0138644903379568
2008-12-02,1.0097172432336792
2008-12-03,1.017616144841755
2008-12-04,1.0151861275861385
2008-12-05,1.0205206572351508
2008-12-08,1.0252656055932288
2008-12-09,1.0206487918456788
2008-12-10,1.030691601377111
2008-12-11,1.03283469252826
2008-12-12,1.0364353780376703
2008-12-15,1.0414904424541385
2008-12-16,1.0451003335040232
2008-12-17,1.0552094569173691
2008-12-18,1.0654504559087852
2008-12-19,1.0737201973348445
2008-12-22,1.0744636133951673
2008-12-23,1.0655046397946941
2008-12-24,1.0674520068107969
2008-12-25,1.0679762448102836
2008-12-26,1.0737522834961348
2008-12-29,1.0779255505555387
2008-12-30,1.087828845478667
2008-12-31,1.093071631710094
2009-01-05,1.0933167077436654
2009-01-06,1.1105206927031708
2009-01-07,1.1014889906412095
2009-01-08,1.090553482783935
2009-01-09,1.0868280437720772
2009-01-12,1.0880424817809098
2009-01-13,1.0683283278563263
2009-01-14,1.0841762185222257
2009-01-15,1.0770470727317456
2009-01-16,1.071937117259465
2009-01-19,1.079166507437843
2009-01-20,1.0758534519960639
2009-01-21,1.065963347679051
2009-01-22,1.0643079877974202
2009-01-23,1.0557515651057936
2009-02-02,1.032921385199476
2009-02-03,1.031980691840209
2009-02-04,1.0407440546981226
2009-02-05,1.0368143852188922
2009-02-06,1.0506517765566317
2009-02-09,1.0581159611169981
2009-02-10,1.0580435709898697
2009-02-11,1.0508310970033268
2009-02-12,1.0399840701347645
2009-02-13,1.0519018696084554
2009-02-16,1.0524990880432228
2009-02-17,1.0536047426472053
2009-02-18,1.031411645547767
2009-02-19,1.0276105968976652
2009-02-20,1.0222715250691317
2009-02-23,1.0335059861215143
2009-02-24,1.0217201843432042
