,策略名称,年化收益,最大回撤,年化波动,夏普比率,卡玛比率,索提诺比率,胜率
0,RiskParity,3.49%,-10.93%,5.60%,0.09,0.32,0.12,52.34%
1,VolInv,2.57%,-4.65%,2.20%,-0.20,0.55,-0.29,53.47%
