,MA_20,MA_40,MA_60,MA_120,EMA_20,EMA_40,EMA_60,EMA_120,WMA_20,WMA_40,WMA_60,WMA_120,SMA_20,SMA_40,SMA_60,SMA_120,DEMA_20,DEMA_40,DEMA_60,DEMA_120,TMA_20,TMA_40,TMA_60,TMA_120,REG_20,REG_40,REG_60,REG_120,ROC_20,ROC_40,ROC_60,ROC_120,RET_20,RET_40,RET_60,RET_120,SROC_20,SROC_40,SROC_60,SROC_120,DPO_20,DPO_40,DPO_60,DPO_120,KST_20,KST_40,KST_60,KST_120,BIAS_20,BIAS_40,BIAS_60,BIAS_120,BIAS36,BBI,CMO_20,CMO_40,CMO_60,CMO_120,PSY_20,PSY_40,PSY_60,PSY_120,POS_20,POS_40,POS_60,POS_120,TII_20_0.4,TII_20_0.5,TII_20_0.6,TII_40_0.4,TII_40_0.5,TII_40_0.6,TII_60_0.4,TII_60_0.5,TII_60_0.6,THRES_AVG_20_0.4,THRES_AVG_20_0.5,THRES_AVG_20_0.6,THRES_AVG_40_0.4,THRES_AVG_40_0.5,THRES_AVG_40_0.6,THRES_AVG_60_0.4,THRES_AVG_60_0.5,THRES_AVG_60_0.6,MASS_20_0.4,MASS_20_0.5,MASS_20_0.6,MASS_40_0.4,MASS_40_0.5,MASS_40_0.6,MASS_60_0.4,MASS_60_0.5,MASS_60_0.6,UP2DOWN_20_0.4,UP2DOWN_20_0.5,UP2DOWN_20_0.6,UP2DOWN_40_0.4,UP2DOWN_40_0.5,UP2DOWN_40_0.6,UP2DOWN_60_0.4,UP2DOWN_60_0.5,UP2DOWN_60_0.6,OSC_20_60,OSC_20_120,OSC_20_250,OSC_40_60,OSC_40_120,OSC_40_250,OSC_60_60,OSC_60_120,OSC_60_250,AVG_LINE_20,AVG_LINE_40,AVG_LINE_60,AVG_LINE_120,EXPMA_20,EXPMA_40,EXPMA_60,EXPMA_120,HULLMA_20_60,HULLMA_20_120,HULLMA_20_250,HULLMA_40_60,HULLMA_40_120,HULLMA_40_250,HULLMA_60_60,HULLMA_60_120,HULLMA_60_250,ZLMACD_20_60,ZLMACD_20_120,ZLMACD_20_250,ZLMACD_40_60,ZLMACD_40_120,ZLMACD_40_250,ZLMACD_60_60,ZLMACD_60_120,ZLMACD_60_250,RSIH_20,RSIH_40,RSIH_60,RSIH_120,TSI_20_60,TSI_20_120,TSI_20_250,TSI_40_60,TSI_40_120,TSI_40_250,TSI_60_60,TSI_60_120,TSI_60_250,ROC_CHANGE_20_60,ROC_CHANGE_20_120,ROC_CHANGE_20_250,ROC_CHANGE_40_60,ROC_CHANGE_40_120,ROC_CHANGE_40_250,ROC_CHANGE_60_60,ROC_CHANGE_60_120,ROC_CHANGE_60_250,MOM_20_60,MOM_20_120,MOM_20_250,MOM_40_60,MOM_40_120,MOM_40_250,MOM_60_60,MOM_60_120,MOM_60_250,EFFICIENCY_20,EFFICIENCY_40,EFFICIENCY_60,EFFICIENCY_120,INVVOL_20_60,INVVOL_20_120,INVVOL_20_250,INVVOL_40_60,INVVOL_40_120,INVVOL_40_250,INVVOL_60_60,INVVOL_60_120,INVVOL_60_250,SHARP_MOM_20_60,SHARP_MOM_20_120,SHARP_MOM_20_250,SHARP_MOM_40_60,SHARP_MOM_40_120,SHARP_MOM_40_250,SHARP_MOM_60_60,SHARP_MOM_60_120,SHARP_MOM_60_250,PMO_20_10_60,PMO_20_10_120,PMO_20_10_250,PMO_40_10_60,PMO_40_10_120,PMO_40_10_250,PMO_60_10_60,PMO_60_10_120,PMO_60_10_250,DBCD_20_60_10,DBCD_20_120_10,DBCD_20_250_10,DBCD_40_60_10,DBCD_40_120_10,DBCD_40_250_10,DBCD_60_60_10,DBCD_60_120_10,DBCD_60_250_10,MACD_20_60_60,MACD_20_120_60,MACD_20_250_60,MACD_40_60_60,MACD_40_120_60,MACD_40_250_60,MACD_60_60_60,MACD_60_120_60,MACD_60_250_60,COPP_20_60_60,COPP_20_120_60,COPP_20_250_60,COPP_40_60_60,COPP_40_120_60,COPP_40_250_60,COPP_60_60_60,COPP_60_120_60,COPP_60_250_60,PPO_20_60_60,PPO_20_120_60,PPO_20_250_60,PPO_40_60_60,PPO_40_120_60,PPO_40_250_60,PPO_60_60_60,PPO_60_120_60,PPO_60_250_60,DELTA_20_40_120_250
2010-01-04,,,,,2489.6211,2489.6211,2489.6211,2489.6211,,,,,,,,,2489.6211,2489.6211,2489.6211,2489.6211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2489.6211,2489.6211,2489.6211,2489.6211,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2010-01-05,,,,,2493.4366142857143,2491.5753878048777,2490.934637704918,2490.2832966942146,,,,,,,,,2496.8887462585035,2493.4343444973224,2492.2051085998387,2490.934547988525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2493.4366142857143,2491.5753878048777,2490.934637704918,2490.2832966942146,,,,,,,,,,2.263693096911127,2.853001630404465,3.1633081822373934,0.6094939975227933,1.229062275996534,1.555302412005736,0.0,0.6299855677292889,0.9617110359958968,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4199445617540003,3.0499301294832892,3.381655597749897,0.6197418999611757,1.2497274676904646,1.5814529359570726,0.0,0.6299855677292889,0.9617110359958968,,,,,,,,,,0.0032932224636006762,0.004151634561161246,0.004603820900183747,0.0008433862406779301,0.0017011575762803672,0.002153006380679512,0.0,0.000857550745420129,0.0013092833493751686,
2010-01-06,,,,,2494.787327210884,2492.3580079119565,2491.4816692555764,2490.569838897616,,,,,,,,,2499.1327583090374,2494.870727306625,2493.2395814570386,2491.4921316763575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2494.787327210884,2492.3580079119565,2491.4816692555764,2490.569838897616,,,,,,,,,,2.775243569382054,3.5441083186324818,3.9566634908797367,0.8038590147262861,1.6409870001776066,2.0898823428542697,0.0,0.8612790161344099,1.3230274749234552,,,,,99.65556276874146,99.8264789605489,99.91638106441305,99.82370173856792,99.9111540410592,99.95717791287609,99.88153237525498,99.94029095732058,99.9712195894415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7054465971187357,-0.889095917856259,-0.9857983822286708,-0.1806631529206519,-0.36431247365817526,-0.461014938030587,0.0,-0.18364932073752335,-0.28035178510993514,3.1179332826171056,3.9792122987515155,4.4409607575405605,0.8272868348606994,1.6885658509951094,2.1503143097841546,0.0,0.8612790161344099,1.3230274749234552,,,,,,,,,,0.007535359353373459,0.009567590394019908,0.01064944023257435,0.0019689602555922423,0.003999401121109086,0.005080296915109014,0.0,0.0020298052965927764,0.0031103623116155244,
2010-01-07,,,,,2491.765305571752,2490.928646550398,2490.549683378344,2490.115066353854,,,,,,,,,2492.9626760346755,2491.9591578501854,2491.34853015096,2490.5748589816435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2491.765305571752,2490.928646550398,2490.549683378344,2490.115066353854,,,,,,,,,,0.6199499210553737,0.8838250115229773,1.0404592156425787,0.2915331142829019,0.6338909539720274,0.8331354718951917,0.0,0.3714733651995727,0.5864996405382551,,,,,98.65841319484115,99.32159663453884,99.67244031343891,99.30539205517789,99.64858714892658,99.83028047233601,99.53141704867943,99.76289570687719,99.88547672455819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.153222635510601,-2.7282272154152736,-3.0334019064053828,-0.5598282430277739,-1.134832822932447,-1.4400075139225559,0.0,-0.5750045799046729,-0.880179270894782,0.994195962661002,1.3656693278605747,1.580695603199257,0.3190945849430957,0.6905679501426684,0.9055942254813508,0.0,0.3714733651995727,0.5864996405382551,,,,,,,,,,0.008888606372118768,0.011426738410041017,0.012801501876730504,0.0024032909180674348,0.004939499236450362,0.006313229677334295,0.0,0.002535506513627758,0.003908859340342516,
2010-01-08,,,,,2489.2659621839657,2489.6893076942806,2489.7291101528244,2489.708572695113,,,,,,,,,2488.0879866805185,2489.4906668480157,2489.7080960426388,2489.7609906894663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2489.2659621839657,2489.6893076942806,2489.7291101528244,2489.708572695113,,,,,,,,,,-0.9579802182387046,-1.09387950632959,-1.144443137730311,-0.12102605210421612,-0.18924915836004091,-0.20187736322364855,0.0,-0.04120927693707495,-0.038785487005153774,,,,,97.78206721437468,98.87136545478216,99.4532581654892,98.82744100973751,99.40266998559106,99.71046713261961,99.2033740004826,99.59401853018124,99.80317415140681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.560694343638681,-4.545988324805809,-5.074700544339587,-0.9454872450960643,-1.9307812262631936,-2.45949344579697,0.0,-0.9852939811671291,-1.5140062007009059,-0.6621291438807988,-0.7033384208178738,-0.7009146308859526,-0.09640314251828194,-0.1376124194553569,-0.13518862952343572,0.0,-0.04120927693707495,-0.038785487005153774,,,,,,,,,,0.007987263743393796,0.010469219012651616,0.011847220482381904,0.002272079208240311,0.004752178429495293,0.006129188959500286,0.0,0.0024794208588623592,0.0038560669279853804,
2010-01-11,,,,,2488.680203880731,2489.368634148218,2489.5122704756823,2489.5995962869297,,,,,,,,,2487.0844447223044,2488.8746521652724,2489.2822151731853,2489.5439727229145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7713591712432923,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2488.680203880731,2489.368634148218,2489.5122704756823,2489.5995962869297,,,,,,,,,,-1.2005275258235941,-1.4210746012493924,-1.5181537129084721,-0.21389114438931325,-0.38138794032506285,-0.4473669408190104,0.0,-0.14418492144015754,-0.19671479204559994,,,,,97.01155041308148,98.46974827134854,99.25628911787774,98.38649636153177,99.17228201844601,99.59732592274136,98.89589638048862,99.43321550529244,99.72416501295335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.729962384825164,-6.091648418603502,-6.831351338400641,-1.2856588130449587,-2.647344846823297,-3.3870477666204355,0.0,-1.3616860337783383,-2.101388953575477,-0.9972429250562732,-1.141427846496431,-1.1939577171018732,-0.1936718635227046,-0.33785678496286214,-0.39038665556830454,0.0,-0.14418492144015754,-0.19671479204559994,,,,,,,,,,0.00662955424916091,0.008915168283814712,0.010221605028575784,0.0020084157148283002,0.004292202753179954,0.005597673749481748,0.0,0.0022831242820070515,0.0035882412441685003,
2010-01-12,,,,,2494.950717796852,2492.5467788239143,2491.6436911158235,2490.672670728468,,,,,,,,,2499.1802578157185,2495.100006751165,2493.482716606332,2491.6733042361143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018656291766236562,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2494.950717796852,2492.5467788239143,2491.6436911158235,2490.672670728468,,,,,,,,,,2.6587023453796332,3.41671107587327,3.8318666783393263,0.7922068964748146,1.6396002307192494,2.105656226602514,0.0,0.8841887762722344,1.3710891133529686,,,,,96.3494611886136,98.11542216797804,99.08019620998978,97.98385969402527,98.95750975759306,99.49073418865301,98.60959535768036,99.2805878437028,99.64843122893386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.085432688625036,-6.634423099730772,-7.490367568705393,-1.42934376301164,-2.978334174117376,-3.834278643091997,0.0,-1.548990411105736,-2.4049348800803574,3.0388388640082242,3.9230276402804587,4.4099279773611935,0.8250832483592446,1.709272024631479,2.1961723617122133,0.0,0.8841887762722344,1.3710891133529686,,,,,,,,,,0.010763821411025436,0.01425443219927041,0.016224841652875563,0.0031309154272326973,0.006618525875719348,0.008587320221207674,0.0,0.0034865061287423105,0.005454702207666199,
2010-01-13,,,,,2493.6910684828663,2492.0188579056744,2491.318468456288,2490.5247654271707,,,,,,,,,2496.3781124539487,2493.945369450831,2492.782638407557,2491.363398952423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5560681892047622,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2493.6910684828663,2492.0188579056744,2491.318468456288,2490.5247654271707,,,,,,,,,,1.5600589584598163,2.085446390500387,2.3878912825345022,0.5607521188547289,1.1981414618849837,1.564533705913343,0.0,0.6836953059672773,1.0764089114317497,,,,,94.64215608952966,97.22970133333334,98.64672831061924,97.03374303565377,98.46393723113914,99.24897561276913,97.95174688390024,98.93860897290944,99.4808555918912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4837368394084205,-8.497230539715318,-9.61768598172949,-1.8417569031537693,-3.8552506034606675,-4.975706045474841,0.0,-2.0134937003068982,-3.133949142321072,2.035415087933014,2.719110393900291,3.1118239993647636,0.6019789244202028,1.2856742303874802,1.6783878358519524,0.0,0.6836953059672773,1.0764089114317497,,,,,,,,,,0.013533358883901664,0.01795540071438398,0.020461094242844112,0.003950006863822766,0.008368445385626103,0.010872174489776527,0.0,0.004417076659394774,0.006920058625092173,
2010-01-14,,,,,2495.34183338926,2492.9459428858854,2491.9645547364094,2490.8635974035815,,,,,,,,,2499.2665176117384,2495.660339580748,2494.005622238902,2492.0216006655473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9063148355023842,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2495.34183338926,2492.9459428858854,2491.9645547364094,2490.8635974035815,,,,,,,,,,2.320476862376749,3.0738193851992173,3.502956921004711,0.8006898033861068,1.6992532722371436,2.211254080520114,0.0,0.9584594585408772,1.504527305493799,,,,,93.16199145305784,96.44503593351024,98.25845943888933,96.16308778393142,98.00305699973946,99.02103693136407,97.33785581754438,98.61368243460954,99.32015009473179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.430415165894206,-9.817831100927666,-11.161012773381389,-2.152497036353809,-4.53991297138727,-5.883094643840995,0.0,-2.3874159350334607,-3.7305976074871854,2.9404185104609546,3.8988779690018323,4.444945815954754,0.8540275384603397,1.812486997001217,2.358554843954139,0.0,0.9584594585408772,1.504527305493799,,,,,,,,,,0.01753314230531416,0.02326133774317631,0.02651172752119646,0.005111715067808322,0.010835032034500872,0.014082727899370259,0.0,0.0057214290400309864,0.008968077072504015,
2010-01-15,,,,,2498.8551063998066,2494.862296891452,2493.2847726139044,2491.5473594299688,,,,,,,,,2505.5846867534956,2499.267157313811,2496.53585191586,2493.3586823168616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14520361737428691,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2498.8551063998066,2494.862296891452,2493.2847726139044,2491.5473594299688,,,,,,,,,,4.083671805387491,5.341108429419559,6.045268460193853,1.3286880811426216,2.7888284098838705,3.607966728381891,0.0,1.5426230044142093,2.4084842269557267,,,,,91.87637228447494,95.74920789109323,97.91050572911769,95.36438485732272,97.57245832296248,98.80606772790578,96.76455069111945,98.30483499659624,99.16600284512535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.11748823037626,-10.828534042755182,-12.372640766322029,-2.40468455514035,-5.115730367519273,-6.659837091086123,0.0,-2.7110458123789223,-4.255152535945773,4.96516303224978,6.5077860366639895,7.373647259205507,1.4026173168095046,2.945240321223714,3.8111015437652314,0.0,1.5426230044142093,2.4084842269557267,,,,,,,,,,0.02428331666615402,0.032115115122693466,0.03654758670894027,0.00701857432967219,0.014841992918400878,0.019269799836820048,0.0,0.007820145995167293,0.012246125911887097,
