indicator,annual_return,annual_volatility,sharpe_ratio,max_drawdown,monthly_win_rate
MA_120,-0.17126652472258797,0.23408943248818675,-0.7316286040858802,-0.970917998771112,0.3826530612244898
MA_40,-0.19104949395889087,0.23688365893349314,-0.806511917365011,-0.9731234209808026,0.3877551020408163
WMA_40,-0.19104949395889087,0.23688365893349314,-0.806511917365011,-0.9731234209808026,0.3877551020408163
MA_20,-0.19153248651124893,0.23721865479624468,-0.8074090407255822,-0.9731234209808027,0.3877551020408163
WMA_20,-0.19153248651124893,0.23721865479624468,-0.8074090407255822,-0.9731234209808027,0.3877551020408163
MA_60,-0.19286755649741497,0.2366758612785906,-0.8149016779974491,-0.9731234209808027,0.3826530612244898
EMA_20,-0.19882239655411413,0.23789198614491375,-0.8357675253213445,-0.9757263675069882,0.3877551020408163
EMA_40,-0.19882239655411413,0.23789198614491375,-0.8357675253213445,-0.9757263675069882,0.3877551020408163
EMA_60,-0.19882239655411413,0.23789198614491375,-0.8357675253213445,-0.9757263675069882,0.3877551020408163
EMA_120,-0.19882239655411413,0.23789198614491375,-0.8357675253213445,-0.9757263675069882,0.3877551020408163
