,日均收益率,年化收益率,年化波动率,夏普比率(无风险=0),最大回撤
000016.SH,0.00012510817302666222,0.03152725960271888,0.20604463014678812,0.1530117993381267,-0.4540789567129597
000300.SH,0.00015753147837008715,0.03969793254926196,0.20539547496592409,0.19327559458575222,-0.46696135102286107
000905.SH,0.0002639729660397919,0.06652118744202756,0.23845932872057185,0.2789624033538126,-0.6519574497938224
HSI.HK,0.0001236800626616911,0.03116737579074616,0.20073438508193378,0.15526675102536402,-0.5570076961777286
SPX.GI,0.0004858499274116563,0.12243418170773739,0.16756619306646947,0.7306615938882773,-0.33924960026134693
CBA00601.CB,0.00015109670790238526,0.03807637039140108,0.019458537347566595,1.9567950926261557,-0.05851804491363043
CBA02001.CB,0.00019769783679277736,0.049819854871779895,0.010901042927319108,4.570191604963442,-0.04199483434839461
BRN0Y.ICE,0.0002892786507517121,0.07289821998943144,0.34548545118709667,0.21100228602666574,-0.8455323193916345
