indicator,annual_return,annual_volatility,sharpe_ratio,max_drawdown,monthly_win_rate
MA_120,0.0,0.0,0.0,0.0,0.0
MA_60,-0.018790683673994536,0.04811581217934716,-0.3905303230454477,-0.29840227159021643,0.05102040816326531
MA_40,-0.05461615508413285,0.09611392611297088,-0.5682439298123961,-0.654774911474109,0.10204081632653061
WMA_40,-0.05461615508413285,0.09611392611297088,-0.5682439298123961,-0.654774911474109,0.10204081632653061
MA_20,-0.12635034940481757,0.1403253538382674,-0.9004099825783671,-0.9104920541641248,0.2857142857142857
WMA_20,-0.12635034940481757,0.1403253538382674,-0.9004099825783671,-0.9104920541641248,0.2857142857142857
EMA_20,-0.2210886034398518,0.2060260637146346,-1.0731098748072971,-0.9855678868654643,0.32653061224489793
EMA_40,-0.2210886034398518,0.2060260637146346,-1.0731098748072971,-0.9855678868654643,0.32653061224489793
EMA_60,-0.2210886034398518,0.2060260637146346,-1.0731098748072971,-0.9855678868654643,0.32653061224489793
EMA_120,-0.2210886034398518,0.2060260637146346,-1.0731098748072971,-0.9855678868654643,0.32653061224489793
