,000016.SH,000300.SH,000905.SH,HSI.HK,SPX.GI,CBA00601.CB,CBA02001.CB,BRN0Y.ICE
000016.SH,1.0,0.9471639381833273,0.6807878897842816,0.5428620307021934,0.12968649071392033,-0.0970320070806346,0.0019331837259496355,0.11351958243352678
000300.SH,0.9471639381833273,1.0,0.8534348979707946,0.5385380574800052,0.1320527293891023,-0.10492321155624708,-0.0037172695519495356,0.11460362199571034
000905.SH,0.6807878897842816,0.8534348979707946,1.0,0.42945416655278434,0.11178708514978032,-0.10028203475577607,-0.004813014323698319,0.09634570651839874
HSI.HK,0.5428620307021934,0.5385380574800052,0.42945416655278434,1.0,0.1834967029672381,-0.12427673043776738,-0.03218278036644488,0.1366079484631041
SPX.GI,0.12968649071392033,0.1320527293891023,0.11178708514978032,0.1834967029672381,1.0,-0.03737394562351386,-0.004329118788043256,0.28837727964029575
CBA00601.CB,-0.0970320070806346,-0.10492321155624708,-0.10028203475577607,-0.12427673043776738,-0.03737394562351386,1.0,0.5589001289287491,-0.044170820864663056
CBA02001.CB,0.0019331837259496355,-0.0037172695519495356,-0.004813014323698319,-0.03218278036644488,-0.004329118788043256,0.5589001289287491,1.0,-0.04194693564028273
BRN0Y.ICE,0.11351958243352678,0.11460362199571034,0.09634570651839874,0.1366079484631041,0.28837727964029575,-0.044170820864663056,-0.04194693564028273,1.0
