end_date,duration,credit,r2,residual_std,n_samples,duration_style,credit_style
2025-07-18,4.114028944972786,-1.8352915850017624,0.2652158775763722,0.00026093156906983336,60,中久期,低信用(AA-及以下)
2025-08-15,2.2008900912926515,12.450912892584984,0.2302443477446381,0.00024205432036638098,60,短久期,低信用(AA-及以下)
2025-09-12,2.4470511303158813,15.08924842003167,0.23774035461468324,0.00022568523186310558,60,短久期,中高信用(AA+级)
2025-10-10,2.170171307395601,8.904819548805747,0.19874423061143442,0.0002270873809673507,60,短久期,低信用(AA-及以下)
2025-11-07,5.298353860186262,4.134268863124755,0.22531804024921398,0.00024394121348992467,60,中久期,低信用(AA-及以下)
2025-12-05,2.9123496278239873,9.920316233636246,0.31772973630704826,0.00023810654563312874,60,短久期,低信用(AA-及以下)
2026-01-02,2.818778556446087,11.388598661272562,0.2972883688374943,0.0002643558857751982,60,短久期,低信用(AA-及以下)
2026-01-30,-1.5412291947945835,17.29556790516378,0.30833904715512406,0.0002565947643348155,60,短久期,高信用(AAA级)
2026-02-27,3.757979366612796,13.43396281288905,0.2813736239398643,0.00026441466590754236,60,中久期,中信用(AA级)
2026-03-27,3.2021845846479002,14.80749400711315,0.22632571470592777,0.00024796708526882844,60,短久期,中高信用(AA+级)
2026-04-24,4.917803378932192,1.3023267805660508,0.25367351218413803,0.00025287338063133047,60,中久期,低信用(AA-及以下)
